Unnamed: 0_level_0 Player,Unnamed: 1_level_0 Nation,Unnamed: 2_level_0 Pos,Unnamed: 3_level_0 Age,Unnamed: 4_level_0 90s,Standard Gls,Standard Sh,Standard SoT,Standard SoT%,Standard Sh/90,Standard SoT/90,Standard G/Sh,Standard G/SoT,Standard Dist,Standard FK,Standard PK,Standard PKatt,Expected xG,Expected npxG,Expected npxG/Sh,Expected G-xG,Expected np:G-xG,Unnamed: 22_level_0 Matches
João Félix,pt POR,"FW,MF",25-184,4.1,1,20,5,25.0,4.88,1.22,0.05,0.2,15.9,0,0,0,2.2,2.2,0.11,-1.2,-1.2,Matches
Benoît Badiashile,fr FRA,DF,24-048,3.7,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Kiernan Dewsbury-Hall,eng ENG,"MF,FW",26-249,2.9,0,1,0,0.0,0.35,0.0,0.0,,7.8,0,0,0,0.2,0.2,0.22,-0.2,-0.2,Matches
Joshua Acheampong,eng ENG,DF,19-008,1.9,0,2,0,0.0,1.06,0.0,0.0,,8.9,0,0,0,0.2,0.2,0.11,-0.2,-0.2,Matches
Renato Veiga,pt POR,"DF,MF",21-288,2.0,0,3,1,33.3,1.49,0.5,0.0,0.0,17.1,0,0,0,0.1,0.1,0.05,-0.1,-0.1,Matches
Mykhailo Mudryk,ua UKR,FW,24-128,1.7,0,1,1,100.0,0.6,0.6,0.0,0.0,11.6,0,0,0,0.3,0.3,0.25,-0.3,-0.3,Matches
Tyrique George,eng ENG,FW,19-098,1.1,1,3,1,33.3,2.62,0.87,0.33,1.0,15.0,0,0,0,0.2,0.2,0.07,0.8,0.8,Matches
Marc Guiu,es ESP,FW,19-129,0.8,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Mathis Amougou,fr FRA,MF,19-115,0.1,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Shumaira Mheuka,eng ENG,MF,17-205,0.0,0,1,1,100.0,90.0,90.0,0.0,0.0,7.2,0,0,0,0.1,0.1,0.06,-0.1,-0.1,Matches
Squad Total,,,24.5,36.0,59,573,198,34.6,15.92,5.5,0.1,0.28,16.7,16,4,5,65.9,62.0,0.11,-6.9,-7.0,
Opponent Total,,,27.3,36.0,43,378,146,38.6,10.5,4.06,0.1,0.26,17.2,21,5,6,45.8,41.1,0.11,-2.8,-3.1,
