Unnamed: 0_level_0 Player,Unnamed: 1_level_0 Nation,Unnamed: 2_level_0 Pos,Unnamed: 3_level_0 Age,Unnamed: 4_level_0 90s,Standard Gls,Standard Sh,Standard SoT,Standard SoT%,Standard Sh/90,Standard SoT/90,Standard G/Sh,Standard G/SoT,Standard Dist,Standard FK,Standard PK,Standard PKatt,Expected xG,Expected npxG,Expected npxG/Sh,Expected G-xG,Expected np:G-xG,Unnamed: 22_level_0 Matches
Mario Lemina,ga GAB,"MF,DF",31-254,15.2,1,18,5,27.8,1.19,0.33,0.06,0.2,21.9,0,0,0,1.4,1.4,0.08,-0.4,-0.4,Matches
Emmanuel Agbadou,ci CIV,DF,27-330,13.7,0,6,1,16.7,0.44,0.07,0.0,0.0,31.8,1,0,0,0.3,0.3,0.05,-0.3,-0.3,Matches
Marshall Munetsi,zw ZIM,"MF,FW",28-325,10.8,1,19,6,31.6,1.77,0.56,0.05,0.17,13.9,0,0,0,3.2,3.2,0.17,-2.2,-2.2,Matches
Craig Dawson,eng ENG,DF,35-007,10.8,0,5,1,20.0,0.46,0.09,0.0,0.0,8.5,0,0,0,0.5,0.5,0.1,-0.5,-0.5,Matches
Gonçalo Guedes,pt POR,"MF,FW",28-165,9.3,2,21,7,33.3,2.25,0.75,0.1,0.29,19.3,0,0,0,2.8,2.8,0.13,-0.8,-0.8,Matches
Sam Johnstone,eng ENG,GK,32-049,7.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Pablo Sarabia,es ESP,"MF,FW",33-002,8.3,3,17,8,47.1,2.05,0.96,0.18,0.38,18.9,2,0,0,2.9,2.9,0.17,0.1,0.1,Matches
Rodrigo Gomes,pt POR,"DF,FW",21-310,7.8,2,6,3,50.0,0.77,0.38,0.33,0.67,17.3,0,0,0,0.6,0.6,0.09,1.4,1.4,Matches
Hwang Hee-chan,kr KOR,"MF,FW",29-107,7.2,2,5,3,60.0,0.69,0.41,0.4,0.67,17.4,0,0,0,0.8,0.8,0.16,1.2,1.2,Matches
Yerson Mosquera,co COL,DF,24-011,4.9,0,2,0,0.0,0.41,0.0,0.0,,12.4,0,0,0,0.3,0.3,0.17,-0.3,-0.3,Matches
Tommy Doyle,eng ENG,MF,23-208,5.4,0,9,2,22.2,1.66,0.37,0.0,0.0,24.5,1,0,0,0.6,0.6,0.06,-0.6,-0.6,Matches
Carlos Forbs,pt POR,"MF,FW",21-055,2.7,0,2,0,0.0,0.75,0.0,0.0,,19.1,0,0,0,0.1,0.1,0.07,-0.1,-0.1,Matches
Daniel Bentley,eng ENG,GK,31-304,1.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Pedro Lima,br BRA,DF,18-316,0.8,0,1,1,100.0,1.29,1.29,0.0,0.0,22.5,0,0,0,0.1,0.1,0.06,-0.1,-0.1,Matches
Daniel Podence,pt POR,"MF,FW",29-204,0.5,0,1,0,0.0,1.87,0.0,0.0,,24.4,0,0,0,0.0,0.0,0.04,0.0,0.0,Matches
Nasser Djiga,bf BFA,"DF,FW",22-179,0.2,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Chiquinho,pt POR,MF,25-097,0.1,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Mateus Mane,,MF,,0.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Alfie Pond,eng ENG,DF,21-073,0.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Boubacar Traoré,ml MLI,MF,23-266,0.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Squad Total,,,27.7,36.0,50,401,146,36.4,11.14,4.06,0.12,0.34,18.1,18,0,0,41.3,41.3,0.1,8.7,8.7,
Opponent Total,,,27.0,36.0,61,437,142,32.5,12.14,3.94,0.12,0.38,16.6,18,7,9,55.0,48.0,0.11,6.0,6.0,
