player_name,team,touches,touches_in_def_pen_area,touches_in_def_third,touches_in_mid_third,touches_in_att_third,touches_in_att_pen_area,live_ball_touches,attempted_take_ons,successful_take_ons,successful_take_ons_percent,tackled_during_take_on,tackled_during_take_on_percent,carries,total_carrying_distance,progressive_carrying_distance,progressive_carries,carries_into_final_third,carries_into_pen_area,miscontrols,times_dispossessed,passes_received,progressive_passes_received
Milos Kerkez,Bournemouth,2027,105,520,852,679,62,2027,45,21,46.7,14,31.1,1010,5919,3445,98,67,15,46,21,1111,181
Antoine Semenyo,Bournemouth,1556,46,192,537,861,180,1556,131,67,51.1,55,42.0,931,7034,3489,137,67,66,81,73,1082,270
Illia Zabarnyi,Bournemouth,1926,224,884,992,71,14,1926,8,5,62.5,2,25.0,1182,7727,4584,26,20,0,14,3,1206,4
Lewis Cook,Bournemouth,1861,86,430,985,466,20,1861,19,12,63.2,7,36.8,802,4042,2130,33,29,4,29,18,934,51
Kepa Arrizabalaga,Bournemouth,1020,754,991,28,1,1,1020,1,1,100.0,0,0.0,572,2858,1628,0,0,0,0,0,448,0
Justin Kluivert,Bournemouth,1022,23,94,346,602,120,1016,84,35,41.7,39,46.4,611,3964,2253,77,53,35,50,26,673,162
Ryan Christie,Bournemouth,1376,74,256,773,372,46,1376,48,23,47.9,22,45.8,726,3802,1773,34,40,8,44,25,777,44
Evanilson,Bournemouth,526,23,52,199,278,120,525,20,6,30.0,8,40.0,314,1737,827,28,17,14,36,23,377,94
Dean Huijsen,Bournemouth,1910,243,862,921,137,30,1910,5,2,40.0,3,60.0,1039,6661,4130,40,29,0,19,1,1189,10
Dango Ouattara,Bournemouth,959,62,165,316,497,128,959,82,39,47.6,34,41.5,492,3577,1777,79,35,38,63,32,577,191
Tyler Adams,Bournemouth,1227,58,324,713,202,17,1227,16,3,18.8,9,56.3,590,2920,1300,13,18,1,28,12,683,9
Marcus Tavernier,Bournemouth,1065,19,123,401,565,52,1065,59,26,44.1,28,47.5,598,3815,1805,49,45,7,43,44,683,118
Adam Smith,Bournemouth,743,41,226,351,170,6,743,16,6,37.5,7,43.8,318,1369,616,12,16,0,11,7,354,32
Marcos Senesi,Bournemouth,797,69,357,381,70,13,797,9,5,55.6,4,44.4,488,2551,1505,12,14,0,6,5,500,6
David Brooks,Bournemouth,476,13,56,179,250,33,476,31,8,25.8,20,64.5,293,2042,949,29,23,8,27,12,324,75
Alex Scott,Bournemouth,483,24,90,256,143,18,483,26,6,23.1,13,50.0,247,1401,663,15,10,3,22,8,294,33
