player_name,team,live_ball_passes,dead_ball_passes,free_kick_passes,through_balls,switches,crosses,throw_ins_taken,corners_taken,inswinging_corners,outswinging_corners,straight_corners,total_passes_completed,passes_offside,passes_blocked
Enzo Fernández,Chelsea,1688,133,52,14,25,108,4,74,44,12,1,1468,9,43
Robert Sánchez,Chelsea,1031,146,68,0,6,0,0,0,0,0,0,840,7,1
Nicolas Jackson,Chelsea,385,12,1,1,0,3,4,0,0,0,0,303,2,15
Noni Madueke,Chelsea,597,19,1,1,4,59,17,1,0,0,0,482,5,12
Pedro Neto,Chelsea,762,79,14,0,5,140,13,49,16,12,5,663,1,25
Malo Gusto,Chelsea,1224,153,37,2,3,52,116,0,0,0,0,1194,2,26
Jadon Sancho,Chelsea,767,11,1,7,1,24,9,1,1,0,0,643,1,23
Wesley Fofana,Chelsea,758,44,23,0,0,1,20,0,0,0,0,724,1,4
Tosin Adarabioyo,Chelsea,1044,35,19,2,3,0,4,0,0,0,0,988,2,3
Trevoh Chalobah,Chelsea,654,23,11,1,2,3,10,0,0,0,0,609,0,3
Roméo Lavia,Chelsea,409,3,3,3,3,0,0,0,0,0,0,381,2,1
Reece James,Chelsea,620,100,30,4,2,41,51,19,11,5,1,609,3,7
Christopher Nkunku,Chelsea,327,7,1,2,1,4,0,2,0,0,0,299,0,3
Filip Jørgensen,Chelsea,169,20,2,0,0,0,0,0,0,0,0,158,0,0
Axel Disasi,Chelsea,266,27,10,0,1,0,17,0,0,0,0,266,0,2
João Félix,Chelsea,193,5,2,2,1,0,3,0,0,0,0,171,1,5
Benoît Badiashile,Chelsea,288,15,5,0,1,0,0,0,0,0,0,273,1,0
Kiernan Dewsbury-Hall,Chelsea,147,4,1,0,1,2,0,2,0,0,1,127,1,2
Joshua Acheampong,Chelsea,121,3,2,0,0,0,1,0,0,0,0,104,0,2
Renato Veiga,Chelsea,127,12,5,0,0,0,7,0,0,0,0,118,0,1
Mykhailo Mudryk,Chelsea,40,2,0,1,0,7,0,2,0,0,0,28,0,1
Tyrique George,Chelsea,45,1,0,0,0,3,1,0,0,0,0,38,0,1
Marc Guiu,Chelsea,14,2,0,0,0,0,0,0,0,0,0,11,0,0
Mathis Amougou,Chelsea,7,0,0,0,0,0,0,0,0,0,0,7,0,0
Shumaira Mheuka,Chelsea,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Squad Total,Chelsea,18818,1557,487,78,94,639,555,223,121,34,8,17340,61,285
Opponent Total,Chelsea,13665,1502,438,53,53,501,539,130,78,31,1,12219,81,279
Dean Henderson,Crystal Palace,796,355,97,0,0,0,0,0,0,0,0,712,1,1
Tyrick Mitchell,Crystal Palace,1088,224,8,0,2,102,216,0,0,0,0,948,4,59
Daniel Muñoz,Crystal Palace,1136,294,27,2,2,73,265,2,0,0,0,1087,6,38
Marc Guéhi,Crystal Palace,1664,95,76,7,14,13,6,0,0,0,0,1474,6,9
Maxence Lacroix,Crystal Palace,1375,44,40,2,7,6,2,0,0,0,0,1160,0,12
Jean-Philippe Mateta,Crystal Palace,425,8,0,7,0,26,0,0,0,0,0,282,1,15
Eberechi Eze,Crystal Palace,823,178,69,10,5,110,3,62,39,10,0,759,17,17
Ismaila Sarr,Crystal Palace,701,2,0,12,1,55,2,0,0,0,0,470,5,25
Jefferson Lerma,Crystal Palace,993,56,12,8,8,11,43,0,0,0,0,799,8,21
Will Hughes,Crystal Palace,818,104,33,1,2,71,1,54,41,2,0,707,7,10
Chris Richards,Crystal Palace,773,33,16,2,5,5,17,0,0,0,0,645,2,13
Adam Wharton,Crystal Palace,678,40,14,5,1,39,0,26,19,1,0,548,7,12
Daichi Kamada,Crystal Palace,669,30,10,3,5,31,2,16,11,1,0,560,1,16
Trevoh Chalobah,Crystal Palace,426,16,11,1,2,7,5,0,0,0,0,349,0,7
Eddie Nketiah,Crystal Palace,217,9,0,2,0,5,1,0,0,0,0,167,0,12
Nathaniel Clyne,Crystal Palace,207,16,1,1,1,7,13,0,0,0,0,171,2,8
Cheick Doucouré,Crystal Palace,201,3,3,0,0,1,0,0,0,0,0,174,0,4
Justin Devenny,Crystal Palace,157,18,6,1,1,17,0,9,4,4,0,127,2,2
Odsonne Édouard,Crystal Palace,28,0,0,0,0,1,0,0,0,0,0,17,0,2
Joachim Andersen,Crystal Palace,81,2,1,0,0,1,0,1,0,0,0,61,0,0
Chadi Riad,Crystal Palace,82,0,0,0,1,0,0,0,0,0,0,70,0,2
Ben Chilwell,Crystal Palace,75,14,1,1,0,4,13,0,0,0,0,62,0,3
Jeffrey Schlupp,Crystal Palace,47,3,0,0,0,4,3,0,0,0,0,39,0,0
Romain Esse,Crystal Palace,22,0,0,0,0,0,0,0,0,0,0,18,0,1
Matheus França,Crystal Palace,6,1,0,0,0,1,0,0,0,0,0,4,1,0
Jordan Ayew,Crystal Palace,8,2,0,0,1,1,0,1,1,0,0,8,0,0
Caleb Kporha,Crystal Palace,6,1,0,0,0,2,1,0,0,0,0,5,0,0
Asher Agbinone,Crystal Palace,3,0,0,0,0,1,0,0,0,0,0,2,0,0
Joel Ward,Crystal Palace,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Squad Total,Crystal Palace,13507,1548,425,65,58,594,593,171,115,18,0,11425,70,289
Opponent Total,Crystal Palace,18180,1631,445,63,75,664,671,194,124,40,7,16163,46,378
Jordan Pickford,Everton,1094,402,179,0,6,0,0,0,0,0,0,1001,9,0
James Tarkowski,Everton,1204,77,46,2,13,1,3,0,0,0,0,1045,9,12
Vitaliy Mykolenko,Everton,991,249,13,2,3,93,236,0,0,0,0,925,3,22
Idrissa Gana Gueye,Everton,1290,26,7,2,7,7,6,0,0,0,0,1143,7,22
Abdoulaye Doucouré,Everton,851,14,5,0,2,23,0,0,0,0,0,694,5,27
Jarrad Branthwaite,Everton,1083,50,37,1,17,5,3,0,0,0,0,936,6,6
Iliman Ndiaye,Everton,649,25,5,2,2,38,5,10,4,0,2,547,2,21
Jack Harrison,Everton,561,61,22,4,2,126,8,30,26,0,1,395,7,33
Dominic Calvert-Lewin,Everton,282,2,0,0,1,6,1,0,0,0,0,179,0,12
Ashley Young,Everton,703,205,21,3,4,70,167,15,8,6,0,642,6,19
James Garner,Everton,595,102,16,2,2,53,39,21,14,4,2,525,5,22
Jake O'Brien,Everton,541,107,3,0,1,18,100,0,0,0,0,509,2,12
Jesper Lindstrøm,Everton,383,42,11,1,0,71,6,25,12,8,2,297,3,18
Dwight McNeil,Everton,487,93,29,7,5,98,5,42,29,5,4,431,4,16
Orel Mangala,Everton,485,4,3,0,1,6,0,0,0,0,0,437,1,10
Beto,Everton,230,4,0,1,1,4,0,1,0,0,0,132,0,12
Michael Keane,Everton,335,7,3,0,12,1,0,0,0,0,0,285,4,6
Carlos Alcaraz,Everton,239,11,2,1,2,10,5,3,2,1,0,200,1,10
Tim Iroegbunam,Everton,156,0,0,0,0,1,0,0,0,0,0,115,2,5
Armando Broja,Everton,72,0,0,0,0,1,0,0,0,0,0,53,1,1
Nathan Patterson,Everton,134,42,0,1,0,14,42,0,0,0,0,130,0,0
Séamus Coleman,Everton,63,18,0,0,0,3,18,0,0,0,0,60,1,1
Roman Dixon,Everton,16,3,0,0,0,0,3,0,0,0,0,11,0,0
Harrison Armstrong,Everton,13,1,0,0,0,1,0,0,0,0,0,7,1,0
Youssef Chermiti,Everton,11,0,0,0,0,1,0,0,0,0,0,6,0,0
Mason Holgate,Everton,0,2,0,0,0,0,2,0,0,0,0,2,0,0
Squad Total,Everton,12468,1547,402,29,81,651,649,147,95,24,11,10707,79,287
Opponent Total,Everton,18785,1655,473,67,101,686,669,212,139,34,6,16980,50,295
Bernd Leno,Fulham,1110,227,67,0,0,0,0,0,0,0,0,1093,1,1
Alex Iwobi,Fulham,1439,37,7,15,21,124,22,2,0,1,0,1109,6,51
Antonee Robinson,Fulham,1705,276,15,1,4,165,261,0,0,0,0,1523,6,47
Calvin Bassey,Fulham,1988,125,47,0,10,8,8,0,0,0,0,1899,2,17
Raúl Jiménez,Fulham,609,7,3,3,5,23,4,0,0,0,0,440,1,28
Joachim Andersen,Fulham,1765,98,79,0,34,11,8,0,0,0,0,1548,7,7
Saša Lukić,Fulham,1089,81,35,1,3,55,1,39,11,22,0,1027,1,22
Sander Berge,Fulham,1120,40,39,3,7,3,1,0,0,0,0,1060,0,8
Andreas Pereira,Fulham,753,203,50,4,8,171,9,109,53,47,0,662,4,26
Emile Smith Rowe,Fulham,947,30,5,2,2,15,2,1,0,0,0,881,2,18
Kenny Tete,Fulham,735,143,6,1,2,33,137,0,0,0,0,715,4,23
Timothy Castagne,Fulham,813,140,10,0,1,37,130,0,0,0,0,780,0,26
Adama Traoré,Fulham,543,0,0,5,2,94,0,0,0,0,0,392,2,18
Issa Diop,Fulham,733,25,21,0,1,1,2,0,0,0,0,663,0,2
Harry Wilson,Fulham,366,51,16,1,5,41,4,27,14,6,1,306,1,5
Rodrigo Muniz,Fulham,135,6,1,3,2,1,0,0,0,0,0,92,1,4
Ryan Sessegnon,Fulham,212,14,0,0,0,14,13,0,0,0,0,177,0,9
Reiss Nelson,Fulham,261,6,0,2,2,23,1,5,3,1,0,232,1,2
Jorge Cuenca,Fulham,112,10,3,0,0,1,2,0,0,0,0,102,0,0
Tom Cairney,Fulham,530,25,11,0,0,19,1,8,3,3,0,503,0,8
Willian,Fulham,196,11,2,0,4,16,2,7,3,4,0,178,1,1
Joshua King,Fulham,45,0,0,0,0,2,0,0,0,0,0,38,0,2
Harrison Reed,Fulham,46,8,5,0,0,6,0,1,0,1,0,39,1,3
Martial Godo,Fulham,15,2,0,0,0,1,2,0,0,0,0,12,0,2
Carlos Vinícius,Fulham,3,0,0,0,0,0,0,0,0,0,0,1,0,1
Jay Stansfield,Fulham,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Squad Total,Fulham,17270,1565,422,41,113,864,610,199,87,85,1,15472,41,331
Opponent Total,Fulham,15493,1538,427,70,87,595,578,161,112,26,3,13931,83,287
Dara O'Shea,Ipswich Town,1375,94,25,0,13,7,62,0,0,0,0,1146,5,12
Liam Delap,Ipswich Town,346,5,0,8,1,5,2,0,0,0,0,216,2,16
Leif Davis,Ipswich Town,905,284,54,3,4,148,153,77,53,13,0,854,5,19
Sam Morsy,Ipswich Town,1279,47,46,2,5,12,0,0,0,0,0,1150,6,22
Omari Hutchinson,Ipswich Town,734,66,1,4,2,70,5,4,4,0,0,628,7,38
Jacob Greaves,Ipswich Town,927,75,28,0,0,1,23,0,0,0,0,861,2,4
Jens Cajuste,Ipswich Town,646,61,23,1,5,9,38,0,0,0,0,583,0,11
Arijanet Muric,Ipswich Town,485,143,49,0,3,0,0,0,0,0,0,454,5,0
Axel Tuanzebe,Ipswich Town,558,139,24,0,1,7,115,0,0,0,0,581,0,13
Cameron Burgess,Ipswich Town,710,60,28,1,1,0,0,0,0,0,0,626,4,7
Ben Johnson,Ipswich Town,333,82,11,2,4,37,58,13,11,1,0,298,1,23
Kalvin Phillips,Ipswich Town,510,40,27,1,6,20,2,11,8,2,1,436,1,9
Sammie Szmodics,Ipswich Town,184,10,1,0,0,13,0,6,6,0,0,144,0,12
Luke Woolfenden,Ipswich Town,547,13,9,0,2,0,1,0,0,0,0,496,2,2
Alex Palmer,Ipswich Town,261,133,42,0,0,0,0,0,0,0,0,271,0,1
Wes Burns,Ipswich Town,244,9,1,0,1,46,8,0,0,0,0,153,0,24
Jack Clarke,Ipswich Town,342,17,2,1,3,13,7,6,5,0,0,276,1,18
Julio Enciso,Ipswich Town,197,34,8,4,0,19,2,12,10,1,0,161,1,10
Conor Chaplin,Ipswich Town,244,30,3,10,0,9,1,0,0,0,0,200,0,5
Nathan Broadhead,Ipswich Town,186,10,0,3,1,9,2,3,3,0,0,149,0,11
Christian Walton,Ipswich Town,159,67,17,0,0,0,0,0,0,0,0,152,0,0
Jaden Philogene Bidace,Ipswich Town,129,1,0,0,1,13,1,0,0,0,0,95,1,5
Jack Taylor,Ipswich Town,384,10,2,2,3,6,0,3,3,0,0,328,0,5
Harry Clarke,Ipswich Town,211,25,2,1,0,5,23,0,0,0,0,190,0,4
George Hirst,Ipswich Town,106,0,0,0,0,3,0,0,0,0,0,60,1,5
Conor Townsend,Ipswich Town,98,28,4,1,0,12,20,4,3,1,0,80,1,3
Chiedozie Ogbene,Ipswich Town,43,0,0,0,0,4,0,0,0,0,0,32,0,5
Massimo Luongo,Ipswich Town,55,1,1,0,0,1,0,0,0,0,0,43,1,1
Ben Godfrey,Ipswich Town,49,8,1,0,0,0,7,0,0,0,0,47,0,3
Ali Al Hamadi,Ipswich Town,30,0,0,0,0,0,0,0,0,0,0,25,0,1
Marcus Harness,Ipswich Town,16,0,0,0,0,0,0,0,0,0,0,10,0,1
George Edmundson,Ipswich Town,2,0,0,0,0,0,0,0,0,0,0,1,0,1
Squad Total,Ipswich Town,12295,1492,409,44,56,469,530,139,106,18,1,10746,46,291
Opponent Total,Ipswich Town,19176,1583,432,82,95,761,646,247,135,31,6,17413,41,279
Jamie Vardy,Leicester City,329,46,0,1,1,11,0,0,0,0,0,255,7,14
James Justin,Leicester City,1193,256,20,1,2,54,236,0,0,0,0,1135,3,37
Wout Faes,Leicester City,1420,49,25,2,7,5,6,0,0,0,0,1292,3,7
Victor Bernth Kristiansen,Leicester City,1048,246,40,1,2,97,189,17,14,2,0,1011,8,24
Mads Hermansen,Leicester City,840,229,86,0,2,0,0,0,0,0,0,654,4,1
Wilfred Ndidi,Leicester City,980,22,13,4,4,30,9,0,0,0,0,805,3,24
Bilal El Khannouss,Leicester City,884,124,24,11,6,87,13,35,19,10,1,757,5,24
Boubakary Soumaré,Leicester City,1137,11,8,3,1,9,3,0,0,0,0,998,3,14
Harry Winks,Leicester City,981,61,35,4,2,34,5,16,11,3,0,910,3,11
Conor Coady,Leicester City,911,43,20,2,2,0,1,0,0,0,0,869,4,4
Jordan Ayew,Leicester City,452,46,12,3,2,58,5,26,14,7,3,367,0,11
Stephy Mavididi,Leicester City,588,20,2,6,0,69,11,7,4,2,0,460,5,24
Jannik Vestergaard,Leicester City,890,68,26,0,2,0,0,0,0,0,0,870,1,4
