player_name,team,shot_creating_actions,shot_creating_actions_per_90,live_passes_sca,dead_passes_sca,take_ons_sca,shots_sca,fouls_drawn_sca,def_sca,goal_creating_actions,gca_per_ninety,live_passes_gca,dead_passes_gca,take_ons_gca,shots_gca,fouls_drawn_gca,def_gca
Schade,Brentford,54,2.27,33,6,6,4,4,1,9,0.38,5,0,1,3,0,0
Pinnock,Brentford,21,0.99,13,5,0,2,1,0,0,0.0,0,0,0,0,0,0
Ajer,Brentford,18,1.15,15,0,1,2,0,0,2,0.13,2,0,0,0,0,0
Yarmoliuk,Brentford,24,1.68,19,0,2,1,1,1,2,0.14,2,0,0,0,0,0
Roerslev,Brentford,21,1.72,18,0,1,1,1,0,2,0.16,2,0,0,0,0,0
Jensen,Brentford,38,4.09,27,10,1,0,0,0,5,0.54,2,2,1,0,0,0
Kayode,Brentford,16,3.78,9,4,1,1,1,0,3,0.71,3,0,0,0,0,0
Carvalho,Brentford,10,1.97,7,0,1,2,0,0,1,0.2,1,0,0,0,0,0
Mee,Brentford,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Thiago,Brentford,2,1.22,1,0,0,0,0,1,0,0.0,0,0,0,0,0,0
Hákon Rafn Valdimarsson,Brentford,2,1.24,2,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Maghoma,Brentford,4,3.03,4,0,0,0,0,0,1,0.76,1,0,0,0,0,0
Henry,Brentford,1,1.08,1,0,0,0,0,0,1,1.08,1,0,0,0,0,0
Yunus Emre Konak,Brentford,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Jisoo,Brentford,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Onyeka,Brentford,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Nunes,Brentford,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Meghoma,Brentford,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Trevitt,Brentford,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Verbruggen,Brighton,5,0.15,5,0,0,0,0,0,1,0.03,1,0,0,0,0,0
Jan Paul van Hecke,Brighton,48,1.55,42,2,0,3,1,0,3,0.1,3,0,0,0,0,0
Baleba,Brighton,61,2.21,51,0,2,4,1,3,4,0.15,2,0,0,0,1,1
Mitoma,Brighton,83,2.95,69,0,6,3,4,1,8,0.28,7,0,0,0,1,0
Estupiñán,Brighton,52,2.03,34,13,0,2,3,0,4,0.16,3,0,0,0,1,0
Dunk,Brighton,19,0.82,17,0,0,2,0,0,3,0.13,2,0,0,1,0,0
Welbeck,Brighton,46,2.04,35,1,3,1,6,0,6,0.27,6,0,0,0,0,0
Pedro,Brighton,72,3.32,56,0,3,2,10,1,9,0.42,6,0,0,0,3,0
Hinshelwood,Brighton,33,1.7,27,4,0,1,1,0,3,0.15,3,0,0,0,0,0
Ayari,Brighton,58,2.82,35,11,3,3,4,2,6,0.29,4,2,0,0,0,0
Veltman,Brighton,22,1.19,15,2,2,1,2,0,1,0.05,0,1,0,0,0,0
Rutter,Brighton,64,3.47,37,0,9,7,9,2,8,0.43,3,0,3,1,1,0
Minteh,Brighton,56,3.03,33,8,11,2,1,1,11,0.59,5,0,5,1,0,0
O'Riley,Brighton,38,3.78,22,10,1,2,1,2,4,0.4,3,0,0,0,1,0
Adingra,Brighton,39,3.56,27,0,6,6,0,0,7,0.64,5,0,1,1,0,0
Lamptey,Brighton,17,1.78,14,1,0,0,1,1,3,0.31,2,0,0,0,0,1
Igor,Brighton,11,1.1,10,0,0,0,1,0,0,0.0,0,0,0,0,0,0
Webster,Brighton,10,1.27,8,2,0,0,0,0,3,0.38,2,1,0,0,0,0
Wieffer,Brighton,28,3.01,25,0,0,2,1,0,6,0.65,5,0,0,0,1,0
Gruda,Brighton,27,4.49,21,3,2,0,1,0,4,0.67,3,1,0,0,0,0
Kadioglu,Brighton,13,3.03,11,0,0,0,1,1,2,0.47,2,0,0,0,0,0
Gómez,Brighton,14,2.78,12,1,0,1,0,0,3,0.6,2,1,0,0,0,0
Milner,Brighton,8,4.26,5,2,0,0,1,0,0,0.0,0,0,0,0,0,0
Enciso,Brighton,12,3.69,5,1,3,1,2,0,0,0.0,0,0,0,0,0,0
Ferguson,Brighton,4,1.47,3,0,1,0,0,0,0,0.0,0,0,0,0,0,0
Steele,Brighton,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
March,Brighton,7,3.77,6,1,0,0,0,0,2,1.08,2,0,0,0,0,0
Gilmour,Brighton,3,2.76,3,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Cashin,Brighton,1,4.5,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Moder,Brighton,4,32.73,4,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Sarmiento,Brighton,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Caicedo,Chelsea,94,2.67,82,0,2,0,3,7,9,0.26,6,0,0,0,2,1
Palmer,Chelsea,194,5.8,128,21,16,20,7,2,15,0.45,11,0,2,1,1,0
Colwill,Chelsea,38,1.15,34,2,0,1,0,1,3,0.09,2,0,0,0,0,1
Cucurella,Chelsea,48,1.54,42,3,0,2,1,0,5,0.16,4,1,0,0,0,0
Fernández,Chelsea,144,4.69,113,16,2,4,4,5,16,0.52,13,2,0,1,0,0
Sánchez,Chelsea,7,0.23,6,1,0,0,0,0,2,0.07,1,1,0,0,0,0
Jackson,Chelsea,69,2.8,42,0,9,7,9,2,10,0.41,7,0,2,1,0,0
Madueke,Chelsea,77,3.73,55,0,10,7,4,1,8,0.39,5,0,0,1,1,1
Neto,Chelsea,88,3.77,64,8,6,6,4,0,8,0.34,5,1,2,0,0,0
Gusto,Chelsea,58,2.82,57,0,0,1,0,0,4,0.19,4,0,0,0,0,0
Sancho,Chelsea,68,3.59,61,0,3,1,3,0,10,0.53,9,0,0,0,1,0
Fofana,Chelsea,15,1.15,12,1,1,1,0,0,0,0.0,0,0,0,0,0,0
Adarabioyo,Chelsea,12,0.88,7,0,0,5,0,0,1,0.07,0,0,0,1,0,0
Chalobah,Chelsea,13,1.29,10,0,0,2,0,1,3,0.3,1,0,0,1,0,1
Lavia,Chelsea,14,1.66,13,0,0,0,0,1,2,0.24,2,0,0,0,0,0
James,Chelsea,16,1.63,10,5,0,1,0,0,1,0.1,0,0,0,1,0,0
Nkunku,Chelsea,34,3.32,21,0,5,5,1,2,4,0.39,1,0,1,1,1,0
Jørgensen,Chelsea,1,0.17,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Disasi,Chelsea,2,0.49,2,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Félix,Chelsea,18,4.38,12,0,2,3,1,0,3,0.73,1,0,1,0,1,0
Badiashile,Chelsea,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
