player_name,team,yellow_cards,red_cards,second_yellow_cards,fouls_commited,fouls_drawn,offsides,pk_won,pk_conceded,own_goals,ball_recoveries,aerial_duels_won,aerial_duels_lost,aerial_duels_won_percent
Kevin De Bruyne,Manchester City,2,0,0,16,18,5,0,0,0,63,5,16,23.8
Nunes,Manchester City,4,0,0,28,17,6,0,1,0,60,13,16,44.8
Doku,Manchester City,1,0,0,9,32,5,0,0,0,58,0,11,0.0
Ortega,Manchester City,1,0,0,1,2,0,0,1,0,8,2,0,100.0
Marmoush,Manchester City,0,0,0,13,17,9,1,0,0,33,5,9,35.7
Walker,Manchester City,3,0,0,6,5,1,0,0,0,46,9,7,56.3
Aké,Manchester City,0,0,0,2,0,0,0,0,0,24,13,10,56.5
González,Manchester City,3,0,0,11,4,0,0,0,0,31,16,11,59.3
Grealish,Manchester City,3,0,0,5,25,0,0,0,0,26,1,7,12.5
Stones,Manchester City,1,0,0,2,2,0,0,0,0,22,8,6,57.1
O’Reilly,Manchester City,0,0,0,6,4,1,0,0,0,31,6,9,40.0
Khusanov,Manchester City,1,0,0,3,3,0,0,0,1,27,6,4,60.0
Mcatee,Manchester City,1,0,0,6,3,0,0,0,0,8,2,3,40.0
Simpson-Pusey,Manchester City,1,0,0,0,1,0,0,0,0,3,1,3,25.0
Rodri,Manchester City,0,0,0,1,2,0,0,0,0,7,1,0,100.0
Mubama,Manchester City,0,0,0,0,0,0,0,0,0,1,0,1,0.0
Bobb,Manchester City,0,0,0,0,1,0,0,0,0,1,0,0,
Reis,Manchester City,0,0,0,0,0,0,0,0,0,0,0,0,
Onana,Manchester United,0,0,0,0,2,0,0,0,0,33,6,0,100.0
Fernandes,Manchester United,4,2,1,26,38,2,0,0,0,196,21,28,42.9
Mazraoui,Manchester United,2,0,0,37,23,3,0,1,0,144,48,28,63.2
Dalot,Manchester United,5,0,0,40,9,4,0,1,0,164,38,21,64.4
Matthijs de Ligt,Manchester United,3,0,0,16,12,2,0,2,0,68,58,29,66.7
Garnacho,Manchester United,3,0,0,12,42,10,0,0,0,108,3,24,11.1
Manuel Ugarte Ribeiro,Manchester United,10,0,0,39,33,0,0,0,1,122,18,18,50.0
Højlund,Manchester United,2,0,0,15,27,11,1,0,0,31,26,87,23.0
Martínez,Manchester United,7,0,0,22,7,0,0,0,0,81,16,13,55.2
Mainoo,Manchester United,5,0,0,27,20,2,0,0,0,84,19,30,38.8
Diallo,Manchester United,3,0,0,19,26,9,1,0,0,101,9,15,37.5
Maguire,Manchester United,7,0,0,17,11,1,0,0,0,59,55,23,70.5
Casemiro,Manchester United,3,0,0,17,18,3,0,0,0,89,31,17,64.6
Zirkzee,Manchester United,2,0,0,9,13,3,1,0,0,57,21,54,28.0
Yoro,Manchester United,5,0,0,9,2,1,0,0,0,46,16,16,50.0
Rashford,Manchester United,2,0,0,8,7,7,0,0,0,24,5,7,41.7
Eriksen,Manchester United,4,0,0,8,3,0,0,0,0,61,2,6,25.0
Dorgu,Manchester United,3,1,0,14,23,3,0,0,0,27,12,7,63.2
Mount,Manchester United,3,0,0,15,7,0,0,0,0,16,4,7,36.4
Lindelöf,Manchester United,1,0,0,7,1,0,0,0,0,16,12,13,48.0
Amass,Manchester United,0,0,0,2,4,1,0,0,0,26,7,6,53.8
Evans,Manchester United,1,0,0,5,6,0,0,0,0,15,8,3,72.7
Bayındır,Manchester United,0,0,0,0,0,0,0,0,0,1,1,1,50.0
Shaw,Manchester United,1,0,0,3,0,0,0,0,1,9,3,2,60.0
Fredricson,Manchester United,0,0,0,0,2,0,0,0,0,12,7,5,58.3
Malacia,Manchester United,1,0,0,3,2,0,0,0,0,3,0,0,
Obi-Martin,Manchester United,1,0,0,3,1,0,0,0,0,9,1,4,20.0
Heaven,Manchester United,0,0,0,2,3,0,0,0,0,4,1,2,33.3
Collyer,Manchester United,0,0,0,2,4,0,0,0,0,17,3,1,75.0
Antony,Manchester United,0,0,0,2,5,0,0,0,0,11,0,1,0.0
McTominay,Manchester United,0,0,0,0,0,0,0,0,0,1,1,0,100.0
Guimarães,Newcastle United,7,0,0,59,102,2,0,0,0,172,18,18,50.0
Burn,Newcastle United,10,0,0,31,11,5,0,0,2,98,136,66,67.3
Isak,Newcastle United,1,0,0,26,14,20,1,0,0,55,26,53,32.9
Schär,Newcastle United,8,1,0,33,13,4,0,0,0,129,46,62,42.6
Livramento,Newcastle United,1,0,0,6,34,2,0,0,0,177,23,33,41.1
Joelinton,Newcastle United,10,0,0,58,35,7,0,0,0,149,59,46,56.2
Murphy,Newcastle United,4,0,0,11,15,3,1,0,0,94,4,16,20.0
Tonali,Newcastle United,5,0,0,37,46,2,1,0,0,166,12,12,50.0
Pope,Newcastle United,2,0,0,2,5,0,0,2,0,22,11,1,91.7
Gordon,Newcastle United,2,0,0,20,68,8,1,0,0,95,7,7,50.0
Hall,Newcastle United,3,0,0,9,21,1,0,0,0,119,30,31,49.2
Barnes,Newcastle United,0,0,0,12,21,5,0,0,0,52,5,15,25.0
Trippier,Newcastle United,1,0,0,16,11,2,0,0,0,65,21,15,58.3
Willock,Newcastle United,3,0,0,22,13,3,0,0,0,40,5,14,26.3
Dúbravka,Newcastle United,0,0,0,0,1,0,0,0,0,18,4,0,100.0
Longstaff,Newcastle United,2,0,0,9,6,0,0,0,0,31,7,7,50.0
Kelly,Newcastle United,2,0,0,5,5,1,0,0,0,19,6,2,75.0
Botman,Newcastle United,1,0,0,4,4,0,0,0,0,8,13,7,65.0
Krafth,Newcastle United,1,0,0,4,1,0,0,0,0,19,7,8,46.7
Wilson,Newcastle United,1,0,0,3,1,3,0,0,0,10,2,14,12.5
Miley,Newcastle United,0,0,0,3,1,0,0,0,0,16,5,6,45.5
Almirón,Newcastle United,0,0,0,1,3,2,0,0,0,4,0,2,0.0
Osula,Newcastle United,0,0,0,2,1,1,0,0,0,2,4,1,80.0
Targett,Newcastle United,0,0,0,0,0,0,0,0,0,2,0,0,
Sels,Nottingham Forest,4,0,0,1,10,0,0,1,0,12,14,2,87.5
Milenković,Nottingham Forest,4,0,0,18,4,1,0,0,0,76,97,37,72.4
Murillo,Nottingham Forest,5,0,0,25,4,0,0,1,0,134,43,21,67.2
Aina,Nottingham Forest,4,0,0,21,35,2,0,1,0,180,13,19,40.6
Wood,Nottingham Forest,1,0,0,25,22,26,0,0,0,46,92,134,40.7
Gibbs-White,Nottingham Forest,11,1,1,36,37,7,1,0,0,120,39,50,43.8
Anderson,Nottingham Forest,8,0,0,45,57,4,0,0,0,200,54,27,66.7
Elanga,Nottingham Forest,1,0,0,8,40,16,0,0,0,86,24,35,40.7
Williams,Nottingham Forest,7,0,0,24,40,1,0,0,0,101,37,29,56.1
Hudson-Odoi,Nottingham Forest,2,0,0,12,22,8,1,0,0,91,3,10,23.1
Domínguez,Nottingham Forest,9,0,0,33,17,1,0,0,0,105,22,22,50.0
Yates,Nottingham Forest,10,0,0,52,49,6,0,0,0,97,45,30,60.0
Moreno,Nottingham Forest,2,0,0,12,6,0,0,0,0,50,3,11,21.4
Morato,Nottingham Forest,4,0,0,11,2,0,0,0,0,34,6,14,30.0
Silva,Nottingham Forest,5,0,0,24,23,8,1,0,0,42,21,28,42.9
Sangaré,Nottingham Forest,3,0,0,13,6,0,0,0,0,35,7,9,43.8
Ward-Prowse,Nottingham Forest,2,1,1,7,2,0,0,0,0,19,3,5,37.5
Danilo,Nottingham Forest,0,0,0,1,0,0,0,0,0,18,1,1,50.0
Awoniyi,Nottingham Forest,0,0,0,8,10,1,0,0,0,18,13,38,25.5
Sosa,Nottingham Forest,1,0,0,6,8,3,0,0,0,25,4,7,36.4
Boly,Nottingham Forest,1,0,0,1,0,0,0,0,0,5,6,2,75.0
Toffolo,Nottingham Forest,1,0,0,1,0,0,0,0,0,2,1,0,100.0
Eric da Silva Moreira,Nottingham Forest,0,0,0,0,0,0,0,0,0,2,0,0,
Walker-Peters,Southampton,5,0,0,28,52,2,0,0,0,135,11,21,34.4
Fernandes,Southampton,8,0,0,44,55,4,0,0,0,169,14,9,60.9
Harwood-Bellis,Southampton,9,0,0,35,14,0,0,0,0,121,60,45,57.1
Bednarek,Southampton,7,0,0,31,13,0,0,1,0,106,71,37,65.7
Ramsdale,Southampton,2,0,0,1,4,0,0,0,0,20,6,0,100.0
Downes,Southampton,11,0,0,47,36,0,0,0,0,76,16,13,55.2
Aribo,Southampton,1,0,0,20,28,1,0,1,0,111,25,21,54.3
Dibling,Southampton,6,0,0,29,50,2,2,0,0,79,10,21,32.3
Manning,Southampton,2,0,0,19,32,0,0,0,0,65,15,6,71.4
Ugochukwu,Southampton,7,0,0,31,15,0,0,1,0,63,20,17,54.1
Stephens,Southampton,2,2,0,12,4,1,0,1,0,43,6,10,37.5
Sugawara,Southampton,4,0,0,15,9,4,0,2,0,40,5,9,35.7
Sulemana,Southampton,2,0,0,20,11,3,0,0,0,54,10,25,28.6
Armstrong,Southampton,4,0,0,12,5,9,0,0,0,23,5,9,35.7
Archer,Southampton,0,0,0,16,12,8,0,0,0,34,8,30,21.1
Bree,Southampton,0,0,0,2,5,0,0,0,0,62,12,7,63.2
Onuachu,Southampton,4,0,0,28,16,9,0,0,0,17,90,56,61.6
Wood-Gordon,Southampton,2,0,0,8,4,0,0,0,0,20,11,7,61.1
Smallbone,Southampton,1,0,0,11,3,0,0,1,0,23,4,2,66.7
McCarthy,Southampton,0,0,0,0,1,0,0,0,0,4,2,0,100.0
Lallana,Southampton,4,0,0,8,8,0,0,0,0,19,2,2,50.0
Brereton,Southampton,1,0,0,4,8,1,0,0,0,16,9,7,56.3
Fraser,Southampton,0,1,0,1,4,1,0,1,0,10,2,3,40.0
Welington,Southampton,1,0,0,3,5,0,0,1,0,17,2,3,40.0
Stewart,Southampton,1,0,0,7,5,1,0,0,0,2,10,16,38.5
Lumley,Southampton,0,0,0,0,0,0,0,0,0,2,2,1,66.7
Armel Bella Kotchap,Southampton,0,0,0,3,2,0,0,0,0,19,6,5,54.5
Taylor,Southampton,1,0,0,2,2,0,0,0,0,7,4,2,66.7
Grønbaek,Southampton,0,0,0,0,1,0,0,0,0,6,2,0,100.0
Cornet,Southampton,1,0,0,0,1,1,0,0,0,2,3,0,100.0
Edozie,Southampton,1,0,0,2,1,0,0,0,0,1,0,0,
Robinson,Southampton,0,0,0,1,1,0,0,0,0,5,0,1,0.0
Amo-Ameyaw,Southampton,1,0,0,1,2,0,0,0,0,1,0,1,0.0
Edwards,Southampton,0,0,0,0,0,0,0,0,0,0,0,0,
Alcaraz,Southampton,0,0,0,1,0,0,0,0,0,2,1,0,100.0
Porro,Tottenham,4,0,0,24,31,1,0,0,0,148,11,22,33.3
Kulusevski,Tottenham,3,0,0,48,38,5,0,0,0,121,10,15,40.0
Solanke,Tottenham,0,0,0,36,36,5,0,0,1,37,44,59,42.7
Johnson,Tottenham,5,0,0,26,25,12,2,0,0,60,7,20,25.9
Vicario,Tottenham,1,0,0,0,2,0,0,0,0,32,9,0,100.0
Heung-min,Tottenham,1,0,0,6,28,12,1,0,0,81,6,12,33.3
Udogie,Tottenham,2,0,0,29,38,2,0,0,1,109,13,13,50.0
Maddison,Tottenham,6,0,0,32,64,4,0,0,0,76,5,7,41.7
Pape Matar Sarr,Tottenham,6,0,0,31,35,2,0,1,0,109,31,42,42.5
Bentancur,Tottenham,8,0,0,32,10,1,0,0,0,115,36,29,55.4
Spence,Tottenham,4,1,1,20,23,2,0,0,1,108,21,13,61.8
Romero,Tottenham,3,0,0,14,12,2,0,0,0,90,41,27,60.3
Gray,Tottenham,0,0,0,12,11,0,0,0,1,65,10,9,52.6
Bissouma,Tottenham,7,0,0,26,18,0,0,1,0,81,7,7,50.0
Drăgușin,Tottenham,1,0,0,6,10,0,0,0,0,48,33,22,60.0
Davies,Tottenham,4,0,0,16,7,0,0,0,0,40,51,42,54.8
Bergvall,Tottenham,3,0,0,20,17,0,0,0,0,73,9,8,52.9
Micky van de Ven,Tottenham,4,0,0,10,8,0,0,0,0,61,19,18,51.4
Tel,Tottenham,1,0,0,9,12,1,0,0,0,35,4,3,57.1
Odobert,Tottenham,0,0,0,1,3,1,0,0,0,30,3,7,30.0
Danso,Tottenham,0,0,0,7,11,0,0,0,0,24,20,9,69.0
Forster,Tottenham,0,0,0,0,0,0,0,0,0,1,1,0,100.0
Kinský,Tottenham,0,0,0,0,0,0,0,0,0,6,2,0,100.0
Werner,Tottenham,0,0,0,3,5,5,0,0,0,18,0,1,0.0
Richarlison,Tottenham,2,0,0,6,13,3,0,0,0,10,9,22,29.0
Moore,Tottenham,0,0,0,3,5,3,0,0,0,10,1,5,16.7
Austin,Tottenham,0,0,0,0,2,0,0,0,0,1,2,0,100.0
Reguilón,Tottenham,2,0,0,2,5,0,0,0,0,9,5,2,71.4
Scarlett,Tottenham,0,0,0,0,1,1,0,0,0,3,1,0,100.0
Dorrington,Tottenham,0,0,0,0,0,0,0,0,0,3,0,0,
Lankshear,Tottenham,0,0,0,2,0,0,0,0,0,0,0,0,
Kilman,West Ham,4,0,0,22,13,2,0,0,0,143,109,53,67.3
Wan-Bissaka,West Ham,1,0,0,24,26,5,0,0,1,164,22,31,41.5
Bowen,West Ham,1,0,0,19,50,10,0,0,0,122,12,46,20.7
Kudus,West Ham,2,1,0,39,60,18,0,0,0,131,10,38,20.8
Souček,West Ham,8,0,0,44,24,4,1,0,0,59,98,69,58.7
Paquetá,West Ham,9,0,0,52,62,6,0,1,0,146,48,57,45.7
Palmieri,West Ham,5,0,0,25,13,0,0,0,0,84,18,20,47.4
Areola,West Ham,0,0,0,0,0,0,0,0,1,28,2,0,100.0
Mavropanos,West Ham,6,1,1,17,14,3,0,0,0,70,56,24,70.0
Álvarez,West Ham,8,1,1,38,18,4,0,0,0,81,28,21,57.1
Todibo,West Ham,2,0,0,11,6,0,0,0,0,70,23,24,48.9
Rodríguez,West Ham,5,0,0,16,11,2,0,0,0,50,9,7,56.3
Soler,West Ham,5,0,0,24,18,0,0,0,0,64,9,11,45.0
Fabiański,West Ham,2,0,0,2,1,0,0,2,0,5,2,1,66.7
Antonio,West Ham,1,0,0,12,7,4,0,0,0,22,17,22,43.6
Coufal,West Ham,4,0,0,21,14,0,0,0,1,33,21,13,61.8
Ward-Prowse,West Ham,2,0,0,10,2,0,0,0,0,47,7,5,58.3
Cresswell,West Ham,3,0,0,4,2,0,0,0,0,35,7,7,50.0
Summerville,West Ham,2,0,0,9,23,4,0,0,0,38,4,9,30.8
Scarles,West Ham,1,0,0,4,3,1,0,0,0,33,5,5,50.0
Füllkrug,West Ham,2,0,0,20,5,9,0,0,0,15,32,48,40.0
Ings,West Ham,0,0,0,0,2,0,1,0,0,9,8,10,44.4
Irving,West Ham,2,0,0,6,1,0,0,0,0,10,1,1,50.0
Ferguson,West Ham,0,0,0,1,2,0,0,0,0,8,5,10,33.3
Guilherme,West Ham,0,0,0,0,4,0,0,0,0,7,2,1,66.7
Orford,West Ham,0,0,0,0,0,0,0,0,0,7,0,1,0.0
Casey,West Ham,0,0,0,0,0,0,0,0,0,0,1,0,100.0
Aït-Nouri,Wolves,7,1,1,30,42,5,0,0,0,140,21,28,42.9
Gomes,Wolves,10,1,1,68,43,1,0,0,0,182,9,24,27.3
Semedo,Wolves,7,0,0,45,29,4,0,1,0,129,27,41,39.7
Jørgen Strand Larsen,Wolves,4,0,0,46,18,14,0,0,0,42,66,96,40.7
André,Wolves,7,0,0,35,33,0,0,1,0,187,2,6,25.0
Sá,Wolves,2,0,0,4,8,0,0,4,0,35,10,1,90.9
Cunha,Wolves,4,0,0,42,70,8,0,1,0,123,10,28,26.3
Gomes,Wolves,6,0,0,23,14,4,0,1,0,104,49,25,66.2
Doherty,Wolves,6,0,0,18,11,2,0,0,1,101,50,20,71.4
Bellegarde,Wolves,3,0,0,29,43,1,0,0,0,58,10,18,35.7
Bueno,Wolves,2,0,0,26,5,0,0,0,0,43,35,31,53.0
Lemina,Wolves,4,0,0,17,8,4,0,1,0,73,25,16,61.0
Agbadou,Wolves,2,0,0,5,4,1,0,0,0,71,24,17,58.5
Munetsi,Wolves,0,0,0,17,10,3,0,0,0,31,26,19,57.8
Dawson,Wolves,2,0,0,6,5,2,0,0,2,35,21,11,65.6
Guedes,Wolves,1,0,0,15,16,3,0,0,0,35,3,11,21.4
Johnstone,Wolves,0,0,0,0,0,0,0,0,0,9,4,0,100.0
Sarabia,Wolves,3,0,0,15,15,5,0,0,0,31,4,12,25.0
Gomes,Wolves,0,0,0,3,5,0,0,0,0,25,6,17,26.1
Hee-chan,Wolves,0,0,0,6,8,0,0,0,0,27,3,9,25.0
Mosquera,Wolves,2,0,0,6,7,1,0,0,0,24,11,6,64.7
Doyle,Wolves,1,0,0,5,5,0,0,0,0,43,1,6,14.3
Forbs,Wolves,2,0,0,2,1,0,0,0,0,11,1,3,25.0
Bentley,Wolves,0,0,0,0,0,0,0,0,0,1,2,0,100.0
Lima,Wolves,0,0,0,1,1,1,0,0,0,3,0,3,0.0
Podence,Wolves,0,0,0,0,2,0,0,0,0,1,0,1,0.0
Djiga,Wolves,0,0,0,0,0,0,0,0,0,1,1,1,50.0
Chiquinho,Wolves,0,0,0,1,0,0,0,0,0,1,0,0,
Mane,Wolves,0,0,0,0,0,0,0,0,0,0,1,0,100.0
Pond,Wolves,0,0,0,0,0,0,0,0,0,0,0,0,
Traoré,Wolves,0,0,0,0,0,0,0,0,0,0,0,1,0.0
