Unnamed: 0_level_0 Player,Unnamed: 1_level_0 Nation,Unnamed: 2_level_0 Pos,Unnamed: 3_level_0 Age,Unnamed: 4_level_0 90s,Touches Touches,Touches Def Pen,Touches Def 3rd,Touches Mid 3rd,Touches Att 3rd,Touches Att Pen,Touches Live,Take-Ons Att,Take-Ons Succ,Take-Ons Succ%,Take-Ons Tkld,Take-Ons Tkld%,Carries Carries,Carries TotDist,Carries PrgDist,Carries PrgC,Carries 1/3,Carries CPA,Carries Mis,Carries Dis,Receiving Rec,Receiving PrgR,Unnamed: 27_level_0 Matches
Ben Johnson,eng ENG,"DF,FW",25-109,15.0,626,60,246,220,163,12,626,24,8,33.3,14,58.3,259,1503,585,16,12,3,23,17,292,33,Matches
Kalvin Phillips,eng ENG,MF,29-162,13.7,739,61,223,398,122,5,739,12,5,41.7,6,50.0,310,1489,569,4,5,0,25,10,394,4,Matches
Sammie Szmodics,ie IRL,"FW,MF",29-231,10.9,309,17,80,119,116,33,309,12,4,33.3,6,50.0,174,989,399,16,8,7,24,17,189,46,Matches
Luke Woolfenden,eng ENG,DF,26-204,13.2,694,147,407,278,9,3,694,0,0,,0,,368,2118,1249,7,3,0,4,0,442,0,Matches
Alex Palmer,eng ENG,GK,28-276,12.0,441,371,433,9,0,0,441,0,0,,0,,198,1119,674,0,0,0,2,0,154,0,Matches
Wes Burns,wls WAL,"FW,DF",30-171,10.3,350,21,69,129,160,18,350,24,9,37.5,14,58.3,216,1458,696,38,13,10,17,13,220,65,Matches
Jack Clarke,eng ENG,"FW,MF",24-171,12.1,501,23,119,204,192,32,501,42,22,52.4,14,33.3,278,2074,1064,34,19,9,21,18,303,48,Matches
Julio Enciso,py PAR,"FW,MF",21-110,8.9,374,5,51,191,146,19,374,58,27,46.6,23,39.7,186,1353,735,21,20,8,22,28,241,41,Matches
Conor Chaplin,eng ENG,"MF,FW",28-086,8.5,335,7,63,165,112,13,335,8,4,50.0,4,50.0,153,779,407,11,7,0,11,3,229,20,Matches
Nathan Broadhead,wls WAL,"MF,FW",27-038,6.7,276,7,38,139,109,19,276,32,16,50.0,14,43.8,152,1079,502,17,14,4,18,11,191,27,Matches
Christian Walton,eng ENG,GK,29-185,6.0,242,224,241,1,0,0,242,0,0,,0,,122,572,305,0,0,0,0,0,117,0,Matches
Jaden Philogene Bidace,eng ENG,"FW,DF",23-094,5.3,220,10,53,68,101,18,220,18,5,27.8,11,61.1,127,862,305,13,3,5,11,10,133,36,Matches
Jack Taylor,ie IRL,MF,26-324,9.2,505,32,153,267,96,8,505,11,4,36.4,4,36.4,239,1447,773,11,10,1,10,6,321,22,Matches
Harry Clarke,eng ENG,DF,24-072,4.2,268,18,100,122,47,2,268,2,1,50.0,1,50.0,118,555,222,5,7,0,4,2,163,2,Matches
George Hirst,sct SCO,FW,26-087,5.8,168,12,24,57,89,24,168,5,2,40.0,2,40.0,89,468,199,9,2,6,21,13,142,29,Matches
Conor Townsend,eng ENG,DF,32-070,3.7,172,28,87,50,38,5,172,0,0,,0,,53,278,136,2,2,0,2,2,75,13,Matches
Chiedozie Ogbene,ie IRL,FW,28-012,2.6,70,3,11,19,40,6,70,7,1,14.3,3,42.9,41,330,139,7,2,2,4,2,43,15,Matches
Massimo Luongo,au AUS,MF,32-230,2.2,77,9,33,25,19,1,77,0,0,,0,,40,148,25,0,0,0,2,3,44,1,Matches
Ben Godfrey,eng ENG,DF,27-118,1.8,68,6,26,33,9,1,68,0,0,,0,,33,202,79,2,2,0,2,1,42,1,Matches
Ali Al Hamadi,iq IRQ,FW,23-073,1.5,53,2,6,20,30,9,53,7,4,57.1,3,42.9,29,187,111,4,3,4,7,4,36,14,Matches
Marcus Harness,eng ENG,MF,29-078,0.5,22,4,7,2,13,3,22,1,0,0.0,1,100.0,9,49,14,0,0,0,0,0,9,1,Matches
George Edmundson,eng ENG,DF,27-255,0.0,3,1,3,0,0,0,3,0,0,,0,,1,2,0,0,0,0,0,0,1,0,Matches
Squad Total,,,26.6,36.0,17945,2916,7421,7030,3692,549,17943,596,259,43.5,265,44.5,8750,49471,24145,470,303,137,515,322,10637,839,
Opponent Total,,,27.0,36.0,24578,2059,7134,10404,7243,1142,24572,645,304,47.1,272,42.2,14826,76196,38616,786,531,279,478,293,17246,1643,
