player,nation,position,age,matches_played,minutes_played,minutes_per_match,percent_of_squad_mins_played,90s_played,starts,minutes_per_start,complete_matches_played,sub_appearances,minutes_per_sub,matches_as_unused_sub,points_per_match,goals_scored_by_team_while_on_pitch,goals_allowed_by_team_while_on_pitch,goals_scored_goals_allowed_while_on_pitch_diff,goals_scored_goals_allowed_while_on_pitch_diff_per_ninety_played,net_goals_scored_while_player_on_pitch_minus_net_goals_allowed_while_player_on_pitch_per_ninety,team_xG_while_on_pitch,team_xGA_while_on_pitch,team_xGdiff_while_on_pitch,team_xGdiff_while_on_pitch_per_ninety,team_xG_plus_minus_net_diff_while_on_pitch
Tommy Doyle,ENG,MF,22,24,488.0,20.0,14.3,5.4,3,70.0,1,21,13.0,9,0.96,7.0,10.0,-3.0,-0.55,-0.18,6.9,10.3,-3.4,-0.63,-0.3
Daniel Bentley,ENG,GK,31,2,180.0,90.0,5.3,2.0,2,90.0,2,0,,16,1.5,3.0,4.0,-1.0,-0.5,-0.11,1.6,3.0,-1.4,-0.69,-0.32
Carlos Forbs,POR,"MF,FW",20,10,239.0,24.0,7.0,2.7,1,67.0,0,9,19.0,17,0.8,7.0,9.0,-2.0,-0.75,-0.39,3.2,8.4,-5.2,-1.97,-1.71
Pedro Lima,BRA,DF,18,3,70.0,23.0,2.0,0.8,1,58.0,0,2,6.0,18,1.0,0.0,2.0,-2.0,-2.57,-2.22,1.4,0.7,0.7,0.9,1.31
Nasser Djiga,BFA,DF,21,5,66.0,13.0,1.9,0.7,1,45.0,0,4,5.0,8,2.4,1.0,2.0,-1.0,-1.36,-0.99,0.7,1.2,-0.5,-0.7,-0.32
Daniel Podence,POR,"MF,FW",28,2,48.0,24.0,1.4,0.5,0,,0,2,24.0,0,0.0,0.0,2.0,-2.0,-3.75,-3.4,0.3,0.8,-0.5,-0.93,-0.56
Chiquinho,POR,MF,24,1,7.0,7.0,0.2,0.1,0,,0,1,7.0,0,0.0,0.0,0.0,0.0,0.0,0.4,0.1,0.0,0.1,1.89,2.27
Mateus Mane,,MF,na,1,2.0,2.0,0.1,0.0,0,,0,1,2.0,4,0.0,0.0,0.0,0.0,0.0,0.39,0.0,0.0,0.0,0.0,0.38
Tom King,WAL,GK,29,1,1.0,1.0,0.0,0.0,0,,0,1,1.0,2,1.0,0.0,0.0,0.0,0.0,0.39,0.0,0.1,-0.1,-8.46,-8.08
Alfie Pond,ENG,DF,20,1,1.0,1.0,0.0,0.0,0,,0,1,1.0,7,3.0,0.0,0.0,0.0,0.0,0.39,0.0,0.0,0.0,0.0,0.38
Boubacar Traoré,MLI,MF,22,1,1.0,1.0,0.0,0.0,0,,0,1,1.0,7,3.0,0.0,0.0,0.0,0.0,0.39,0.6,0.0,0.6,49.93,50.33
Tawanda Chirewa,ZIM,MF,20,0,,,,,0,,0,0,,1,,,,,,,,,,,
Luke Cundle,ENG,MF,22,0,,,,,0,,0,0,,3,,,,,,,,,,,
Tom Edozie,ENG,MF,18,0,,,,,0,,0,0,,1,,,,,,,,,,,
Bastien Meupiyou,FRA,DF,18,0,,,,,0,,0,0,,5,,,,,,,,,,,
Wesley Okoduwa,ENG,FW,16,0,,,,,0,,0,0,,1,,,,,,,,,,,
Squad Total,,,26,38,3420.0,90.0,100.0,38.0,418,83.0,250,167,18.0,174,1.11,54.0,69.0,-15.0,-0.39,,43.7,58.1,-14.5,-0.38,
Opponent Total,,,26,38,3420.0,90.0,100.0,38.0,418,83.0,249,166,20.0,176,1.74,69.0,54.0,15.0,0.39,,58.1,43.7,14.5,0.38,
