player,nation,position,age,matches_played,minutes_played,minutes_per_match,percent_of_squad_mins_played,90s_played,starts,minutes_per_start,complete_matches_played,sub_appearances,minutes_per_sub,matches_as_unused_sub,points_per_match,goals_scored_by_team_while_on_pitch,goals_allowed_by_team_while_on_pitch,goals_scored_goals_allowed_while_on_pitch_diff,goals_scored_goals_allowed_while_on_pitch_diff_per_ninety_played,net_goals_scored_while_player_on_pitch_minus_net_goals_allowed_while_player_on_pitch_per_ninety,team_xG_while_on_pitch,team_xGA_while_on_pitch,team_xGdiff_while_on_pitch,team_xGdiff_while_on_pitch_per_ninety,team_xG_plus_minus_net_diff_while_on_pitch
Lewis Miley,ENG,MF,18,14,313.0,22.0,9.2,3.5,1,90.0,1,13,17.0,12,2.14,6.0,4.0,2.0,0.58,0.02,4.9,5.2,-0.3,-0.09,-0.63
Miguel Almirón,PAR,FW,30,9,157.0,17.0,4.6,1.7,1,67.0,0,8,11.0,14,1.56,1.0,3.0,-2.0,-1.15,-1.78,2.8,3.6,-0.8,-0.47,-1.0
William Osula,DEN,FW,20,14,134.0,10.0,3.9,1.5,0,,0,14,10.0,24,1.29,1.0,3.0,-2.0,-1.34,-1.97,2.4,3.3,-0.9,-0.63,-1.16
Matt Targett,ENG,DF,28,2,21.0,11.0,0.6,0.2,0,,0,2,11.0,16,1.5,1.0,0.0,1.0,4.29,3.76,0.3,0.3,0.0,0.05,-0.44
Jamaal Lascelles,ENG,DF,30,0,,,,,0,,0,0,,3,,,,,,,,,,,
Alex Murphy,IRL,DF,20,0,,,,,0,,0,0,,4,,,,,,,,,,,
Sean Neave,ENG,FW,17,0,,,,,0,,0,0,,7,,,,,,,,,,,
John Ruddy,ENG,GK,37,0,,,,,0,,0,0,,8,,,,,,,,,,,
Leo Shahar,ENG,DF,17,0,,,,,0,,0,0,,1,,,,,,,,,,,
Odisseas Vlachodimos,GRE,GK,30,0,,,,,0,,0,0,,10,,,,,,,,,,,
Squad Total,,,27,38,3420.0,90.0,100.0,38.0,418,83.0,254,163,18.0,179,1.74,68.0,47.0,21.0,0.55,,63.8,45.5,18.3,0.48,
Opponent Total,,,26,38,3420.0,90.0,100.0,38.0,418,83.0,254,161,19.0,180,1.11,47.0,68.0,-21.0,-0.55,,45.5,63.8,-18.3,-0.48,
