player,nation,position,age,matches_played,minutes_played,minutes_per_match,percent_of_squad_mins_played,90s_played,starts,minutes_per_start,complete_matches_played,sub_appearances,minutes_per_sub,matches_as_unused_sub,points_per_match,goals_scored_by_team_while_on_pitch,goals_allowed_by_team_while_on_pitch,goals_scored_goals_allowed_while_on_pitch_diff,goals_scored_goals_allowed_while_on_pitch_diff_per_ninety_played,net_goals_scored_while_player_on_pitch_minus_net_goals_allowed_while_player_on_pitch_per_ninety,team_xG_while_on_pitch,team_xGA_while_on_pitch,team_xGdiff_while_on_pitch,team_xGdiff_while_on_pitch_per_ninety,team_xG_plus_minus_net_diff_while_on_pitch
Mikey Moore,ENG,FW,17,9,280,31,8.6,3.1,2,53,0,7,25,7,1.11,4,3,+1,+0.32,+0.23,4.1,5.4,-1.3,-0.43,-0.36
Brandon Austin,ENG,GK,26,1,90,90,2.8,1.0,1,90,1,0,,12,0.00,1,2,-1,-1.00,-1.14,0.9,2.5,-1.6,-1.57,-1.51
Sergio Reguilón,ESP,DF,28,3,123,41,3.8,1.4,0,,0,3,41,10,0.33,0,1,-1,-0.73,-0.88,1.9,1.2,+0.7,+0.53,+0.66
Dane Scarlett,ENG,"FW,MF",21,3,34,11,1.0,0.4,0,,0,3,11,3,2.00,3,1,+2,+5.29,+5.24,0.6,0.8,-0.2,-0.65,-0.56
Alfie Dorrington,ENG,DF,20,1,14,14,0.4,0.2,0,,0,1,14,3,3.00,0,0,0,0.00,-0.11,0.4,0.0,+0.4,+2.56,+2.67
,,,na,Playing Time,Playing Time,Playing Time,Playing Time,Playing Time,Starts,Starts,Starts,Subs,Subs,Subs,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success (xG),Team Success (xG),Team Success (xG),Team Success (xG),Team Success (xG)
Player,Nation,Pos,Ag,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off
Will Lankshear,ENG,"FW,MF",20,3,11,4,0.3,0.1,0,,0,3,4,12,1.33,0,0,0,0.00,-0.11,0.5,0.0,+0.5,+4.19,+4.30
Oyindamola Ajayi,ENG,FW,19,0,,,,,0,,0,0,,4,,,,,,,,,,,
Dante Cassanova,JAM,DF,20,0,,,,,0,,0,0,,1,,,,,,,,,,,
Alfie Devine,ENG,MF,20,0,,,,,0,,0,0,,1,,,,,,,,,,,
Malachi Hardy,ENG,DF,17,0,,,,,0,,0,0,,6,,,,,,,,,,,
Maeson King,ENG,DF,19,0,,,,,0,,0,0,,1,,,,,,,,,,,
Yang Minhyeok,KOR,MF,19,0,,,,,0,,0,0,,2,,,,,,,,,,,
Callum Olusesi,ENG,MF,18,0,,,,,0,,0,0,,12,,,,,,,,,,,
Alfie Whiteman,ENG,GK,26,0,,,,,0,,0,0,,1,,,,,,,,,,,
Luca Williams Barnett,ENG,FW,16,0,,,,,0,,0,0,,1,,,,,,,,,,,
Squad Total,,,25,36,3240,90,100,36.0,396,82,249,148,22,175,1.06,63,59,+4,+0.11,,56.2,59.7,-3.5,-0.10,
Opponent Total,,,27,36,3240,90,100,36.0,396,82,245,150,18,174,1.81,59,63,-4,-0.11,,59.7,56.2,+3.5,+0.10,
