player,nation,position,age,matches_played,minutes_played,minutes_per_match,percent_of_squad_mins_played,90s_played,starts,minutes_per_start,complete_matches_played,sub_appearances,minutes_per_sub,matches_as_unused_sub,points_per_match,goals_scored_by_team_while_on_pitch,goals_allowed_by_team_while_on_pitch,goals_scored_goals_allowed_while_on_pitch_diff,goals_scored_goals_allowed_while_on_pitch_diff_per_ninety_played,net_goals_scored_while_player_on_pitch_minus_net_goals_allowed_while_player_on_pitch_per_ninety,team_xG_while_on_pitch,team_xGA_while_on_pitch,team_xGdiff_while_on_pitch,team_xGdiff_while_on_pitch_per_ninety,team_xG_plus_minus_net_diff_while_on_pitch
Zain Silcott-Duberry,MSR,FW,19,1,1,1,0.0,0.0,0,,0,1,1,7,3.00,0,0,0,0.00,-0.32,0.2,0.0,+0.2,+14.02,+13.62
Daniel Adu-Adjei,ENG,FW,19,0,,,,,0,,0,0,,4,,,,,,,,,,,
,,,na,,Playing Time,Playing Time,Playing Time,Playing Time,Starts,Starts,Starts,Subs,Subs,Subs,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success (xG),Team Success (xG),Team Success (xG),Team Success (xG),Team Success (xG)
Player,Nation,Pos,Ag,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off
Matai Akinmboni,USA,DF,17,0,,,,,0,,0,0,,8,,,,,,,,,,,
Jaidon Anthony,ENG,"FW,MF",24,0,,,,,0,,0,0,,2,,,,,,,,,,,
Will Dennis,ENG,GK,24,0,,,,,0,,0,0,,21,,,,,,,,,,,
Archie Harris,ENG,DF,19,0,,,,,0,,0,0,,2,,,,,,,,,,,
Hamed Junior Traorè,CIV,"FW,MF",24,0,,,,,0,,0,0,,1,,,,,,,,,,,
Callan Mckenna,SCO,GK,17,0,,,,,0,,0,0,,1,,,,,,,,,,,
Dominic Sadi,ENG,MF,20,0,,,,,0,,0,0,,1,,,,,,,,,,,
Maxwell Wellings,ENG,DF,19,0,,,,,0,,0,0,,14,,,,,,,,,,,
Squad Total,,,25,38,3420,90,100,38.0,418,83,254,162,18,180,1.47,58,46,+12,+0.32,,64.0,48.5,+15.5,+0.41,
Opponent Total,,,26,38,3420,90,100,38.0,418,83,254,160,20,182,1.24,46,58,-12,-0.32,,48.5,64.0,-15.5,-0.41,
