player,nation,position,age,matches_played,minutes_played,minutes_per_match,percent_of_squad_mins_played,90s_played,starts,minutes_per_start,complete_matches_played,sub_appearances,minutes_per_sub,matches_as_unused_sub,points_per_match,goals_scored_by_team_while_on_pitch,goals_allowed_by_team_while_on_pitch,goals_scored_goals_allowed_while_on_pitch_diff,goals_scored_goals_allowed_while_on_pitch_diff_per_ninety_played,net_goals_scored_while_player_on_pitch_minus_net_goals_allowed_while_player_on_pitch_per_ninety,team_xG_while_on_pitch,team_xGA_while_on_pitch,team_xGdiff_while_on_pitch,team_xGdiff_while_on_pitch_per_ninety,team_xG_plus_minus_net_diff_while_on_pitch
Adam Webster,ENG,DF,29,14,887,63,25.9,9.9,11,77,8,3,14,7,2.29,26,11,+15,+1.52,+1.81,19.0,14.3,+4.6,+0.47,+0.49
Mats Wieffer,NED,"DF,MF",24,25,1015,41,29.7,11.3,10,79,5,15,15,3,1.60,25,22,+3,+0.27,+0.12,17.5,19.1,-1.6,-0.15,-0.36
Igor,BRA,DF,26,13,961,74,28.1,10.7,10,84,8,3,39,10,1.54,17,17,0,0.00,-0.26,14.9,17.4,-2.5,-0.23,-0.48
Tariq Lamptey,GHA,DF,23,15,860,57,25.1,9.6,10,76,5,5,19,10,1.40,14,21,-7,-0.73,-1.22,13.3,14.8,-1.4,-0.15,-0.35
Brajan Gruda,GER,"MF,FW",20,21,687,33,20.1,7.6,8,64,0,13,14,7,1.38,14,15,-1,-0.13,-0.39,10.8,12.8,-2.1,-0.27,-0.48
Ferdi Kadioglu,TUR,"DF,MF",24,6,385,64,11.3,4.3,5,72,1,1,23,1,1.33,5,8,-3,-0.70,-1.00,5.2,9.3,-4.1,-0.96,-1.20
Diego Gómez,PAR,MF,21,16,516,32,15.1,5.7,4,72,0,12,19,1,1.88,16,13,+3,+0.52,+0.40,14.0,9.1,+4.9,+0.86,+0.88
James Milner,ENG,MF,38,4,170,43,5.0,1.9,3,56,0,1,1,0,2.50,4,1,+3,+1.59,+1.48,2.8,2.0,+0.8,+0.42,+0.33
Julio Enciso,PAR,"MF,FW",20,12,294,25,8.6,3.3,2,67,0,10,16,7,1.50,3,4,-1,-0.31,-0.54,4.5,4.9,-0.5,-0.14,-0.28
Evan Ferguson,IRL,FW,19,13,246,19,7.2,2.7,2,65,0,11,11,2,0.92,4,7,-3,-1.10,-1.38,2.9,4.8,-1.9,-0.71,-0.88
Jason Steele,ENG,GK,33,2,180,90,5.3,2.0,2,90,2,0,,24,3.00,5,1,+4,+2.00,+1.92,3.5,1.9,+1.6,+0.82,+0.75
Solly March,ENG,"FW,MF",30,8,168,21,4.9,1.9,1,62,0,7,15,5,1.75,4,3,+1,+0.54,+0.37,3.4,2.8,+0.6,+0.34,+0.25
Billy Gilmour,SCO,MF,23,2,98,49,2.9,1.1,1,89,0,1,9,0,3.00,2,1,+1,+0.92,+0.76,1.6,1.3,+0.2,+0.22,+0.11
Eiran Cashin,IRL,DF,22,2,20,10,0.6,0.2,0,,0,2,10,9,0.00,0,2,-2,-9.00,-9.24,0.4,0.4,0.0,-0.19,-0.30
Jakub Moder,POL,MF,25,4,11,3,0.3,0.1,0,,0,4,3,9,1.75,0,0,0,0.00,-0.18,0.4,0.3,+0.2,+1.30,+1.19
,,,na,,Playing Time,Playing Time,Playing Time,Playing Time,Starts,Starts,Starts,Subs,Subs,Subs,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success (xG),Team Success (xG),Team Success (xG),Team Success (xG),Team Success (xG)
Player,Nation,Pos,Ag,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off
Jeremy Sarmiento,ECU,MF,22,1,9,9,0.3,0.1,0,,0,1,9,0,3.00,1,0,+1,+10.00,+9.84,0.1,0.0,+0.1,+0.68,+0.57
Harry Howell,ENG,FW,15,1,7,7,0.2,0.1,0,,0,1,7,4,3.00,1,0,+1,+12.86,+12.70,0.8,0.0,+0.8,+10.62,+10.53
Valentín Barco,ARG,MF,20,0,,,,,0,,0,0,,1,,,,,,,,,,,
Killian Cahill,IRL,GK,20,0,,,,,0,,0,0,,1,,,,,,,,,,,
Joe Knight,ENG,MF,18,0,,,,,0,,0,0,,3,,,,,,,,,,,
Ruairi Mcconville,NIR,DF,19,0,,,,,0,,0,0,,8,,,,,,,,,,,
Mark O'Mahony,IRL,FW,19,0,,,,,0,,0,0,,1,,,,,,,,,,,
Carl Rushworth,ENG,GK,23,0,,,,,0,,0,0,,14,,,,,,,,,,,
Imari Samuels,ENG,DF,21,0,,,,,0,,0,0,,2,,,,,,,,,,,
Freddie Simmonds,ENG,DF,16,0,,,,,0,,0,0,,1,,,,,,,,,,,
Jacob Slater,ENG,DF,19,0,,,,,0,,0,0,,3,,,,,,,,,,,
Charlie Tasker,ENG,DF,18,0,,,,,0,,0,0,,5,,,,,,,,,,,
Squad Total,,,24,38,3420,90,100,38.0,418,82,231,184,18,158,1.61,66,59,+7,+0.18,,58.7,54.6,+4.1,+0.11,
Opponent Total,,,26,38,3420,90,100,38.0,418,82,254,163,20,179,1.05,59,66,-7,-0.18,,54.6,58.7,-4.1,-0.11,
