Player,Nation,Pos,Age,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off.1
Sterling,ENG,"FW,MF",30,16,437,27,13.5,4.9,6,55,0,10,11,11,1.94,11,3,+8,+1.65,+0.84,7.7,3.5,+4.2,+0.87,+0.21
Zinchenko,UKR,"DF,MF",28,14,458,33,14.1,5.1,4,72,1,10,17,15,1.79,8,0,+8,+1.57,+0.76,6.9,2.5,+4.4,+0.86,+0.20
Tierney,SCO,"DF,FW",27,11,194,18,6.0,2.2,1,61,0,10,13,13,1.91,2,0,+2,+0.93,+0.01,3.3,1.8,+1.5,+0.71,+0.02
Butler-Oyedeji,ENG,FW,22,1,7,7,0.2,0.1,0,,0,1,7,13,3.00,1,0,+1,+12.86,+11.97,0.3,0.0,+0.2,+3.09,+2.41
Tomiyasu,JPN,DF,26,1,7,7,0.2,0.1,0,,0,1,7,0,3.00,1,0,+1,+12.86,+11.97,0.6,0.0,+0.5,+6.86,+6.18
Nelson,ENG,FW,25,1,3,3,0.1,0.0,0,,0,1,3,1,3.00,0,0,0,0.00,-0.92,0.0,0.0,0.0,+0.10,-0.59
Clarke,WAL,DF,17,0,,,,,0,,0,0,,1,,,,,,,,,,,
Gower,ENG,MF,20,0,,,,,0,,0,0,,4,,,,,,,,,,,
Heaven,ENG,DF,18,0,,,,,0,,0,0,,3,,,,,,,,,,,
Henry-Francis,IRL,MF,21,0,,,,,0,,0,0,,4,,,,,,,,,,,
Kabia,ENG,MF,19,0,,,,,0,,0,0,,8,,,,,,,,,,,
,,,na,Time,Time,Time,Time,Time,Starts,Starts,Starts,Subs,Subs,Subs,Success,Success,Success,Success,Success,Success,Team Success (xG),Team Success (xG),Team Success (xG),Team Success (xG),Team Success (xG)
Player,Nation,Pos,Ag,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off
Kacurri,ALB,DF,19,0,,,,,0,,0,0,,4,,,,,,,,,,,
Neto,BRA,GK,35,0,,,,,0,,0,0,,31,,,,,,,,,,,
Nichols,ENG,DF,18,0,,,,,0,,0,0,,3,,,,,,,,,,,
Nketiah,ENG,FW,25,0,,,,,0,,0,0,,2,,,,,,,,,,,
Salah Oulad M'Hand,NED,MF,21,0,,,,,0,,0,0,,1,,,,,,,,,,,
Porter,ENG,GK,16,0,,,,,0,,0,0,,1,,,,,,,,,,,
Ramsdale,ENG,GK,27,0,,,,,0,,0,0,,2,,,,,,,,,,,
Setford,ENG,GK,19,0,,,,,0,,0,0,,3,,,,,,,,,,,
