Player,Nation,Pos,Age,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off,Matches
Podence,POR,"MF,FW",29-205,2,48,24,1.5,0.5,0,,0,2,24,0,0.00,0,2,-2,-3.75,-3.44,0.3,0.8,-0.5,-0.93,-0.55,Matches
Djiga,BFA,"DF,FW",22-180,4,21,5,0.6,0.2,0,,0,4,5,8,3.00,0,0,0,0.00,+0.36,0.1,0.1,-0.1,-0.24,+0.15,Matches
Chiquinho,POR,MF,25-098,1,7,7,0.2,0.1,0,,0,1,7,0,0.00,0,0,0,0.00,+0.36,0.1,0.0,+0.1,+1.89,+2.28,Matches
Mane,,MF,,1,2,2,0.1,0.0,0,,0,1,2,3,0.00,0,0,0,0.00,+0.36,0.0,0.0,0.0,0.00,+0.38,Matches
Pond,ENG,DF,21-074,1,1,1,0.0,0.0,0,,0,1,1,7,3.00,0,0,0,0.00,+0.36,0.0,0.0,0.0,0.00,+0.38,Matches
,,,,,Time,Time,Time,Time,Starts,Starts,Starts,Subs,Subs,Subs,Success,Success,Success,Success,Success,Success,Team Success (xG),Team Success (xG),Team Success (xG),Team Success (xG),Team Success (xG),
Player,Nation,Pos,Age,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off,Matches
Traoré,MLI,MF,23-267,1,1,1,0.0,0.0,0,,0,1,1,7,3.00,0,0,0,0.00,+0.36,0.6,0.0,+0.6,+49.93,+50.33,Matches
Chirewa,ZIM,MF,21-215,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
Cundle,ENG,MF,23-018,0,,,,,0,,0,0,,3,,,,,,,,,,,,Matches
Edozie,ENG,MF,18-361,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
King,WAL,GK,30-066,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
Meupiyou,FRA,DF,19-056,0,,,,,0,,0,0,,5,,,,,,,,,,,,Matches
Okoduwa,ENG,FW,17-002,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
Total,,,27.7,36,3240,90,100,36.0,396,83,238,157,17,166,1.14,51,64,-13,-0.36,,41.3,55.0,-13.8,-0.38,,
Total,,,27.0,36,3240,90,100,36.0,396,83,235,158,21,166,1.72,64,51,+13,+0.36,,55.0,41.3,+13.8,+0.38,,
