Unnamed: 0_level_0 Player,Unnamed: 1_level_0 Nation,Unnamed: 2_level_0 Pos,Unnamed: 3_level_0 Age,Playing Time MP,Playing Time Min,Playing Time Mn/MP,Playing Time Min%,Playing Time 90s,Starts Starts,Starts Mn/Start,Starts Compl,Subs Subs,Subs Mn/Sub,Subs unSub,Team Success PPM,Team Success onG,Team Success onGA,Team Success +/-,Team Success +/-90,Team Success On-Off,Team Success (xG) onxG,Team Success (xG) onxGA,Team Success (xG) xG+/-,Team Success (xG) xG+/-90,Team Success (xG) On-Off,Unnamed: 26_level_0 Matches
Djed Spence,eng ENG,DF,24-277,23,1694,74,52.3,18.8,18,89,16,5,18,8,1.17,33,35,-2,-0.11,-0.46,27.7,33.1,-5.5,-0.29,-0.41,Matches
Cristian Romero,ar ARG,DF,27-016,18,1416,79,43.7,15.7,18,79,13,0,,3,1.11,27,22,+5,+0.32,+0.37,27.0,19.1,+7.9,+0.50,+1.07,Matches
Archie Gray,eng ENG,"DF,MF",19-062,26,1571,60,48.5,17.5,17,87,15,9,10,10,1.19,29,35,-6,-0.34,-0.88,22.6,34.6,-12.0,-0.69,-1.14,Matches
Yves Bissouma,ml MLI,MF,28-256,26,1345,52,41.5,14.9,16,72,4,10,19,6,1.19,28,24,+4,+0.27,+0.27,22.0,25.9,-4.0,-0.27,-0.29,Matches
Radu Drăgușin,ro ROU,DF,23-099,16,1252,78,38.6,13.9,14,83,11,2,43,7,0.88,25,29,-4,-0.29,-0.65,21.8,29.7,-7.9,-0.57,-0.77,Matches
Ben Davies,wls WAL,DF,32-019,15,1216,81,37.5,13.5,13,88,12,2,38,7,1.13,22,22,0,0.00,-0.18,18.4,23.2,-4.8,-0.35,-0.41,Matches
Lucas Bergvall,se SWE,MF,19-100,27,1212,45,37.4,13.5,11,81,6,16,20,7,1.11,29,25,+4,+0.30,+0.30,20.9,24.4,-3.5,-0.26,-0.25,Matches
Micky van de Ven,nl NED,DF,24-024,12,950,79,29.3,10.6,11,84,7,1,30,6,1.17,21,15,+6,+0.57,+0.65,20.2,11.7,+8.5,+0.81,+1.28,Matches
Mathys Tel,fr FRA,FW,20-016,11,739,67,22.8,8.2,9,81,5,2,4,1,0.91,9,16,-7,-0.85,-1.25,12.0,14.4,-2.4,-0.29,-0.25,Matches
Wilson Odobert,fr FRA,FW,20-166,14,719,51,22.2,8.0,8,76,3,6,19,0,1.00,9,14,-5,-0.63,-0.95,9.7,13.1,-3.4,-0.43,-0.42,Matches
Kevin Danso,at AUT,DF,26-236,8,662,83,20.4,7.4,7,88,6,1,45,0,1.00,10,12,-2,-0.27,-0.48,9.1,13.4,-4.3,-0.59,-0.62,Matches
Fraser Forster,eng ENG,GK,37-057,7,630,90,19.4,7.0,7,90,7,0,,11,0.71,14,15,-1,-0.14,-0.32,11.1,16.0,-4.9,-0.70,-0.75,Matches
Antonín Kinský,cz CZE,GK,22-061,5,450,90,13.9,5.0,5,90,5,0,,11,0.60,6,9,-3,-0.60,-0.83,4.5,10.2,-5.8,-1.15,-1.23,Matches
Timo Werner,de GER,"FW,MF",29-068,18,516,29,15.9,5.7,4,71,0,14,17,3,0.83,10,12,-2,-0.35,-0.55,11.3,11.5,-0.2,-0.04,+0.07,Matches
Richarlison,br BRA,FW,28-003,13,475,37,14.7,5.3,4,72,1,9,21,2,1.08,11,7,+4,+0.76,+0.76,8.4,6.3,+2.0,+0.39,+0.57,Matches
Mikey Moore,eng ENG,FW,17-275,9,280,31,8.6,3.1,2,53,0,7,25,7,1.11,4,3,+1,+0.32,+0.23,4.1,5.4,-1.3,-0.43,-0.36,Matches
Brandon Austin,eng ENG,GK,26-125,1,90,90,2.8,1.0,1,90,1,0,,12,0.00,1,2,-1,-1.00,-1.14,0.9,2.5,-1.6,-1.57,-1.51,Matches
Sergio Reguilón,es ESP,DF,28-148,3,123,41,3.8,1.4,0,,0,3,41,10,0.33,0,1,-1,-0.73,-0.88,1.9,1.2,+0.7,+0.53,+0.66,Matches
Dane Scarlett,eng ENG,"FW,MF",21-050,3,34,11,1.0,0.4,0,,0,3,11,3,2.00,3,1,+2,+5.29,+5.24,0.6,0.8,-0.2,-0.65,-0.56,Matches
Alfie Dorrington,eng ENG,DF,20-023,1,14,14,0.4,0.2,0,,0,1,14,3,3.00,0,0,0,0.00,-0.11,0.4,0.0,+0.4,+2.56,+2.67,Matches
,,,,Playing Time,Playing Time,Playing Time,Playing Time,Playing Time,Starts,Starts,Starts,Subs,Subs,Subs,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success (xG),Team Success (xG),Team Success (xG),Team Success (xG),Team Success (xG),
Player,Nation,Pos,Age,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off,Matches
Will Lankshear,eng ENG,"FW,MF",20-023,3,11,4,0.3,0.1,0,,0,3,4,12,1.33,0,0,0,0.00,-0.11,0.5,0.0,+0.5,+4.19,+4.30,Matches
Oyindamola Ajayi,eng ENG,FW,19-137,0,,,,,0,,0,0,,4,,,,,,,,,,,,Matches
Dante Cassanova,jm JAM,DF,20-326,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
Alfie Devine,eng ENG,MF,20-285,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
Malachi Hardy,eng ENG,DF,17-064,0,,,,,0,,0,0,,6,,,,,,,,,,,,Matches
Maeson King,eng ENG,DF,19-246,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
Yang Minhyeok,kr KOR,MF,19-027,0,,,,,0,,0,0,,2,,,,,,,,,,,,Matches
Callum Olusesi,eng ENG,MF,18-116,0,,,,,0,,0,0,,12,,,,,,,,,,,,Matches
Alfie Whiteman,eng ENG,GK,26-223,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
Luca Williams Barnett,eng ENG,FW,16-224,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
Squad Total,,,25.8,36,3240,90,100,36.0,396,82,249,148,22,175,1.06,63,59,+4,+0.11,,56.2,59.7,-3.5,-0.10,,
Opponent Total,,,27.1,36,3240,90,100,36.0,396,82,245,150,18,174,1.81,59,63,-4,-0.11,,59.7,56.2,+3.5,+0.10,,
