id,player_name,team,yellow_cards,red_cards,second_yellow_cards,fouls_commited,fouls_drawn,offsides,pk_won,pk_conceded,own_goals,ball_recoveries,aerial_duels_won,aerial_duels_lost,aerial_duels_won_percent
317,Jannik Vestergaard,Leicester City,5,0,0,12,4,0,0,0,1,46,26,19,57.8
318,Facundo Buonanotte,Leicester City,8,0,0,37,35,3,0,0,0,79,18,36,33.3
319,Luke Thomas,Leicester City,3,0,0,16,10,0,0,1,0,42,13,11,54.2
320,Caleb Okoli,Leicester City,4,0,0,16,9,0,0,0,0,44,23,21,52.3
321,Oliver Skipp,Leicester City,8,0,0,21,13,0,0,0,0,46,12,6,66.7
322,Jakub Stolarczyk,Leicester City,1,0,0,0,0,0,0,0,0,8,5,0,100
323,Kasey McAteer,Leicester City,3,0,0,18,15,3,0,0,0,45,13,17,43.3
324,Bobby De Cordova-Reid,Leicester City,2,0,0,9,9,4,1,0,0,29,6,14,30
325,Patson Daka,Leicester City,0,0,0,15,19,3,0,0,0,18,10,28,26.3
326,Abdul Fatawu Issahaku,Leicester City,0,0,0,11,20,2,0,0,0,38,14,13,51.9
327,Ricardo Pereira,Leicester City,1,0,0,6,8,0,0,0,0,19,4,2,66.7
328,Danny Ward,Leicester City,0,0,0,0,0,0,0,0,0,1,0,0,0
329,Hamza Choudhury,Leicester City,0,0,0,1,0,0,0,0,0,2,0,0,0
330,Woyo Coulibaly,Leicester City,1,0,0,2,1,0,0,0,0,14,0,3,0
331,Jeremy Monga,Leicester City,0,0,0,0,5,0,0,0,0,10,0,1,0
332,Odsonne Édouard,Leicester City,0,0,0,2,0,0,0,0,0,1,1,1,50
333,Jake Evans,Leicester City,0,0,0,0,0,0,0,0,0,0,0,1,0
334,Olabade Aluko,Leicester City,0,0,0,0,0,0,0,0,0,0,0,0,0
335,Will Alves,Leicester City,0,0,0,0,0,0,0,0,0,0,0,0,0
336,Michael Golding,Leicester City,0,0,0,0,0,0,0,0,0,0,0,0,0
339,Mohamed Salah,Liverpool,1,0,0,25,39,18,0,0,0,101,9,14,39.1
340,Virgil van Dijk,Liverpool,5,0,0,17,13,0,0,0,0,115,119,46,72.1
341,Ryan Gravenberch,Liverpool,6,1,0,47,52,0,0,0,0,193,26,14,65
342,Alexis Mac Allister,Liverpool,6,0,0,62,40,2,0,0,0,148,19,34,35.8
343,Ibrahima Konaté,Liverpool,5,0,0,27,20,0,0,0,0,98,74,29,71.8
344,Dominik Szoboszlai,Liverpool,6,0,0,44,24,4,0,0,0,133,19,23,45.2
345,Andrew Robertson,Liverpool,3,1,0,11,8,3,0,1,1,105,7,14,33.3
346,Alisson,Liverpool,0,0,0,0,2,0,0,0,0,47,7,0,100
347,Luis Díaz,Liverpool,2,0,0,48,31,10,2,0,0,105,13,38,25.5
348,Trent Alexander-Arnold,Liverpool,5,0,0,11,9,1,0,0,0,132,3,13,18.8
349,Cody Gakpo,Liverpool,5,0,0,20,31,5,1,0,0,77,17,26,39.5
350,Curtis Jones,Liverpool,3,1,1,18,25,1,1,0,0,97,14,13,51.9
351,Diogo Jota,Liverpool,2,0,0,23,14,1,1,0,0,41,22,32,40.7
352,Caoimhín Kelleher,Liverpool,0,0,0,0,3,0,0,0,0,18,1,0,100
353,Kostas Tsimikas,Liverpool,2,0,0,9,6,1,0,0,0,31,5,8,38.5
354,Darwin Núñez,Liverpool,8,0,0,27,14,12,1,0,0,41,20,33,37.7
355,Conor Bradley,Liverpool,4,0,0,12,14,1,0,0,0,51,11,7,61.1
356,Joe Gomez,Liverpool,1,0,0,2,3,0,0,0,0,34,9,4,69.2
357,Jarell Quansah,Liverpool,2,0,0,9,1,0,0,1,1,19,7,10,41.2
358,Harvey Elliott,Liverpool,1,0,0,0,1,1,0,0,0,15,1,2,33.3
359,Wataru Endo,Liverpool,0,0,0,15,7,0,0,0,0,14,3,4,42.9
360,Federico Chiesa,Liverpool,0,0,0,3,2,0,0,0,0,6,0,4,0
361,Vitezslav Jaros,Liverpool,0,0,0,0,0,0,0,0,0,0,0,0,0
362,Jayden Danns,Liverpool,0,0,0,0,0,0,0,0,0,0,0,0,0
365,Joško Gvardiol,Manchester City,2,0,0,14,24,3,0,0,0,132,50,36,58.1
366,Erling Haaland,Manchester City,2,0,0,23,12,4,0,0,0,31,52,48,52
367,Bernardo Silva,Manchester City,7,0,0,27,29,3,0,0,0,97,5,10,33.3
368,Ederson,Manchester City,3,0,0,1,0,0,0,1,0,39,4,1,80
369,Mateo Kovačić,Manchester City,5,0,0,23,25,0,0,0,0,113,10,9,52.6
370,Rúben Dias,Manchester City,4,0,0,12,8,0,0,1,1,73,34,33,50.7
371,İlkay Gündoğan,Manchester City,1,0,0,15,21,0,0,0,0,105,13,11,54.2
372,Rico Lewis,Manchester City,5,1,1,12,34,0,0,0,0,95,6,14,30
373,Manuel Akanji,Manchester City,3,0,0,17,9,0,0,0,0,96,30,30,50
374,Sávio,Manchester City,3,0,0,17,27,3,2,0,0,79,1,2,33.3
375,Phil Foden,Manchester City,2,0,0,5,34,3,0,0,0,60,3,9,25
376,Kevin De Bruyne,Manchester City,2,0,0,16,18,5,0,0,0,63,5,16,23.8
377,Matheus Nunes,Manchester City,4,0,0,28,17,6,0,1,0,60,13,16,44.8
378,Jeremy Doku,Manchester City,1,0,0,9,32,5,0,0,0,58,0,11,0
379,Stefan Ortega,Manchester City,1,0,0,1,2,0,0,1,0,8,2,0,100
380,Omar Marmoush,Manchester City,0,0,0,13,17,9,1,0,0,33,5,9,35.7
381,Kyle Walker,Manchester City,3,0,0,6,5,1,0,0,0,46,9,7,56.3
382,Nathan Aké,Manchester City,0,0,0,2,0,0,0,0,0,24,13,10,56.5
383,Nicolás González,Manchester City,3,0,0,11,4,0,0,0,0,31,16,11,59.3
384,Jack Grealish,Manchester City,3,0,0,5,25,0,0,0,0,26,1,7,12.5
385,John Stones,Manchester City,1,0,0,2,2,0,0,0,0,22,8,6,57.1
386,Nico O’Reilly,Manchester City,0,0,0,6,4,1,0,0,0,31,6,9,40
387,Abdukodir Khusanov,Manchester City,1,0,0,3,3,0,0,0,1,27,6,4,60
388,James Mcatee,Manchester City,1,0,0,6,3,0,0,0,0,8,2,3,40
389,Jahmai Simpson-Pusey,Manchester City,1,0,0,0,1,0,0,0,0,3,1,3,25
390,Rodri,Manchester City,0,0,0,1,2,0,0,0,0,7,1,0,100
391,Divin Mubama,Manchester City,0,0,0,0,0,0,0,0,0,1,0,1,0
392,Oscar Bobb,Manchester City,0,0,0,0,1,0,0,0,0,1,0,0,0
393,Vitor Reis,Manchester City,0,0,0,0,0,0,0,0,0,0,0,0,0
396,Bruno Fernandes,Manchester United,5,2,1,32,40,2,0,0,0,213,22,28,44
397,André Onana,Manchester United,0,0,0,0,2,0,0,0,0,34,6,0,100
398,Noussair Mazraoui,Manchester United,3,0,0,38,25,4,0,1,0,149,50,30,62.5
399,Diogo Dalot,Manchester United,5,0,0,40,9,4,0,1,0,167,38,21,64.4
400,Matthijs de Ligt,Manchester United,3,0,0,16,12,2,0,2,0,68,58,29,66.7
401,Alejandro Garnacho,Manchester United,3,0,0,12,43,10,0,0,0,108,3,24,11.1
402,Rasmus Højlund,Manchester United,2,0,0,17,28,13,1,0,0,35,31,94,24.8
403,Manuel Ugarte Ribeiro,Manchester United,11,0,0,41,33,0,0,0,1,122,18,18,50
404,Amad Diallo,Manchester United,5,0,0,21,28,9,2,0,0,109,10,15,40
405,Lisandro Martínez,Manchester United,7,0,0,22,7,0,0,0,0,81,16,13,55.2
406,Harry Maguire,Manchester United,7,0,0,18,11,2,0,0,0,68,64,25,71.9
407,Kobbie Mainoo,Manchester United,5,0,0,27,21,3,0,0,0,88,19,31,38
408,Casemiro,Manchester United,5,0,0,20,19,4,0,0,0,103,36,19,65.5
409,Joshua Zirkzee,Manchester United,2,0,0,9,13,3,1,0,0,57,21,54,28
410,Leny Yoro,Manchester United,5,0,0,9,2,1,0,0,0,46,16,16,50
411,Marcus Rashford,Manchester United,2,0,0,8,7,7,0,0,0,24,5,7,41.7
412,Christian Eriksen,Manchester United,4,0,0,8,3,0,0,0,0,62,2,6,25
413,Patrick Dorgu,Manchester United,3,1,0,17,28,3,0,0,0,37,15,9,62.5
414,Mason Mount,Manchester United,3,0,0,16,9,1,0,0,0,18,4,8,33.3
415,Victor Lindelöf,Manchester United,1,0,0,8,1,0,0,0,0,29,17,15,53.1
416,Altay Bayındır,Manchester United,0,0,0,0,1,0,0,0,0,3,1,1,50
417,Luke Shaw,Manchester United,1,0,0,3,1,0,0,0,1,9,3,2,60
418,Harry Amass,Manchester United,0,0,0,2,4,1,0,0,0,26,7,6,53.8
419,Jonny Evans,Manchester United,1,0,0,5,6,0,0,0,0,16,9,3,75
420,Ayden Heaven,Manchester United,1,0,0,4,4,0,0,0,0,11,2,3,40
421,Tyler Fredricson,Manchester United,0,0,0,0,2,0,0,0,0,12,7,5,58.3
422,Tyrell Malacia,Manchester United,1,0,0,3,2,0,0,0,0,3,0,0,0
423,Chidozie Obi-Martin,Manchester United,1,0,0,3,1,0,0,0,0,9,2,4,33.3
424,Toby Collyer,Manchester United,0,0,0,2,4,0,0,0,0,17,3,1,75
425,Antony,Manchester United,0,0,0,2,5,0,0,0,0,11,0,1,0
426,Scott McTominay,Manchester United,0,0,0,0,0,0,0,0,0,1,1,0,100
429,Bruno Guimarães,Newcastle United,7,0,0,65,108,2,0,0,0,188,18,19,48.6
430,Dan Burn,Newcastle United,11,0,0,34,12,5,0,0,2,103,146,75,66.1
431,Alexander Isak,Newcastle United,1,0,0,27,14,20,1,0,0,55,26,55,32.1
432,Fabian Schär,Newcastle United,9,1,0,35,15,4,0,0,0,134,56,71,44.1
433,Valentino Livramento,Newcastle United,1,0,0,6,35,2,0,0,0,189,27,35,43.5
434,Jacob Murphy,Newcastle United,4,0,0,11,15,3,1,0,0,98,5,16,23.8
435,Joelinton,Newcastle United,10,0,0,58,35,7,0,0,0,149,59,46,56.2
436,Sandro Tonali,Newcastle United,5,0,0,37,49,2,1,0,0,177,12,12,50
437,Nick Pope,Newcastle United,2,0,0,2,5,0,0,2,0,24,11,1,91.7
438,Anthony Gordon,Newcastle United,2,0,0,20,71,8,1,0,0,97,8,8,50
439,Lewis Hall,Newcastle United,3,0,0,9,21,1,0,0,0,119,30,31,49.2
440,Harvey Barnes,Newcastle United,0,0,0,15,22,5,0,0,0,55,6,15,28.6
441,Kieran Trippier,Newcastle United,1,0,0,16,11,2,0,0,0,68,22,15,59.5
442,Joe Willock,Newcastle United,4,0,0,23,13,3,0,0,0,40,5,14,26.3
443,Martin Dúbravka,Newcastle United,0,0,0,0,1,0,0,0,0,18,4,0,100
444,Sean Longstaff,Newcastle United,2,0,0,9,6,0,0,0,0,31,7,7,50
445,Sven Botman,Newcastle United,1,0,0,5,4,0,0,0,0,14,17,9,65.4
446,Lloyd Kelly,Newcastle United,2,0,0,5,5,1,0,0,0,19,6,2,75
447,Callum Wilson,Newcastle United,1,0,0,4,1,3,0,0,0,11,2,16,11.1
448,Emil Krafth,Newcastle United,2,0,0,5,2,0,0,0,0,19,8,8,50
449,Lewis Miley,Newcastle United,0,0,0,3,1,0,0,0,0,16,6,7,46.2
450,Miguel Almirón,Newcastle United,0,0,0,1,3,2,0,0,0,4,0,2,0
451,William Osula,Newcastle United,0,0,0,4,1,1,0,0,0,2,6,2,75
452,Matt Targett,Newcastle United,0,0,0,0,0,0,0,0,0,2,0,0,0
455,Matz Sels,Nottingham Forest,4,0,0,1,10,0,0,1,0,17,15,2,88.2
456,Nikola Milenković,Nottingham Forest,4,0,0,20,5,2,0,0,0,85,101,39,72.1
457,Murillo,Nottingham Forest,6,0,0,27,6,0,0,1,0,142,44,22,66.7
458,Ola Aina,Nottingham Forest,5,0,0,23,35,2,0,1,0,190,13,19,40.6
459,Chris Wood,Nottingham Forest,1,0,0,25,24,28,0,0,0,50,94,143,39.7
460,Morgan Gibbs-White,Nottingham Forest,11,1,1,38,40,7,1,0,0,127,40,55,42.1
461,Elliot Anderson,Nottingham Forest,10,0,0,49,58,4,0,0,0,207,56,30,65.1
462,Anthony Elanga,Nottingham Forest,1,0,0,9,47,18,0,0,0,89,24,37,39.3
463,Neco Williams,Nottingham Forest,7,0,0,24,43,2,0,0,0,110,40,30,57.1
464,Callum Hudson-Odoi,Nottingham Forest,2,0,0,12,25,8,1,0,0,92,3,10,23.1
465,Nicolás Domínguez,Nottingham Forest,9,0,0,33,18,1,0,0,0,114,27,23,54
466,Ryan Yates,Nottingham Forest,10,0,0,53,49,7,0,0,0,104,45,30,60
467,Álex Moreno,Nottingham Forest,2,0,0,12,6,0,0,0,0,50,3,11,21.4
468,Ibrahim Sangaré,Nottingham Forest,3,0,0,15,8,0,0,0,0,42,10,10,50
469,Morato,Nottingham Forest,5,0,0,11,2,0,0,0,0,36,6,14,30
470,Jota Silva,Nottingham Forest,5,0,0,24,23,8,1,0,0,43,21,30,41.2
471,James Ward-Prowse,Nottingham Forest,2,1,1,7,2,0,0,0,0,19,3,5,37.5
472,Danilo,Nottingham Forest,0,0,0,2,0,0,0,0,0,19,1,2,33.3
473,Taiwo Awoniyi,Nottingham Forest,0,0,0,8,10,1,0,0,0,18,13,38,25.5
474,Ramón Sosa,Nottingham Forest,1,0,0,6,8,3,0,0,0,25,4,7,36.4
475,Willy Boly,Nottingham Forest,1,0,0,1,0,0,0,0,0,5,6,2,75
476,Harry Toffolo,Nottingham Forest,1,0,0,1,0,0,0,0,0,2,1,0,100
477,Eric da Silva Moreira,Nottingham Forest,0,0,0,0,0,0,0,0,0,2,0,0,0
480,Mateus Fernandes,Southampton,8,0,0,46,55,4,0,0,0,179,15,9,62.5
481,Kyle Walker-Peters,Southampton,5,0,0,28,52,2,0,0,0,135,11,21,34.4
482,Taylor Harwood-Bellis,Southampton,9,0,0,35,14,0,0,0,0,123,63,49,56.3
483,Aaron Ramsdale,Southampton,2,0,0,1,4,0,0,0,0,23,6,0,100
484,Jan Bednarek,Southampton,7,0,0,31,13,0,0,1,0,106,71,37,65.7
485,Flynn Downes,Southampton,12,0,0,50,39,0,0,0,0,83,17,17,50
486,Joe Aribo,Southampton,1,0,0,20,28,1,0,1,0,112,25,24,51
487,Tyler Dibling,Southampton,6,0,0,30,50,2,2,0,0,80,10,25,28.6
488,Lesley Ugochukwu,Southampton,7,0,0,31,16,0,0,1,0,67,20,18,52.6
489,Ryan Manning,Southampton,2,0,0,19,32,0,0,0,0,65,15,6,71.4
490,Kamaldeen Sulemana,Southampton,2,0,0,22,11,3,0,0,0,63,13,27,32.5
491,Jack Stephens,Southampton,2,2,0,13,4,1,0,1,0,44,6,10,37.5
492,Yukinari Sugawara,Southampton,4,0,0,15,10,4,0,2,0,44,5,9,35.7
493,Adam Armstrong,Southampton,4,0,0,12,5,9,0,0,0,23,5,9,35.7
494,Cameron Archer,Southampton,0,0,0,16,13,8,0,0,0,35,9,30,23.1
495,James Bree,Southampton,0,0,0,4,5,0,0,0,0,65,12,7,63.2
496,Paul Onuachu,Southampton,4,0,0,28,16,10,0,0,0,19,93,59,61.2
497,Nathan Wood-Gordon,Southampton,2,0,0,9,4,0,0,0,0,20,15,8,65.2
498,William Smallbone,Southampton,1,0,0,11,3,0,0,1,0,23,4,6,40
499,Welington,Southampton,1,0,0,6,8,1,0,1,0,21,5,4,55.6
500,Alex McCarthy,Southampton,0,0,0,0,1,0,0,0,0,4,2,0,100
501,Adam Lallana,Southampton,4,0,0,8,8,0,0,0,0,19,2,2,50
502,Ben Brereton,Southampton,1,0,0,4,8,1,0,0,0,16,9,7,56.3
503,Ross Stewart,Southampton,1,0,0,7,7,1,0,0,0,6,13,23,36.1
504,Ryan Fraser,Southampton,0,1,0,1,4,1,0,1,0,10,2,3,40
505,Charlie Taylor,Southampton,1,0,0,2,3,0,0,0,0,10,6,2,75
506,Joe Lumley,Southampton,0,0,0,0,0,0,0,0,0,2,2,1,66.7
507,Armel Bella Kotchap,Southampton,0,0,0,3,2,0,0,0,0,19,6,5,54.5
508,Albert Grønbaek,Southampton,0,0,0,0,1,0,0,0,0,6,2,0,100
509,Jay Robinson,Southampton,0,0,0,3,1,0,0,0,0,12,0,1,0
510,Maxwel Cornet,Southampton,1,0,0,0,1,1,0,0,0,2,3,0,100
511,Samuel Edozie,Southampton,1,0,0,2,1,0,0,0,0,1,0,0,0
512,Samuel Amo-Ameyaw,Southampton,1,0,0,1,2,0,0,0,0,1,0,1,0
513,Joachim Kayi Sanda,Southampton,0,0,0,0,0,0,0,0,0,0,0,1,0
514,Ronnie Edwards,Southampton,0,0,0,0,0,0,0,0,0,0,0,0,0
515,Carlos Alcaraz,Southampton,0,0,0,1,0,0,0,0,0,2,1,0,100
518,Pedro Porro,Tottenham,5,0,0,25,33,1,0,0,0,152,12,23,34.3
519,Dejan Kulusevski,Tottenham,3,0,0,48,38,5,0,0,0,121,10,15,40
520,Dominic Solanke,Tottenham,0,0,0,36,36,5,0,0,1,38,46,60,43.4
521,Brennan Johnson,Tottenham,5,0,0,27,26,12,2,0,0,63,7,20,25.9
522,Guglielmo Vicario,Tottenham,1,0,0,0,2,0,0,0,0,32,9,0,100
523,Son Heung-min,Tottenham,1,0,0,6,28,12,1,0,0,85,6,12,33.3
524,Destiny Udogie,Tottenham,2,0,0,29,38,3,0,0,1,111,13,13,50
525,Pape Matar Sarr,Tottenham,6,0,0,34,35,2,0,1,0,115,34,45,43
526,James Maddison,Tottenham,6,0,0,32,64,4,0,0,0,76,5,7,41.7
527,Rodrigo Bentancur,Tottenham,9,0,0,34,10,1,0,0,0,121,36,30,54.5
528,Djed Spence,Tottenham,4,1,1,21,23,2,0,0,1,109,21,14,60
529,Archie Gray,Tottenham,1,0,0,17,11,0,0,0,1,69,11,11,50
530,Cristian Romero,Tottenham,3,0,0,14,12,2,0,0,0,90,41,27,60.3
531,Yves Bissouma,Tottenham,7,0,0,28,18,0,0,2,0,85,7,7,50
532,Ben Davies,Tottenham,5,0,0,17,7,0,0,0,0,41,52,44,54.2
533,Radu Drăgușin,Tottenham,1,0,0,6,10,0,0,0,0,48,33,22,60
534,Micky van de Ven,Tottenham,4,0,0,10,9,0,0,0,0,63,19,20,48.7
535,Lucas Bergvall,Tottenham,3,0,0,20,17,0,0,0,0,73,9,8,52.9
536,Mathys Tel,Tottenham,2,0,0,14,16,1,1,0,0,38,4,7,36.4
537,Wilson Odobert,Tottenham,0,0,0,2,3,1,0,0,0,34,4,8,33.3
538,Kevin Danso,Tottenham,0,0,0,9,13,0,0,0,0,27,21,12,63.6
539,Fraser Forster,Tottenham,0,0,0,0,0,0,0,0,0,1,1,0,100
540,Antonín Kinský,Tottenham,0,0,0,0,0,0,0,0,0,6,2,0,100
541,Timo Werner,Tottenham,0,0,0,3,5,5,0,0,0,18,0,1,0
542,Richarlison,Tottenham,2,0,0,7,13,3,0,0,0,11,10,23,30.3
543,Mikey Moore,Tottenham,0,0,0,3,7,3,0,0,0,11,1,6,14.3
544,Sergio Reguilón,Tottenham,2,0,0,2,6,0,0,0,0,14,5,2,71.4
545,Brandon Austin,Tottenham,0,0,0,0,2,0,0,0,0,1,2,0,100
546,Dane Scarlett,Tottenham,0,0,0,0,1,1,0,0,0,3,1,0,100
547,Alfie Dorrington,Tottenham,0,0,0,0,0,0,0,0,0,3,0,0,0
548,Will Lankshear,Tottenham,0,0,0,2,0,0,0,0,0,0,0,0,0
551,Max Kilman,West Ham,5,0,0,23,13,2,0,0,0,146,113,55,67.3
552,Aaron Wan-Bissaka,West Ham,1,0,0,25,27,5,0,0,1,174,22,33,40
553,Jarrod Bowen,West Ham,1,0,0,20,51,10,0,0,0,129,12,48,20
554,Mohammed Kudus,West Ham,2,1,0,39,64,18,0,0,0,138,11,40,21.6
555,Tomáš Souček,West Ham,8,0,0,47,25,4,1,0,0,63,99,73,57.6
556,Lucas Paquetá,West Ham,10,0,0,53,62,6,0,1,0,149,48,57,45.7
557,Emerson Palmieri,West Ham,5,0,0,25,13,0,0,0,0,84,18,20,47.4
558,Alphonse Areola,West Ham,0,0,0,0,0,0,0,0,1,29,2,0,100
559,Konstantinos Mavropanos,West Ham,6,1,1,17,16,3,0,0,0,77,57,25,69.5
560,Jean-Clair Todibo,West Ham,3,0,0,16,6,0,0,0,0,79,28,26,51.9
561,Edson Álvarez,West Ham,9,1,1,42,18,4,0,0,0,88,30,23,56.6
562,Guido Rodríguez,West Ham,6,0,0,18,12,2,0,0,0,53,11,7,61.1
563,Carlos Soler,West Ham,6,0,0,26,19,0,0,0,0,64,10,12,45.5
564,Łukasz Fabiański,West Ham,2,0,0,2,1,0,0,2,0,5,3,1,75
565,James Ward-Prowse,West Ham,2,0,0,10,4,0,0,0,0,52,10,5,66.7
566,Vladimír Coufal,West Ham,5,0,0,22,16,0,0,0,1,39,23,16,59
567,Michail Antonio,West Ham,1,0,0,12,7,4,0,0,0,22,17,22,43.6
568,Aaron Cresswell,West Ham,3,0,0,4,2,0,0,0,0,36,7,7,50
569,Crysencio Summerville,West Ham,2,0,0,9,23,4,0,0,0,38,4,9,30.8
570,Oliver Scarles,West Ham,1,0,0,5,3,1,0,0,0,34,6,6,50
571,Niclas Füllkrug,West Ham,2,0,0,21,6,10,0,0,0,18,39,52,42.9
572,Danny Ings,West Ham,0,0,0,0,2,0,1,0,0,9,8,10,44.4
573,Andy Irving,West Ham,2,0,0,6,1,0,0,0,0,10,1,1,50
574,Evan Ferguson,West Ham,0,0,0,1,2,0,0,0,0,8,5,10,33.3
575,Luis Guilherme,West Ham,0,0,0,0,4,0,0,0,0,7,2,1,66.7
576,Lewis Orford,West Ham,0,0,0,0,0,0,0,0,0,7,0,1,0
577,Kaelan Casey,West Ham,0,0,0,0,0,0,0,0,0,0,1,0,100
580,Rayan Aït-Nouri,Wolves,7,1,1,30,46,6,0,0,0,145,22,30,42.3
581,João Gomes,Wolves,11,1,1,70,47,1,0,0,0,200,11,26,29.7
582,Nélson Semedo,Wolves,8,0,0,48,30,4,0,1,0,139,28,42,40
583,André,Wolves,7,0,0,36,34,0,0,1,0,194,2,6,25
584,Toti Gomes,Wolves,7,0,0,24,15,4,0,1,0,116,53,26,67.1
585,Jørgen Strand Larsen,Wolves,4,0,0,46,19,16,0,0,0,42,67,100,40.1
586,José Sá,Wolves,2,0,0,4,9,0,0,4,0,37,11,1,91.7
587,Matheus Cunha,Wolves,4,0,0,42,71,8,0,1,0,125,13,29,31
588,Matt Doherty,Wolves,6,0,0,18,11,2,0,0,1,106,56,21,72.7
589,Jean-Ricner Bellegarde,Wolves,3,0,0,31,47,1,0,0,0,62,10,19,34.5
590,Santiago Bueno,Wolves,2,0,0,26,5,0,0,0,0,43,35,31,53
591,Emmanuel Agbadou,Wolves,3,0,0,7,4,1,0,0,0,83,26,20,56.5
592,Mario Lemina,Wolves,4,0,0,17,8,4,0,1,0,73,25,16,61
593,Marshall Munetsi,Wolves,0,0,0,19,10,3,0,0,0,35,29,23,55.8
594,Gonçalo Guedes,Wolves,1,0,0,15,17,3,0,0,0,36,5,13,27.8
595,Craig Dawson,Wolves,2,0,0,6,5,2,0,0,2,35,21,11,65.6
596,Pablo Sarabia,Wolves,3,0,0,16,15,5,0,0,0,34,5,14,26.3
597,Rodrigo Gomes,Wolves,0,0,0,4,6,0,0,0,0,28,8,17,32
598,Sam Johnstone,Wolves,0,0,0,0,0,0,0,0,0,9,4,0,100
599,Hwang Hee-chan,Wolves,0,0,0,6,9,0,0,0,0,28,3,9,25
600,Yerson Mosquera,Wolves,2,0,0,6,7,1,0,0,0,24,11,6,64.7
601,Tommy Doyle,Wolves,1,0,0,5,5,0,0,0,0,43,1,6,14.3
602,Daniel Bentley,Wolves,0,0,0,0,0,0,0,0,0,4,2,0,100
603,Carlos Forbs,Wolves,2,0,0,2,1,0,0,0,0,11,1,3,25
604,Pedro Lima,Wolves,0,0,0,1,1,1,0,0,0,3,0,3,0
605,Nasser Djiga,Wolves,0,0,0,0,1,0,0,0,0,2,1,1,50
606,Daniel Podence,Wolves,0,0,0,0,2,0,0,0,0,1,0,1,0
607,Chiquinho,Wolves,0,0,0,1,0,0,0,0,0,1,0,0,0
608,Mateus Mane,Wolves,0,0,0,0,0,0,0,0,0,0,1,0,100
609,Tom King,Wolves,0,0,0,0,0,0,0,0,0,0,0,0,0
610,Alfie Pond,Wolves,0,0,0,0,0,0,0,0,0,0,0,0,0
611,Boubacar Traoré,Wolves,0,0,0,0,0,0,0,0,0,0,0,1,0
