id,player_name,team,yellow_cards,red_cards,second_yellow_cards,fouls_commited,fouls_drawn,offsides,pk_won,pk_conceded,own_goals,ball_recoveries,aerial_duels_won,aerial_duels_lost,aerial_duels_won_percent
104,Michael Kayode,Brentford,2,0,0,8,3,0,0,0,0,34,9,4,69.2
105,Fabio Carvalho,Brentford,1,0,0,5,10,1,0,0,0,30,2,6,25
106,Ben Mee,Brentford,2,0,0,5,0,0,0,0,0,11,5,5,50
107,Thiago,Brentford,0,0,0,3,3,1,0,0,0,12,7,5,58.3
108,Hákon Rafn Valdimarsson,Brentford,0,0,0,0,0,0,0,0,0,1,1,0,100
109,Edmond-Paris Maghoma,Brentford,0,0,0,2,4,0,0,0,0,7,1,3,25
110,Rico Henry,Brentford,0,0,0,2,2,0,0,0,0,7,2,1,66.7
111,Yunus Emre Konak,Brentford,0,0,0,3,1,0,0,0,0,2,5,9,35.7
112,Kim Jisoo,Brentford,0,0,0,1,0,0,0,0,0,0,0,0,0
113,Frank Onyeka,Brentford,0,0,0,2,0,0,0,0,0,2,0,0,0
114,Gustavo Nunes,Brentford,0,0,0,0,0,0,0,0,0,0,0,0,0
115,Jayden Meghoma,Brentford,0,0,0,0,0,0,0,0,0,1,0,0,0
116,Ryan Trevitt,Brentford,0,0,0,0,0,0,0,0,0,2,0,0,0
119,Bart Verbruggen,Brighton,5,0,0,0,2,0,0,0,0,59,10,1,90.9
120,Jan Paul van Hecke,Brighton,8,1,1,25,24,0,0,0,0,131,82,50,62.1
121,Carlos Baleba,Brighton,8,1,1,40,48,0,0,2,0,197,39,26,60
122,Kaoru Mitoma,Brighton,1,0,0,40,24,5,0,0,0,99,26,27,49.1
123,Pervis Estupiñán,Brighton,5,0,0,36,20,3,0,0,0,147,46,26,63.9
124,Danny Welbeck,Brighton,5,0,0,11,23,4,0,0,0,46,17,32,34.7
125,Lewis Dunk,Brighton,5,0,0,7,11,2,0,0,1,104,51,31,62.2
126,João Pedro,Brighton,4,1,0,26,46,2,3,1,0,59,41,43,48.8
127,Yasin Ayari,Brighton,3,0,0,37,26,3,0,1,0,118,16,20,44.4
128,Jack Hinshelwood,Brighton,5,0,0,18,9,0,0,0,0,63,20,16,55.6
129,Yankuba Minteh,Brighton,6,0,0,21,11,6,0,0,0,85,17,34,33.3
130,Joël Veltman,Brighton,5,0,0,27,44,0,0,1,0,68,21,18,53.8
131,Georginio Rutter,Brighton,2,0,0,34,45,7,0,1,0,66,25,46,35.2
132,Simon Adingra,Brighton,0,0,0,13,4,4,0,0,0,47,7,4,63.6
133,Matt O'Riley,Brighton,1,0,0,16,13,2,1,0,1,29,5,8,38.5
134,Adam Webster,Brighton,1,0,0,7,2,1,0,1,0,35,24,6,80
135,Mats Wieffer,Brighton,6,0,0,23,10,1,1,1,0,68,32,25,56.1
136,Igor,Brighton,4,0,0,9,6,0,0,0,0,42,8,6,57.1
