id,player_name,team,touches,touches_in_def_pen_area,touches_in_def_third,touches_in_mid_third,touches_in_att_third,touches_in_att_pen_area,live_ball_touches,attempted_take_ons,successful_take_ons,successful_take_ons_percent,tackled_during_take_on,tackled_during_take_on_percent,carries,total_carrying_distance,progressive_carrying_distance,progressive_carries,carries_into_final_third,carries_into_pen_area,miscontrols,times_dispossessed,passes_received,progressive_passes_received
275,Omari Hutchinson,Ipswich Town,1259,17,200,516,567,92,1259,137,51,37.2,68,49.6,779,6035,2976,97,39,37,80,58,893,159
276,Jacob Greaves,Ipswich Town,1404,276,746,568,95,22,1404,6,4,66.7,1,16.7,619,2881,1268,11,11,0,10,2,851,11
277,Jens Cajuste,Ipswich Town,1017,61,286,530,217,15,1017,53,28,52.8,19,35.8,481,2609,1329,26,23,3,23,17,594,20
278,Axel Tuanzebe,Ipswich Town,971,97,407,426,145,8,971,10,4,40,6,60,402,1698,826,10,7,1,11,1,516,15
279,Arijanet Muric,Ipswich Town,689,559,672,18,0,0,689,0,0,0,0,0,405,2088,1178,0,0,0,3,1,321,0
280,Cameron Burgess,Ipswich Town,982,248,609,327,48,24,982,0,0,0,0,0,430,1965,1002,2,4,0,3,0,573,4
281,Ben Johnson,Ipswich Town,626,60,246,220,163,12,626,24,8,33.3,14,58.3,259,1503,585,16,12,3,23,17,292,33
282,Kalvin Phillips,Ipswich Town,739,61,223,398,122,5,739,12,5,41.7,6,50,310,1489,569,4,5,0,25,10,394,4
283,Alex Palmer,Ipswich Town,470,396,461,10,0,0,470,0,0,0,0,0,210,1205,750,0,0,0,2,0,170,0
284,Sammie Szmodics,Ipswich Town,318,17,80,125,119,33,318,12,4,33.3,6,50,179,1003,407,16,8,7,24,17,193,47
285,Luke Woolfenden,Ipswich Town,694,147,407,278,9,3,694,0,0,0,0,0,368,2118,1249,7,3,0,4,0,442,0
286,Jack Clarke,Ipswich Town,553,24,125,229,215,38,553,50,25,50,18,36,311,2356,1217,39,21,12,25,22,338,57
287,Wes Burns,Ipswich Town,350,21,69,129,160,18,350,24,9,37.5,14,58.3,216,1458,696,38,13,10,17,13,220,65
288,Julio Enciso,Ipswich Town,406,5,52,202,167,23,406,66,30,45.5,28,42.4,205,1537,793,23,25,9,24,30,262,44
289,Conor Chaplin,Ipswich Town,390,7,74,183,138,18,390,8,4,50,4,50,179,910,467,13,9,0,12,5,264,23
290,Nathan Broadhead,Ipswich Town,317,7,41,161,126,21,317,34,17,50,15,44.1,174,1238,584,20,16,5,19,15,222,33
291,Christian Walton,Ipswich Town,272,248,271,1,0,0,272,0,0,0,0,0,143,699,384,0,0,0,0,0,131,0
292,George Hirst,Ipswich Town,188,12,28,61,101,28,188,6,2,33.3,3,50,101,529,211,9,2,7,21,16,161,31
293,Jaden Philogene Bidace,Ipswich Town,220,10,53,68,101,18,220,18,5,27.8,11,61.1,127,862,305,13,3,5,11,10,133,36
294,Jack Taylor,Ipswich Town,534,32,161,281,103,8,534,11,4,36.4,4,36.4,254,1506,791,11,10,1,10,6,345,23
295,Harry Clarke,Ipswich Town,268,18,100,122,47,2,268,2,1,50,1,50,118,555,222,5,7,0,4,2,163,2
296,Conor Townsend,Ipswich Town,172,28,87,50,38,5,172,0,0,0,0,0,53,278,136,2,2,0,2,2,75,13
297,Chiedozie Ogbene,Ipswich Town,70,3,11,19,40,6,70,7,1,14.3,3,42.9,41,330,139,7,2,2,4,2,43,15
298,Massimo Luongo,Ipswich Town,87,9,34,33,20,2,87,0,0,0,0,0,46,184,27,0,0,0,2,3,50,1
299,Ben Godfrey,Ipswich Town,68,6,26,33,9,1,68,0,0,0,0,0,33,202,79,2,2,0,2,1,42,1
300,Ali Al Hamadi,Ipswich Town,53,2,6,20,30,9,53,7,4,57.1,3,42.9,29,187,111,4,3,4,7,4,36,14
301,Marcus Harness,Ipswich Town,22,4,7,2,13,3,22,1,0,0,1,100,9,49,14,0,0,0,0,0,9,1
302,George Edmundson,Ipswich Town,3,1,3,0,0,0,3,0,0,0,0,0,1,2,0,0,0,0,0,0,1,0
305,Jamie Vardy,Leicester City,586,30,61,272,260,111,584,23,11,47.8,10,43.5,285,1504,717,29,13,16,34,14,382,120
306,James Justin,Leicester City,1948,151,692,881,387,38,1948,30,9,30,13,43.3,866,3649,1788,39,27,4,31,15,1077,96
307,Wout Faes,Leicester City,1906,318,962,885,68,27,1906,6,5,83.3,1,16.7,1107,5050,2928,12,13,2,17,6,1268,1
308,Victor Bernth Kristiansen,Leicester City,1614,115,577,722,329,17,1614,18,8,44.4,9,50,816,3948,1866,40,26,5,15,13,887,78
309,Wilfred Ndidi,Leicester City,1400,119,461,699,253,61,1400,33,13,39.4,18,54.5,670,2727,1101,18,23,2,37,33,834,75
310,Mads Hermansen,Leicester City,1147,831,1106,43,0,0,1147,1,1,100,0,0,734,3625,1904,0,0,0,1,0,625,0
311,Bilal El Khannouss,Leicester City,1268,18,183,655,445,35,1268,60,34,56.7,23,38.3,732,4494,2038,73,45,12,38,38,851,89
312,Boubakary Soumaré,Leicester City,1441,73,386,903,166,18,1441,45,27,60,14,31.1,847,3904,2011,34,19,4,24,22,1013,23
313,Conor Coady,Leicester City,1210,234,689,503,20,8,1210,2,1,50,1,50,789,3430,1820,3,3,1,4,3,878,0
314,Jordan Ayew,Leicester City,798,21,103,407,312,55,797,64,26,40.6,32,50,479,3374,1540,49,37,11,63,40,540,86
315,Harry Winks,Leicester City,1158,49,275,746,151,1,1158,12,3,25,8,66.7,696,3268,1522,19,13,0,13,8,827,11
316,Stephy Mavididi,Leicester City,863,23,132,327,421,61,863,95,35,36.8,47,49.5,583,4343,2355,91,40,27,39,35,623,138
317,Jannik Vestergaard,Leicester City,1092,196,572,497,28,10,1092,4,4,100,0,0,672,2932,1458,3,3,0,2,0,757,2
318,Facundo Buonanotte,Leicester City,874,26,128,452,307,39,874,83,28,33.7,49,59,479,2997,1347,39,26,9,58,39,528,74
319,Luke Thomas,Leicester City,775,50,294,366,120,8,775,6,3,50,3,50,371,1457,585,5,8,2,12,4,431,16
320,Caleb Okoli,Leicester City,806,152,451,325,35,10,806,0,0,0,0,0,468,2318,1106,3,6,0,10,2,484,2
321,Oliver Skipp,Leicester City,612,29,141,383,92,9,612,12,7,58.3,5,41.7,347,1392,644,16,7,3,12,7,419,19
322,Jakub Stolarczyk,Leicester City,411,309,406,6,0,0,411,0,0,0,0,0,221,983,595,0,0,0,1,0,225,0
323,Kasey McAteer,Leicester City,379,21,76,141,169,30,379,25,6,24,15,60,224,1455,575,19,11,9,20,16,243,71
324,Bobby De Cordova-Reid,Leicester City,272,15,49,114,109,16,272,10,0,0,8,80,174,816,389,14,5,6,11,10,188,48
325,Patson Daka,Leicester City,252,11,46,114,97,29,252,15,2,13.3,10,66.7,141,714,321,11,7,6,20,12,167,36
326,Abdul Fatawu Issahaku,Leicester City,326,19,73,114,157,26,326,69,29,42,28,40.6,217,1869,1055,42,24,15,18,12,216,60
327,Ricardo Pereira,Leicester City,296,17,90,166,41,5,296,9,6,66.7,2,22.2,151,453,186,3,3,2,3,1,172,5
328,Danny Ward,Leicester City,55,40,55,0,0,0,55,1,0,0,1,100,44,176,107,0,0,0,0,0,35,0
329,Hamza Choudhury,Leicester City,100,4,19,61,20,3,100,4,3,75,1,25,63,246,130,4,2,2,1,0,71,6
330,Woyo Coulibaly,Leicester City,76,8,27,31,20,4,76,1,0,0,1,100,48,288,169,4,2,1,4,0,36,2
331,Jeremy Monga,Leicester City,51,1,9,16,27,5,51,7,2,28.6,3,42.9,37,336,157,6,2,3,5,2,32,10
332,Odsonne Édouard,Leicester City,20,1,2,7,11,6,20,2,1,50,1,50,11,25,2,0,0,1,7,2,13,2
333,Jake Evans,Leicester City,5,0,1,3,1,0,5,0,0,0,0,0,1,1,0,0,0,0,0,1,3,1
334,Olabade Aluko,Leicester City,6,0,0,6,1,0,6,1,0,0,1,100,2,1,0,0,0,0,0,1,2,0
335,Will Alves,Leicester City,1,0,0,0,1,0,1,0,0,0,0,0,1,5,5,0,0,0,0,0,1,1
336,Michael Golding,Leicester City,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
339,Mohamed Salah,Liverpool,1695,11,97,500,1119,356,1686,137,58,42.3,72,52.6,1149,6973,3695,154,59,126,116,67,1407,488
340,Virgil van Dijk,Liverpool,3301,450,1318,1827,166,48,3301,5,3,60,2,40,1856,8754,4846,22,24,3,10,5,2281,6
341,Ryan Gravenberch,Liverpool,2343,117,509,1354,512,26,2343,81,37,45.7,30,37,1396,7452,3742,70,75,10,55,26,1669,55
342,Alexis Mac Allister,Liverpool,1860,56,284,960,637,60,1860,42,16,38.1,21,50,914,3773,2009,36,43,5,31,22,1227,80
343,Ibrahima Konaté,Liverpool,2185,223,928,1145,119,23,2185,6,3,50,2,33.3,1290,6124,3603,25,15,0,8,2,1576,3
344,Dominik Szoboszlai,Liverpool,1584,32,220,761,626,104,1584,41,21,51.2,17,41.5,805,4223,2372,72,49,18,37,23,1073,127
345,Andrew Robertson,Liverpool,2084,92,539,940,620,53,2084,18,7,38.9,10,55.6,1107,4941,2848,64,52,6,25,13,1399,108
346,Alisson,Liverpool,1011,742,991,20,0,0,1011,1,1,100,0,0,658,2625,1586,0,0,0,1,0,618,0
347,Luis Díaz,Liverpool,1184,17,90,409,706,167,1184,116,53,45.7,51,44,780,5710,2960,108,55,56,55,49,933,293
348,Trent Alexander-Arnold,Liverpool,2252,88,593,1013,660,44,2252,37,17,45.9,17,45.9,1183,5353,2860,51,36,9,19,15,1436,94
349,Cody Gakpo,Liverpool,888,28,91,258,557,110,888,61,31,50.8,21,34.4,605,4320,2208,59,34,28,45,24,677,278
350,Curtis Jones,Liverpool,1288,41,220,683,393,58,1288,22,12,54.5,8,36.4,789,3889,1892,30,23,8,26,36,967,79
351,Diogo Jota,Liverpool,485,6,35,198,259,97,485,33,11,33.3,20,60.6,263,1500,796,37,23,21,40,22,333,88
352,Caoimhín Kelleher,Liverpool,398,286,396,2,0,0,398,1,1,100,0,0,290,1131,616,0,0,0,1,0,275,0
353,Kostas Tsimikas,Liverpool,741,33,190,327,229,13,741,12,5,41.7,5,41.7,368,1567,790,17,8,2,6,4,472,43
354,Darwin Núñez,Liverpool,366,10,45,122,210,74,366,23,8,34.8,14,60.9,201,1063,568,23,19,12,24,21,248,78
355,Conor Bradley,Liverpool,663,32,197,299,178,43,663,25,10,40,12,48,369,2332,1356,35,22,9,13,5,411,39
356,Joe Gomez,Liverpool,481,54,183,264,37,5,481,0,0,0,0,0,303,1638,947,5,2,1,1,2,335,2
357,Jarell Quansah,Liverpool,464,80,245,189,30,6,464,3,1,33.3,2,66.7,268,1421,709,3,4,1,5,2,321,4
358,Harvey Elliott,Liverpool,339,5,32,164,144,21,339,9,4,44.4,4,44.4,188,872,408,10,11,5,5,4,253,30
359,Wataru Endo,Liverpool,237,12,65,124,49,3,237,2,2,100,0,0,110,397,169,1,3,1,6,3,163,8
360,Federico Chiesa,Liverpool,46,2,10,15,21,4,46,2,0,0,2,100,31,130,58,3,1,1,3,4,33,7
361,Vitezslav Jaros,Liverpool,8,5,8,0,0,0,8,0,0,0,0,0,7,29,8,0,0,0,0,0,5,0
362,Jayden Danns,Liverpool,2,0,0,0,2,0,2,0,0,0,0,0,1,2,1,0,0,0,0,1,1,0
365,Joško Gvardiol,Manchester City,2985,142,733,1491,785,95,2985,41,24,58.5,14,34.1,1942,10243,5848,87,99,14,25,16,2196,112
366,Erling Haaland,Manchester City,595,22,39,204,358,181,592,32,11,34.4,19,59.4,281,1364,507,20,15,20,41,25,440,110
367,Bernardo Silva,Manchester City,1894,49,323,760,829,136,1894,61,28,45.9,26,42.6,1191,7561,3861,98,62,32,21,32,1406,191
368,Ederson,Manchester City,886,621,873,13,0,0,886,0,0,0,0,0,596,2746,1754,0,0,0,1,0,564,0
369,Mateo Kovačić,Manchester City,2032,51,290,1150,613,17,2032,40,21,52.5,11,27.5,1382,8005,3709,54,77,3,19,29,1649,15
370,Rúben Dias,Manchester City,2343,198,774,1278,297,25,2343,3,2,66.7,1,33.3,1671,9406,5607,38,63,1,7,1,1902,8
371,İlkay Gündoğan,Manchester City,1748,43,256,848,664,60,1748,35,16,45.7,13,37.1,1035,5787,2813,57,52,9,27,24,1366,86
372,Rico Lewis,Manchester City,1477,53,289,727,477,46,1477,21,9,42.9,11,52.4,865,4215,2155,39,41,8,20,19,1061,78
373,Manuel Akanji,Manchester City,1744,113,507,841,399,16,1744,2,2,100,0,0,1149,6160,3678,41,63,0,4,5,1374,6
374,Sávio,Manchester City,1090,14,55,283,772,153,1090,113,52,46,40,35.4,778,6421,3539,135,44,74,42,38,846,244
375,Phil Foden,Manchester City,1131,13,82,381,677,82,1131,43,14,32.6,23,53.5,715,3691,1776,50,30,17,35,30,887,128
376,Kevin De Bruyne,Manchester City,1307,10,74,429,816,76,1307,34,13,38.2,17,50,768,3813,1998,50,49,19,25,26,971,143
377,Matheus Nunes,Manchester City,1267,39,221,494,560,54,1267,36,16,44.4,13,36.1,779,4099,2131,59,31,22,29,13,916,156
378,Jeremy Doku,Manchester City,981,4,42,222,740,149,981,194,107,55.2,56,28.9,760,7224,4605,201,89,101,55,56,818,274
379,Stefan Ortega,Manchester City,492,383,489,3,0,0,492,0,0,0,0,0,323,1489,864,0,0,0,0,0,309,0
380,Omar Marmoush,Manchester City,421,3,30,122,276,61,421,42,18,42.9,19,45.2,264,1677,824,22,16,12,37,15,297,68
381,Kyle Walker,Manchester City,892,26,197,473,228,5,892,6,3,50,2,33.3,499,2284,1106,12,13,0,9,2,630,11
382,Nathan Aké,Manchester City,596,51,205,331,61,5,596,1,1,100,0,0,403,2244,1501,12,12,1,4,3,449,2
383,Nicolás González,Manchester City,637,14,99,398,143,7,637,6,1,16.7,3,50,386,1606,615,5,9,1,7,10,484,10
384,Jack Grealish,Manchester City,519,14,40,162,324,71,519,29,13,44.8,9,31,375,2879,1714,69,23,46,10,16,422,118
385,John Stones,Manchester City,442,40,142,234,68,4,442,2,2,100,0,0,292,2146,1183,10,14,0,2,0,333,2
386,Nico O’Reilly,Manchester City,419,14,71,223,130,18,419,15,9,60,6,40,249,1171,575,16,15,0,14,15,298,26
387,Abdukodir Khusanov,Manchester City,445,45,205,211,31,1,445,2,0,0,2,100,274,1155,435,1,1,0,2,1,332,2
388,James Mcatee,Manchester City,168,2,17,62,90,21,168,7,2,28.6,5,71.4,96,486,211,7,6,1,5,1,122,32
389,Jahmai Simpson-Pusey,Manchester City,123,9,61,59,3,1,123,1,0,0,0,0,79,376,190,1,0,0,1,0,101,0
390,Rodri,Manchester City,65,1,12,30,24,0,65,1,0,0,0,0,34,125,42,0,2,0,0,0,49,1
391,Divin Mubama,Manchester City,5,0,0,2,3,1,5,0,0,0,0,0,2,14,0,0,0,0,0,1,3,0
392,Oscar Bobb,Manchester City,11,0,1,3,7,0,11,2,2,100,0,0,9,57,32,1,0,0,0,0,11,1
393,Vitor Reis,Manchester City,3,1,2,1,0,0,3,1,1,100,0,0,2,3,0,0,0,0,0,0,2,0
396,Bruno Fernandes,Manchester United,2649,62,428,1263,983,80,2646,67,28,41.8,33,49.3,1542,7244,3866,77,65,14,43,43,1853,129
397,André Onana,Manchester United,1371,1046,1350,22,0,0,1371,1,1,100,0,0,961,4851,2676,0,0,0,1,0,832,0
398,Noussair Mazraoui,Manchester United,2139,167,839,976,349,30,2139,48,26,54.2,18,37.5,1172,5481,2884,42,32,3,25,17,1289,58
399,Diogo Dalot,Manchester United,1983,113,661,773,566,68,1983,53,27,50.9,22,41.5,1126,4953,2699,62,37,16,38,21,1200,168
400,Matthijs de Ligt,Manchester United,1608,184,828,731,56,29,1608,4,2,50,2,50,1078,4744,2225,7,3,0,5,3,1158,6
401,Alejandro Garnacho,Manchester United,1159,13,130,364,683,176,1159,89,26,29.2,55,61.8,840,6365,3245,141,72,67,64,48,888,290
402,Rasmus Højlund,Manchester United,515,6,36,251,237,74,515,33,9,27.3,21,63.6,308,1516,655,28,13,17,63,33,408,101
403,Manuel Ugarte Ribeiro,Manchester United,1161,46,331,639,211,16,1161,32,18,56.3,10,31.3,668,2883,1347,16,16,1,32,25,728,20
404,Amad Diallo,Manchester United,1207,16,175,443,607,131,1207,88,41,46.6,43,48.9,782,5295,2750,109,53,66,42,35,854,200
405,Lisandro Martínez,Manchester United,1524,156,713,697,125,18,1524,7,6,85.7,1,14.3,1017,5141,3129,23,23,2,1,3,1069,7
406,Harry Maguire,Manchester United,1328,147,652,616,76,44,1328,5,2,40,3,60,782,4821,2056,7,9,3,10,2,856,7
407,Kobbie Mainoo,Manchester United,1061,25,197,587,287,36,1061,50,23,46,25,50,652,2850,1222,22,17,10,36,36,760,47
408,Casemiro,Manchester United,1250,75,374,633,251,43,1250,6,3,50,3,50,660,2047,934,4,10,0,12,10,800,28
409,Joshua Zirkzee,Manchester United,587,16,71,303,219,56,587,35,11,31.4,24,68.6,327,1483,523,14,21,4,41,30,418,69
410,Leny Yoro,Manchester United,894,87,413,414,70,13,894,4,2,50,2,50,614,3173,1765,19,13,1,3,4,656,4
411,Marcus Rashford,Manchester United,440,3,35,189,222,34,440,39,9,23.1,26,66.7,293,1694,728,20,19,12,14,6,341,79
412,Christian Eriksen,Manchester United,850,26,173,397,284,17,849,4,0,0,4,100,473,1784,851,13,14,1,13,5,566,29
413,Patrick Dorgu,Manchester United,602,16,155,206,244,32,602,13,3,23.1,6,46.2,354,1933,1209,41,17,7,12,10,399,83
414,Mason Mount,Manchester United,339,11,45,161,137,31,339,10,1,10,8,80,215,1067,490,15,11,2,16,9,249,41
415,Victor Lindelöf,Manchester United,452,60,243,187,24,3,452,0,0,0,0,0,263,1171,553,5,4,0,1,1,313,4
416,Altay Bayındır,Manchester United,168,145,166,2,0,0,168,0,0,0,0,0,110,432,196,0,0,0,0,0,103,0
417,Luke Shaw,Manchester United,317,26,128,149,42,4,317,1,0,0,1,100,226,1102,548,7,8,0,2,0,248,7
418,Harry Amass,Manchester United,250,13,82,88,84,5,250,8,3,37.5,4,50,132,705,376,9,6,2,18,5,124,23
419,Jonny Evans,Manchester United,250,36,139,100,15,3,250,1,1,100,0,0,143,574,242,3,2,0,1,0,151,3
420,Ayden Heaven,Manchester United,136,30,68,60,10,2,136,4,2,50,2,50,95,491,259,1,1,0,3,1,93,1
421,Tyler Fredricson,Manchester United,141,11,64,68,9,1,141,1,1,100,0,0,86,279,114,2,1,0,2,0,95,0
422,Tyrell Malacia,Manchester United,62,2,20,27,15,0,62,1,1,100,0,0,37,190,118,3,2,0,1,2,43,6
423,Chidozie Obi-Martin,Manchester United,47,3,6,21,20,9,47,3,1,33.3,2,66.7,22,114,50,2,0,1,5,1,29,12
424,Toby Collyer,Manchester United,129,9,46,59,25,3,129,2,1,50,1,50,68,239,56,0,0,0,11,1,71,2
425,Antony,Manchester United,101,2,22,26,54,8,101,11,4,36.4,6,54.5,60,317,182,5,6,1,5,1,69,7
426,Scott McTominay,Manchester United,14,1,3,8,3,1,14,1,0,0,1,100,10,68,44,0,0,0,1,1,9,2
429,Bruno Guimarães,Newcastle United,2213,83,445,1131,662,85,2213,78,34,43.6,27,34.6,1400,7763,3483,64,46,15,56,76,1652,96
430,Dan Burn,Newcastle United,2386,366,1305,959,130,52,2386,4,3,75,1,25,1346,6322,2798,12,8,1,24,3,1615,14
431,Alexander Isak,Newcastle United,1025,20,57,386,596,189,1021,91,42,46.2,47,51.6,615,3723,1861,83,42,43,66,55,740,217
432,Fabian Schär,Newcastle United,2319,266,1178,991,162,42,2319,13,8,61.5,3,23.1,1438,6526,3744,18,27,2,12,6,1609,22
433,Valentino Livramento,Newcastle United,1964,119,619,894,482,41,1964,56,25,44.6,23,41.1,1023,6333,3316,83,42,13,32,39,1144,119
434,Jacob Murphy,Newcastle United,1271,27,188,474,622,92,1271,69,35,50.7,31,44.9,733,4416,2339,79,40,27,32,37,911,231
435,Joelinton,Newcastle United,1360,67,256,670,448,83,1360,46,15,32.6,28,60.9,729,3598,1786,40,26,9,39,53,934,110
436,Sandro Tonali,Newcastle United,1818,64,406,991,450,45,1818,37,20,54.1,14,37.8,979,5567,2334,37,40,6,30,23,1257,53
437,Nick Pope,Newcastle United,872,688,857,15,0,0,872,0,0,0,0,0,439,2510,1708,0,0,0,0,1,305,0
438,Anthony Gordon,Newcastle United,1267,16,125,475,687,128,1265,103,38,36.9,47,45.6,818,6099,3295,121,62,56,36,38,924,214
439,Lewis Hall,Newcastle United,1820,95,623,804,414,47,1820,21,11,52.4,7,33.3,950,4398,2358,41,22,13,33,20,1094,80
440,Harvey Barnes,Newcastle United,810,17,97,257,462,128,810,64,24,37.5,33,51.6,561,4196,2467,93,48,47,33,23,647,192
441,Kieran Trippier,Newcastle United,1388,50,375,616,406,13,1388,8,4,50,4,50,609,2258,1224,26,14,4,11,8,847,58
442,Joe Willock,Newcastle United,533,12,74,231,239,55,533,35,12,34.3,17,48.6,325,2217,1034,38,28,16,37,23,372,86
443,Martin Dúbravka,Newcastle United,350,262,337,14,0,0,350,0,0,0,0,0,202,1043,643,0,0,0,0,0,175,0
444,Sean Longstaff,Newcastle United,434,24,123,193,121,21,434,7,2,28.6,4,57.1,248,1176,429,4,10,2,9,7,308,22
445,Sven Botman,Newcastle United,304,40,132,160,16,11,304,3,1,33.3,1,33.3,145,670,337,0,1,0,5,1,197,0
446,Lloyd Kelly,Newcastle United,215,26,105,94,19,4,215,3,2,66.7,1,33.3,120,474,202,0,2,0,3,2,129,5
447,Callum Wilson,Newcastle United,95,1,5,55,38,19,95,7,1,14.3,4,57.1,47,243,105,5,4,5,16,12,60,17
448,Emil Krafth,Newcastle United,199,34,100,73,28,4,199,1,0,0,1,100,82,397,175,5,6,0,2,2,98,3
449,Lewis Miley,Newcastle United,235,5,44,124,68,6,235,3,1,33.3,1,33.3,112,544,202,2,2,0,8,1,163,8
450,Miguel Almirón,Newcastle United,81,1,10,35,36,9,81,2,1,50,1,50,54,284,93,3,3,2,0,2,59,18
451,William Osula,Newcastle United,56,1,4,21,32,8,56,6,3,50,3,50,37,252,126,5,1,2,7,6,42,17
452,Matt Targett,Newcastle United,17,0,3,8,6,0,17,0,0,0,0,0,4,12,6,0,0,0,0,0,12,1
455,Matz Sels,Nottingham Forest,1102,833,1082,20,0,0,1102,0,0,0,0,0,528,3230,1697,1,1,1,0,0,426,0
456,Nikola Milenković,Nottingham Forest,1412,257,775,552,89,64,1412,1,1,100,0,0,547,2345,1116,3,3,2,4,2,727,6
457,Murillo,Nottingham Forest,1918,421,989,840,105,24,1918,37,27,73,10,27,821,4254,2531,22,25,1,19,10,989,5
458,Ola Aina,Nottingham Forest,1708,156,613,717,409,22,1708,72,33,45.8,27,37.5,749,4798,2787,67,46,10,44,22,822,67
459,Chris Wood,Nottingham Forest,770,40,89,361,322,105,767,13,4,30.8,8,61.5,376,1279,506,14,11,5,75,28,563,94
460,Morgan Gibbs-White,Nottingham Forest,1627,35,185,830,637,92,1627,77,31,40.3,35,45.5,923,5093,2566,69,52,13,70,44,1227,137
461,Elliot Anderson,Nottingham Forest,1831,102,424,890,547,72,1831,75,36,48,30,40,932,5071,2366,52,32,21,60,49,1088,94
462,Anthony Elanga,Nottingham Forest,1115,29,136,319,679,110,1115,83,25,30.1,39,47,600,4509,2544,102,45,48,79,43,764,229
463,Neco Williams,Nottingham Forest,1565,155,558,574,453,45,1565,46,18,39.1,19,41.3,650,3952,2169,68,28,16,36,21,744,103
464,Callum Hudson-Odoi,Nottingham Forest,1035,16,117,338,605,74,1035,63,37,58.7,18,28.6,641,5345,3401,130,61,47,45,23,784,189
465,Nicolás Domínguez,Nottingham Forest,1218,78,303,630,295,33,1218,9,3,33.3,4,44.4,471,1863,924,16,14,2,23,12,676,33
466,Ryan Yates,Nottingham Forest,1041,80,276,510,266,41,1041,18,9,50,5,27.8,425,2079,934,18,19,1,24,18,545,16
467,Álex Moreno,Nottingham Forest,559,60,210,202,158,8,559,21,8,38.1,8,38.1,229,1470,864,26,16,4,13,6,258,34
468,Ibrahim Sangaré,Nottingham Forest,407,26,110,247,52,7,407,1,0,0,1,100,171,759,283,1,2,0,5,4,236,4
469,Morato,Nottingham Forest,457,90,270,170,19,2,457,2,2,100,0,0,164,789,417,1,2,0,6,3,206,1
470,Jota Silva,Nottingham Forest,357,19,83,104,181,46,357,34,10,29.4,15,44.1,175,1153,632,21,13,9,24,12,202,59
471,James Ward-Prowse,Nottingham Forest,205,13,49,115,45,1,205,0,0,0,0,0,92,407,170,1,3,0,3,3,115,3
472,Danilo,Nottingham Forest,150,8,54,85,13,0,150,6,3,50,3,50,54,237,61,2,0,0,6,0,87,1
473,Taiwo Awoniyi,Nottingham Forest,167,5,16,78,74,21,167,9,4,44.4,5,55.6,90,402,183,6,5,2,19,19,113,20
474,Ramón Sosa,Nottingham Forest,154,6,36,48,77,15,154,13,8,61.5,5,38.5,75,601,333,12,7,5,6,5,81,17
475,Willy Boly,Nottingham Forest,97,22,63,32,2,1,97,0,0,0,0,0,35,128,45,0,0,0,1,0,46,0
476,Harry Toffolo,Nottingham Forest,88,9,32,22,34,2,88,0,0,0,0,0,17,57,23,0,0,0,0,0,30,4
477,Eric da Silva Moreira,Nottingham Forest,13,3,7,4,2,0,13,1,0,0,1,100,4,26,11,1,0,0,1,0,3,1
480,Mateus Fernandes,Southampton,1760,72,385,867,547,49,1760,109,49,45,49,45,897,5736,3143,76,70,9,58,36,1077,108
481,Kyle Walker-Peters,Southampton,2022,151,615,884,540,59,2022,92,38,41.3,39,42.4,1271,7917,4373,114,72,24,32,39,1433,144
482,Taylor Harwood-Bellis,Southampton,2475,340,1158,1145,182,42,2475,3,3,100,0,0,1433,6776,3938,29,27,0,16,5,1792,9
483,Aaron Ramsdale,Southampton,1314,946,1286,32,0,0,1314,0,0,0,0,0,786,4017,2349,0,0,0,3,0,702,0
484,Jan Bednarek,Southampton,2049,386,1091,924,41,15,2049,3,3,100,0,0,1046,3845,1742,5,5,1,9,3,1307,2
485,Flynn Downes,Southampton,1339,99,403,719,227,21,1339,20,8,40,8,40,641,3520,1826,29,21,4,15,17,945,29
486,Joe Aribo,Southampton,1271,52,313,670,299,44,1271,49,21,42.9,22,44.9,745,4068,2021,36,29,12,27,19,925,65
487,Tyler Dibling,Southampton,868,27,129,390,369,41,868,110,45,40.9,43,39.1,558,4418,2215,69,50,26,44,55,651,96
488,Lesley Ugochukwu,Southampton,879,50,215,501,169,24,879,28,19,67.9,8,28.6,479,2565,1229,29,15,6,12,13,600,20
489,Ryan Manning,Southampton,968,72,260,397,321,22,968,36,11,30.6,16,44.4,483,2023,982,14,13,4,17,5,573,74
490,Kamaldeen Sulemana,Southampton,587,17,92,219,301,59,587,103,39,37.9,56,54.4,380,3283,1620,63,37,28,50,25,410,87
491,Jack Stephens,Southampton,1097,128,461,543,97,11,1097,4,0,0,4,100,631,2996,1407,14,12,1,3,3,783,2
492,Yukinari Sugawara,Southampton,1066,67,327,410,334,29,1066,20,9,45,10,50,564,2569,1384,33,16,7,18,5,709,78
493,Adam Armstrong,Southampton,377,11,44,143,192,49,376,14,6,42.9,8,57.1,235,1324,599,25,13,6,11,18,286,79
494,Cameron Archer,Southampton,398,16,69,179,154,52,397,37,15,40.5,20,54.1,226,1182,564,22,10,14,40,26,274,66
495,James Bree,Southampton,694,49,221,308,170,11,694,8,4,50,2,25,363,1586,808,13,12,1,9,5,443,43
496,Paul Onuachu,Southampton,440,17,45,235,163,67,440,26,8,30.8,14,53.8,214,857,248,7,5,2,50,36,358,40
497,Nathan Wood-Gordon,Southampton,564,75,282,255,28,3,564,6,4,66.7,1,16.7,313,1352,535,2,6,0,5,1,419,0
