id,player_name,team,touches,touches_in_def_pen_area,touches_in_def_third,touches_in_mid_third,touches_in_att_third,touches_in_att_pen_area,live_ball_touches,attempted_take_ons,successful_take_ons,successful_take_ons_percent,tackled_during_take_on,tackled_during_take_on_percent,carries,total_carrying_distance,progressive_carrying_distance,progressive_carries,carries_into_final_third,carries_into_pen_area,miscontrols,times_dispossessed,passes_received,progressive_passes_received
193,Will Hughes,Crystal Palace,1203,48,295,615,308,17,1203,16,5,31.3,7,43.8,532,2718,1276,20,24,1,21,30,659,27
194,Chris Richards,Crystal Palace,1118,134,611,439,74,19,1118,6,1,16.7,5,83.3,517,2316,964,6,5,0,5,5,614,2
195,Adam Wharton,Crystal Palace,872,30,204,463,212,11,872,10,2,20,8,80,430,2014,1078,14,23,2,17,13,533,11
196,Daichi Kamada,Crystal Palace,937,19,208,496,240,32,937,19,7,36.8,9,47.4,485,2295,1121,25,19,6,16,20,600,56
197,Trevoh Chalobah,Crystal Palace,594,66,275,276,51,14,594,10,6,60,2,20,278,1213,661,11,9,1,4,7,317,6
198,Eddie Nketiah,Crystal Palace,412,11,47,176,198,67,412,31,11,35.5,16,51.6,246,1713,878,41,25,14,34,17,294,79
199,Nathaniel Clyne,Crystal Palace,273,18,111,125,37,3,273,1,0,0,1,100,158,651,314,6,2,3,5,2,178,8
200,Justin Devenny,Crystal Palace,279,8,53,149,83,8,279,4,2,50,2,50,134,701,333,5,5,1,17,3,167,13
201,Cheick Doucouré,Crystal Palace,263,11,56,165,45,4,263,5,2,40,2,40,133,581,280,2,7,1,4,7,160,7
202,Ben Chilwell,Crystal Palace,175,10,63,76,42,3,175,6,2,33.3,3,50,68,354,243,5,2,1,4,2,68,15
203,Romain Esse,Crystal Palace,73,1,14,30,29,9,73,6,2,33.3,4,66.7,38,121,49,1,1,2,6,2,43,14
204,Odsonne Édouard,Crystal Palace,45,1,4,23,18,8,45,1,0,0,1,100,24,117,56,3,1,2,4,1,26,7
