id,player_name,team,live_ball_passes,dead_ball_passes,free_kick_passes,through_balls,switches,crosses,throw_ins_taken,corners_taken,inswinging_corners,outswinging_corners,straight_corners,total_passes_completed,passes_offside,passes_blocked
201,Cheick Doucouré,Crystal Palace,201,3,3,0,0,1,0,0,0,0,0,174,0,4
202,Ben Chilwell,Crystal Palace,95,30,6,1,0,7,24,0,0,0,0,92,0,4
203,Romain Esse,Crystal Palace,42,0,0,1,0,0,0,0,0,0,0,32,0,1
204,Odsonne Édouard,Crystal Palace,28,0,0,0,0,1,0,0,0,0,0,17,0,2
205,Joachim Andersen,Crystal Palace,81,2,1,0,0,1,0,1,0,0,0,61,0,0
206,Chadi Riad,Crystal Palace,82,0,0,0,1,0,0,0,0,0,0,70,0,2
207,Joel Ward,Crystal Palace,24,0,0,0,0,0,0,0,0,0,0,14,0,1
208,Jeffrey Schlupp,Crystal Palace,47,3,0,0,0,4,3,0,0,0,0,39,0,0
209,Matheus França,Crystal Palace,14,1,0,0,0,1,0,0,0,0,0,10,2,1
210,Jordan Ayew,Crystal Palace,8,2,0,0,1,1,0,1,1,0,0,8,0,0
211,Caleb Kporha,Crystal Palace,6,1,0,0,0,2,1,0,0,0,0,5,0,0
212,Asher Agbinone,Crystal Palace,3,0,0,0,0,1,0,0,0,0,0,2,0,0
215,Jordan Pickford,Everton,1167,419,188,0,7,0,0,0,0,0,0,1057,9,0
216,Vitaliy Mykolenko,Everton,1060,259,13,2,3,101,246,0,0,0,0,986,3,23
217,Idrissa Gana Gueye,Everton,1388,27,7,2,7,7,7,0,0,0,0,1230,7,22
218,James Tarkowski,Everton,1204,77,46,2,13,1,3,0,0,0,0,1045,9,12
219,Abdoulaye Doucouré,Everton,884,14,5,0,2,23,0,0,0,0,0,725,5,27
220,Iliman Ndiaye,Everton,709,25,5,2,2,38,5,10,4,0,2,602,2,22
221,Jarrad Branthwaite,Everton,1141,51,38,1,17,5,3,0,0,0,0,984,6,7
222,Jack Harrison,Everton,588,64,23,4,2,131,8,32,27,0,1,414,7,33
223,Ashley Young,Everton,770,222,25,3,4,75,180,15,8,6,0,708,7,20
224,Dominic Calvert-Lewin,Everton,287,2,0,0,1,6,1,0,0,0,0,181,0,12
225,James Garner,Everton,687,110,17,2,2,57,42,23,16,4,2,611,6,23
226,Jake O'Brien,Everton,602,121,5,0,1,18,100,0,0,0,0,577,2,12
227,Beto,Everton,264,4,0,1,2,4,0,1,0,0,0,156,0,13
228,Dwight McNeil,Everton,516,99,32,8,5,105,5,45,32,5,4,461,4,16
229,Jesper Lindstrøm,Everton,383,42,11,1,0,71,6,25,12,8,2,297,3,18
230,Orel Mangala,Everton,485,4,3,0,1,6,0,0,0,0,0,437,1,10
231,Michael Keane,Everton,365,8,4,0,12,1,0,0,0,0,0,312,4,7
232,Carlos Alcaraz,Everton,265,12,2,1,2,11,6,3,2,1,0,224,1,10
233,Tim Iroegbunam,Everton,156,0,0,0,0,1,0,0,0,0,0,115,2,5
234,Armando Broja,Everton,72,0,0,0,0,1,0,0,0,0,0,53,1,1
235,Nathan Patterson,Everton,134,42,0,1,0,14,42,0,0,0,0,130,0,0
236,Séamus Coleman,Everton,78,19,0,0,0,4,19,0,0,0,0,74,1,2
237,Roman Dixon,Everton,16,3,0,0,0,0,3,0,0,0,0,11,0,0
238,Harrison Armstrong,Everton,13,1,0,0,0,1,0,0,0,0,0,7,1,0
239,Youssef Chermiti,Everton,11,0,0,0,0,1,0,0,0,0,0,6,0,0
240,Mason Holgate,Everton,0,2,0,0,0,0,2,0,0,0,0,2,0,0
243,Bernd Leno,Fulham,1160,243,71,0,0,0,0,0,0,0,0,1149,1,1
244,Antonee Robinson,Fulham,1781,289,17,1,5,170,272,0,0,0,0,1595,6,47
245,Alex Iwobi,Fulham,1487,39,7,15,21,126,24,2,0,1,0,1150,6,52
246,Calvin Bassey,Fulham,2025,128,48,0,10,8,8,0,0,0,0,1934,2,17
247,Raúl Jiménez,Fulham,635,7,3,3,5,23,4,0,0,0,0,458,1,28
248,Joachim Andersen,Fulham,1891,102,81,0,35,12,9,0,0,0,0,1654,7,8
249,Saša Lukić,Fulham,1171,87,38,1,4,62,1,42,12,24,0,1100,2,23
250,Sander Berge,Fulham,1152,41,40,3,7,3,1,0,0,0,0,1091,0,8
251,Emile Smith Rowe,Fulham,985,35,6,2,2,16,3,1,0,0,0,922,3,18
252,Andreas Pereira,Fulham,761,205,50,5,8,171,9,109,53,47,0,670,4,26
253,Kenny Tete,Fulham,799,153,6,1,2,38,147,0,0,0,0,772,4,23
254,Adama Traoré,Fulham,584,1,0,6,2,100,1,0,0,0,0,424,2,19
255,Timothy Castagne,Fulham,813,140,10,0,1,37,130,0,0,0,0,780,0,26
256,Issa Diop,Fulham,733,25,21,0,1,1,2,0,0,0,0,663,0,2
257,Harry Wilson,Fulham,393,51,16,1,5,41,4,27,14,6,1,326,1,6
258,Rodrigo Muniz,Fulham,135,6,1,3,2,1,0,0,0,0,0,92,1,4
259,Ryan Sessegnon,Fulham,226,15,0,0,0,16,13,1,0,0,0,189,0,9
260,Reiss Nelson,Fulham,261,6,0,2,2,23,1,5,3,1,0,232,1,2
261,Jorge Cuenca,Fulham,160,13,4,0,0,1,2,0,0,0,0,145,0,0
262,Tom Cairney,Fulham,602,25,11,0,2,20,1,8,3,3,0,569,0,8
263,Willian,Fulham,196,11,2,0,4,16,2,7,3,4,0,178,1,1
264,Joshua King,Fulham,63,1,0,0,1,2,0,0,0,0,0,54,0,3
265,Harrison Reed,Fulham,46,8,5,0,0,6,0,1,0,1,0,39,1,3
266,Martial Godo,Fulham,15,2,0,0,0,1,2,0,0,0,0,12,0,2
267,Carlos Vinícius,Fulham,3,0,0,0,0,0,0,0,0,0,0,1,0,1
268,Jay Stansfield,Fulham,0,0,0,0,0,0,0,0,0,0,0,0,0,0
271,Dara O'Shea,Ipswich Town,1473,100,30,0,14,8,63,0,0,0,0,1234,6,12
272,Leif Davis,Ipswich Town,970,307,61,3,5,161,166,80,56,13,0,919,7,23
273,Liam Delap,Ipswich Town,350,5,0,8,1,5,2,0,0,0,0,219,2,16
274,Sam Morsy,Ipswich Town,1388,50,49,2,5,15,0,0,0,0,0,1249,7,22
275,Omari Hutchinson,Ipswich Town,807,70,1,4,2,81,8,5,5,0,0,690,8,39
