id,player_name,team,shot_creating_actions,shot_creating_actions_per_90,live_passes_sca,dead_passes_sca,take_ons_sca,shots_sca,fouls_drawn_sca,def_sca,goal_creating_actions,gca_per_ninety,live_passes_gca,dead_passes_gca,take_ons_gca,shots_gca,fouls_drawn_gca,def_gca
82,Daniel Jebbison,Bournemouth,6,4.54,4,0,1,0,1,0,0,0,0,0,0,0,0,0
83,Ben Winterburn,Bournemouth,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
84,Julio Soler,Bournemouth,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
85,Remy Rees-Dottin,Bournemouth,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86,Zain Silcott-Duberry,Bournemouth,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89,Nathan Collins,Brentford,30,0.79,22,2,1,3,2,0,8,0.21,4,1,0,1,2,0
90,Bryan Mbeumo,Brentford,144,3.8,98,23,11,8,4,0,20,0.53,11,3,2,3,1,0
91,Mark Flekken,Brentford,10,0.27,6,4,0,0,0,0,2,0.05,0,2,0,0,0,0
92,Keane Lewis-Potter,Brentford,71,2.07,56,0,5,3,6,1,8,0.23,6,0,0,0,2,0
93,Yoane Wissa,Brentford,69,2.13,40,1,4,13,10,1,10,0.31,8,0,0,1,1,0
94,Mikkel Damsgaard,Brentford,120,3.71,92,14,6,2,1,5,21,0.65,15,3,1,0,1,1
95,Christian Nørgaard,Brentford,58,1.85,48,0,0,7,2,1,13,0.42,11,0,0,1,1,0
96,Sepp van den Berg,Brentford,22,0.77,19,0,0,2,1,0,2,0.07,1,0,0,0,1,0
97,Vitaly Janelt,Brentford,32,1.28,31,1,0,0,0,0,3,0.12,3,0,0,0,0,0
98,Kevin Schade,Brentford,57,2.24,35,6,6,4,5,1,9,0.35,5,0,1,3,0,0
99,Ethan Pinnock,Brentford,21,0.99,13,5,0,2,1,0,0,0,0,0,0,0,0,0
100,Kristoffer Ajer,Brentford,18,1.13,15,0,1,2,0,0,2,0.13,2,0,0,0,0,0
101,Yehor Yarmoliuk,Brentford,26,1.62,21,0,2,1,1,1,2,0.12,2,0,0,0,0,0
102,Mads Roerslev,Brentford,21,1.72,18,0,1,1,1,0,2,0.16,2,0,0,0,0,0
103,Mathias Jensen,Brentford,41,4.28,29,11,1,0,0,0,5,0.52,2,2,1,0,0,0
104,Michael Kayode,Brentford,19,3.24,9,7,1,1,1,0,3,0.51,3,0,0,0,0,0
105,Fabio Carvalho,Brentford,10,1.97,7,0,1,2,0,0,1,0.2,1,0,0,0,0,0
106,Ben Mee,Brentford,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
107,Thiago,Brentford,3,1.55,2,0,0,0,0,1,0,0,0,0,0,0,0,0
108,Hákon Rafn Valdimarsson,Brentford,2,1.24,2,0,0,0,0,0,0,0,0,0,0,0,0,0
109,Edmond-Paris Maghoma,Brentford,4,3.03,4,0,0,0,0,0,1,0.76,1,0,0,0,0,0
110,Rico Henry,Brentford,2,1.84,2,0,0,0,0,0,1,0.92,1,0,0,0,0,0
111,Yunus Emre Konak,Brentford,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
112,Kim Jisoo,Brentford,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
113,Frank Onyeka,Brentford,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
114,Gustavo Nunes,Brentford,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
115,Jayden Meghoma,Brentford,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
116,Ryan Trevitt,Brentford,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
119,Bart Verbruggen,Brighton,5,0.14,5,0,0,0,0,0,1,0.03,1,0,0,0,0,0
120,Jan Paul van Hecke,Brighton,52,1.58,46,2,0,3,1,0,3,0.09,3,0,0,0,0,0
121,Carlos Baleba,Brighton,66,2.23,55,0,2,5,1,3,4,0.14,2,0,0,0,1,1
122,Kaoru Mitoma,Brighton,87,3.01,73,0,6,3,4,1,10,0.35,9,0,0,0,1,0
123,Pervis Estupiñán,Brighton,58,2.17,39,13,0,2,4,0,4,0.15,3,0,0,0,1,0
