id,player_name,team,total_shots,shots_on_target,shots_on_target_percent,shots_per_90,shots_on_target_per_90,goals_per_shot,goals_per_shot_on_target,average_shot_distance,shots_from_fks,pk_scored,pk_attempted,xg,npxg,npxg_per_shot,goals_xg_diff,np_goals_npxg_diff,goals,non_pk_goals
577,Kaelan Casey,West Ham,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
580,Rayan Aït-Nouri,Wolves,36,10,27.8,1.04,0.29,0.11,0.4,14.9,0,0,0,2.7,2.7,0.08,1.3,1.3,4,4
581,João Gomes,Wolves,35,7,20,1.06,0.21,0.09,0.43,18.3,0,0,0,2.9,2.9,0.08,0.1,0.1,3,3
582,Nélson Semedo,Wolves,18,7,38.9,0.56,0.22,0,0,23.9,0,0,0,0.9,0.9,0.05,-0.9,-0.9,0,0
583,André,Wolves,10,1,10,0.36,0.04,0,0,25.5,0,0,0,0.4,0.4,0.04,-0.4,-0.4,0,0
584,Toti Gomes,Wolves,7,2,28.6,0.24,0.07,0,0,11.6,0,0,0,0.7,0.7,0.1,-0.7,-0.7,0,0
585,Jørgen Strand Larsen,Wolves,54,33,61.1,1.88,1.15,0.26,0.42,11.3,0,0,0,10.3,10.3,0.19,3.7,3.7,14,14
586,José Sá,Wolves,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
587,Matheus Cunha,Wolves,110,44,40,3.81,1.52,0.14,0.34,20.5,12,0,0,8.6,8.6,0.08,6.4,6.4,15,15
588,Matt Doherty,Wolves,10,3,30,0.43,0.13,0.2,0.67,11.4,0,0,0,1,1,0.1,1,1,2,2
589,Jean-Ricner Bellegarde,Wolves,22,5,22.7,1.18,0.27,0.09,0.4,21.2,2,0,0,1.5,1.5,0.07,0.5,0.5,2,2
590,Santiago Bueno,Wolves,6,3,50,0.32,0.16,0,0,14,0,0,0,0.4,0.4,0.07,-0.4,-0.4,0,0
