Unnamed: 0_level_0_Player,Unnamed: 1_level_0_Nation,Unnamed: 2_level_0_Pos,Unnamed: 3_level_0_Age,Playing Time_MP,Playing Time_Min,Playing Time_Mn/MP,Playing Time_Min%,Playing Time_90s,Starts_Starts,Starts_Mn/Start,Starts_Compl,Subs_Subs,Subs_Mn/Sub,Subs_unSub,Team Success_PPM,Team Success_onG,Team Success_onGA,Team Success_+/-,Team Success_+/-90,Team Success_On-Off,Team Success (xG)_onxG,Team Success (xG)_onxGA,Team Success (xG)_xG+/-,Team Success (xG)_xG+/-90,Team Success (xG)_On-Off,Unnamed: 26_level_0_Matches
Eddie Nketiah,eng ENG,"MF,FW",26-229,12,424.0,35.0,22.4,4.7,2,70.0,0,10,28.0,0,1.33,7.0,12.0,-5.0,-1.06,-1.31,8.4,9.5,-1.1,-0.23,-0.66,Matches
Jaydee Canvot,fr FRA,DF,19-169,8,293.0,37.0,15.5,3.3,2,90.0,2,6,19.0,10,1.88,1.0,3.0,-2.0,-0.61,-0.67,3.6,5.3,-1.6,-0.5,-0.92,Matches
Brennan Johnson,wls WAL,MF,24-236,2,161.0,81.0,8.5,1.8,2,81.0,1,0,,0,0.5,0.0,1.0,-1.0,-0.56,-0.56,2.1,2.6,-0.5,-0.3,-0.64,Matches
Eberechi Eze,eng ENG,MF,27-199,1,83.0,83.0,4.4,0.9,1,83.0,0,0,,0,1.0,0.0,0.0,0.0,0.0,0.05,0.6,1.2,-0.6,-0.6,-0.92,Matches
Christantus Uche,ng NGA,"MF,FW",22-240,10,119.0,12.0,6.3,1.3,0,,0,10,12.0,7,0.5,2.0,4.0,-2.0,-1.51,-1.56,3.4,3.9,-0.5,-0.41,-0.73,Matches
Romain Esse,eng ENG,"FW,MF",20-246,4,44.0,11.0,2.3,0.5,0,,0,4,11.0,11,0.5,0.0,0.0,0.0,0.0,0.05,0.1,1.7,-1.6,-3.23,-3.59,Matches
Borna Sosa,hr CRO,DF,27-358,4,29.0,7.0,1.5,0.3,0,,0,4,7.0,15,0.5,1.0,1.0,0.0,0.0,0.05,1.4,0.9,0.5,1.6,1.34,Matches
Joél Drakes-Thomas,eng ENG,MF,16-219,2,9.0,5.0,0.5,0.1,0,,0,2,5.0,3,0.0,1.0,1.0,0.0,0.0,0.05,1.2,0.7,0.4,4.31,4.05,Matches
Kaden Rodney,eng ENG,MF,21-099,1,4.0,4.0,0.2,0.0,0,,0,1,4.0,7,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.6,-0.6,-14.62,-14.93,Matches
Odsonne Édouard,fr FRA,FW,27-363,1,3.0,3.0,0.2,0.0,0,,0,1,3.0,1,1.0,0.0,0.0,0.0,0.0,0.05,0.0,0.3,-0.3,-7.92,-8.21,Matches
Dean Benamar,eng ENG,DF,17-228,0,,,,,0,,0,0,,4,,,,,,,,,,,,Matches
Walter Benítez,ar ARG,GK,32-360,0,,,,,0,,0,0,,19,,,,,,,,,,,,Matches
Rio Cardines,tt TRI,MF,19-197,0,,,,,0,,0,0,,7,,,,,,,,,,,,Matches
Ben Casey,eng ENG,FW,18-045,0,,,,,0,,0,0,,2,,,,,,,,,,,,Matches
George King,eng ENG,DF,18-300,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
Remi Matthews,eng ENG,GK,31-338,0,,,,,0,,0,0,,6,,,,,,,,,,,,Matches
Jesurun Rak Sakyi,eng ENG,"FW,MF",23-101,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
Squad Total,,,26.8,21,1890.0,90.0,100.0,21.0,231,85.0,158,73,16.0,116,1.33,22.0,23.0,-1.0,-0.05,,33.2,27.4,5.8,0.28,,
Opponent Total,,,27.0,21,1890.0,90.0,100.0,21.0,231,85.0,138,93,17.0,96,1.33,23.0,22.0,1.0,0.05,,27.4,33.2,-5.8,-0.28,,
