Unnamed: 0_level_0_Player,Unnamed: 1_level_0_Nation,Unnamed: 2_level_0_Pos,Unnamed: 3_level_0_Age,Playing Time_MP,Playing Time_Min,Playing Time_Mn/MP,Playing Time_Min%,Playing Time_90s,Starts_Starts,Starts_Mn/Start,Starts_Compl,Subs_Subs,Subs_Mn/Sub,Subs_unSub,Team Success_PPM,Team Success_onG,Team Success_onGA,Team Success_+/-,Team Success_+/-90,Team Success_On-Off,Team Success (xG)_onxG,Team Success (xG)_onxGA,Team Success (xG)_xG+/-,Team Success (xG)_xG+/-90,Team Success (xG)_On-Off,Unnamed: 26_level_0_Matches
Hwang Hee-chan,kr KOR,"FW,MF",29-353,16,882.0,55.0,46.7,9.8,11,72.0,0,5,19.0,4,0.44,8.0,16.0,-8.0,-0.82,0.79,9.1,12.8,-3.6,-0.37,0.12,Matches
Jackson Tchatchoua,cm CMR,"DF,MF",24-122,20,1110.0,56.0,58.7,12.3,10,86.0,8,10,25.0,0,0.35,10.0,23.0,-13.0,-1.05,0.45,12.3,14.4,-2.2,-0.17,0.63,Matches
Yerson Mosquera,co COL,DF,24-257,12,866.0,72.0,45.8,9.6,10,82.0,5,2,23.0,6,0.5,9.0,18.0,-9.0,-0.94,0.56,8.6,13.0,-4.4,-0.46,-0.04,Matches
Marshall Munetsi,zw ZIM,"MF,FW",29-206,13,875.0,67.0,46.3,9.7,9,86.0,6,4,24.0,1,0.15,6.0,19.0,-13.0,-1.34,-0.18,9.1,12.8,-3.8,-0.39,0.09,Matches
José Sá,pt POR,GK,32-362,9,810.0,90.0,42.9,9.0,9,90.0,9,0,,11,0.56,9.0,17.0,-8.0,-0.89,0.61,10.1,11.0,-0.9,-0.1,0.58,Matches
Jean-Ricner Bellegarde,ht HAI,"MF,FW",27-201,14,689.0,49.0,36.5,7.7,9,63.0,1,5,24.0,0,0.14,5.0,20.0,-15.0,-1.96,-1.14,7.2,11.7,-4.5,-0.59,-0.25,Matches
David Møller Wolfe,no NOR,"DF,MF",23-266,14,707.0,51.0,37.4,7.9,8,80.0,4,6,11.0,6,0.36,3.0,18.0,-15.0,-1.91,-1.07,6.4,13.1,-6.7,-0.85,-0.66,Matches
Matt Doherty,ie IRL,DF,33-363,8,598.0,75.0,31.6,6.6,8,75.0,3,0,,5,0.25,2.0,11.0,-9.0,-1.35,-0.17,5.1,9.1,-4.0,-0.6,-0.25,Matches
Tolu Arokodare,ng NGA,FW,25-052,17,673.0,40.0,35.6,7.5,7,79.0,3,10,12.0,1,0.41,8.0,17.0,-9.0,-1.2,0.05,9.7,8.5,1.2,0.16,0.92,Matches
Ki-Jana Hoever,nl NED,"DF,MF",23-361,8,425.0,53.0,22.5,4.7,6,65.0,0,2,17.0,9,0.0,3.0,13.0,-10.0,-2.12,-1.13,4.4,9.1,-4.8,-1.01,-0.74,Matches
Mateus Mane,pt POR,MF,18-120,10,452.0,45.0,23.9,5.0,4,89.0,3,6,16.0,0,0.5,7.0,8.0,-1.0,-0.2,1.37,6.4,6.5,-0.1,-0.01,0.55,Matches
Rodrigo Gomes,pt POR,"FW,DF",22-191,6,331.0,55.0,17.5,3.7,4,72.0,1,2,23.0,3,0.0,4.0,9.0,-5.0,-1.36,-0.15,4.8,4.3,0.5,0.13,0.69,Matches
Fer López,es ESP,"MF,FW",21-235,9,235.0,26.0,12.4,2.6,2,55.0,0,7,18.0,9,0.11,3.0,9.0,-6.0,-2.3,-1.21,2.8,3.8,-1.0,-0.37,0.07,Matches
Tawanda Chirewa,zw ZIM,"MF,FW",22-095,2,27.0,14.0,1.4,0.3,0,,0,2,14.0,5,1.5,0.0,0.0,0.0,0.0,1.26,0.1,0.5,-0.4,-1.37,-0.95,Matches
Sasa Kalajdzic,at AUT,FW,28-191,1,15.0,15.0,0.8,0.2,0,,0,1,15.0,1,0.0,1.0,0.0,1.0,6.0,7.3,0.5,0.1,0.4,2.17,2.62,Matches
Pedro Lima,br BRA,MF,19-197,1,1.0,1.0,0.1,0.0,0,,0,1,1.0,0,1.0,0.0,0.0,0.0,0.0,1.24,0.1,0.0,0.1,8.96,9.4,Matches
Daniel Bentley,eng ENG,GK,32-185,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
Enso Gonzalez,py PAR,FW,20-359,0,,,,,0,,0,0,,4,,,,,,,,,,,,Matches
Temple Ojinnaka,it ITA,MF,20-290,0,,,,,0,,0,0,,2,,,,,,,,,,,,Matches
Saheed Olagunju,ng NGA,DF,19-007,0,,,,,0,,0,0,,2,,,,,,,,,,,,Matches
Alfie Pond,eng ENG,DF,21-319,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
Luke Rawlings,eng ENG,MF,17-285,0,,,,,0,,0,0,,2,,,,,,,,,,,,Matches
Ethan Sutherland,sct SCO,FW,19-264,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
Squad Total,,,26.7,21,1890.0,90.0,100.0,21.0,231,81.0,137,92,21.0,97,0.33,15.0,41.0,-26.0,-1.24,,19.8,28.9,-9.1,-0.43,,
Opponent Total,,,26.7,21,1890.0,90.0,100.0,21.0,231,81.0,145,85,17.0,104,2.48,41.0,15.0,26.0,1.24,,28.9,19.8,9.1,0.43,,
