Unnamed: 0_level_0_Player,Unnamed: 1_level_0_Nation,Unnamed: 2_level_0_Pos,Unnamed: 3_level_0_Age,Playing Time_MP,Playing Time_Min,Playing Time_Mn/MP,Playing Time_Min%,Playing Time_90s,Starts_Starts,Starts_Mn/Start,Starts_Compl,Subs_Subs,Subs_Mn/Sub,Subs_unSub,Team Success_PPM,Team Success_onG,Team Success_onGA,Team Success_+/-,Team Success_+/-90,Team Success_On-Off,Team Success (xG)_onxG,Team Success (xG)_onxGA,Team Success (xG)_xG+/-,Team Success (xG)_xG+/-90,Team Success (xG)_On-Off,Unnamed: 26_level_0_Matches
Piero Hincapié,ec ECU,DF,24-005,12,891.0,74.0,47.1,9.9,10,86.0,8,2,14.0,2,2.42,20.0,9.0,11.0,1.11,-0.24,16.8,8.9,7.9,0.8,-0.38,Matches
Noni Madueke,eng ENG,FW,23-310,12,510.0,43.0,27.0,5.7,6,67.0,0,6,19.0,3,2.0,10.0,5.0,5.0,0.88,-0.49,7.4,6.5,0.9,0.16,-1.15,Matches
Gabriel Martinelli,br BRA,FW,24-210,16,510.0,32.0,27.0,5.7,6,61.0,0,10,14.0,3,2.25,8.0,3.0,5.0,0.88,-0.49,6.5,5.1,1.4,0.25,-1.04,Matches
Cristhian Mosquera,es ESP,DF,21-201,10,433.0,43.0,22.9,4.8,4,67.0,2,6,28.0,4,2.1,6.0,4.0,2.0,0.42,-1.07,7.0,2.6,4.3,0.9,-0.13,Matches
Ben White,eng ENG,DF,28-098,5,288.0,58.0,15.2,3.2,4,70.0,2,1,8.0,12,2.4,4.0,3.0,1.0,0.31,-1.09,5.5,5.3,0.2,0.06,-1.11,Matches
Myles Lewis-Skelly,eng ENG,DF,19-110,14,321.0,23.0,17.0,3.6,1,70.0,0,13,19.0,7,2.5,9.0,5.0,4.0,1.12,-0.14,6.6,5.0,1.6,0.44,-0.67,Matches
Ethan Nwaneri,eng ENG,MF,18-299,6,171.0,29.0,9.0,1.9,0,,0,6,29.0,11,2.67,8.0,0.0,8.0,4.21,3.27,3.8,0.7,3.2,1.67,0.73,Matches
Gabriel Jesus,br BRA,FW,28-286,6,122.0,20.0,6.5,1.4,0,,0,6,20.0,2,2.67,3.0,3.0,0.0,0.0,-1.32,2.9,2.5,0.4,0.3,-0.75,Matches
Christian Nørgaard,dk DEN,MF,31-310,3,33.0,11.0,1.7,0.4,0,,0,3,11.0,14,3.0,1.0,1.0,0.0,0.0,-1.26,1.1,2.1,-0.9,-2.57,-3.64,Matches
Kai Havertz,de GER,FW,26-217,1,31.0,31.0,1.6,0.3,0,,0,1,31.0,1,3.0,0.0,0.0,0.0,0.0,-1.26,0.2,0.8,-0.6,-1.64,-2.68,Matches
Max Dowman,eng ENG,FW,16-014,2,29.0,15.0,1.5,0.3,0,,0,2,15.0,6,1.5,1.0,0.0,1.0,3.1,1.89,1.0,0.1,0.8,2.58,1.6,Matches
Andre Annous,eng ENG,FW,18-018,0,,,,,0,,0,0,,2,,,,,,,,,,,,Matches
Kepa Arrizabalaga,es ESP,GK,31-103,0,,,,,0,,0,0,,21,,,,,,,,,,,,Matches
Jakub Kiwior,pl POL,"DF,MF",25-333,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
Marli Salmon,eng ENG,DF,16-138,0,,,,,0,,0,0,,2,,,,,,,,,,,,Matches
Squad Total,,,26.5,21,1890.0,90.0,100.0,21.0,231,81.0,142,90,22.0,99,2.33,40.0,14.0,26.0,1.24,,35.8,14.8,21.0,1.0,,
Opponent Total,,,26.8,21,1890.0,90.0,100.0,21.0,231,81.0,140,90,21.0,99,0.48,14.0,40.0,-26.0,-1.24,,14.8,35.8,-21.0,-1.0,,
