Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls.1,Ast.1,G+A.1,G-PK.1,G+A-PK,xG.1,xAG.1,xG+xAG,npxG.1,npxG+xAG.1
,,,na,,Time,Time,Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes
Player,Nation,Pos,Ag,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG
Akinmboni,USA,DF,18,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anthony,ENG,"FW,MF",25,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dennis,ENG,GK,24,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harris,ENG,DF,20,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hamed Junior Traorè,CIV,"FW,MF",25,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mckenna,SCO,GK,18,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sadi,ENG,MF,21,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wellings,ENG,DF,20,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
