Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Marmoush,EGY,"FW,MF",26-096,14,12,1005.0,11.2,6.0,0.0,6.0,6.0,0.0,0.0,0.0,0.0,4.9,4.9,1.7,6.6,22.0,29.0,68.0,0.54,0.0,0.54,0.54,0.54,0.44,0.15,0.59,0.44,0.59,Matches
Walker,ENG,DF,34-351,15,9,970.0,10.8,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.1,0.1,0.4,0.6,12.0,64.0,11.0,0.0,0.0,0.0,0.0,0.0,0.01,0.04,0.05,0.01,0.05,Matches
Aké,NED,DF,30-085,10,8,678.0,7.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.2,12.0,50.0,2.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.03,0.03,0.03,Matches
González,ESP,MF,23-131,9,8,648.0,7.2,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.3,0.3,0.1,0.3,5.0,46.0,10.0,0.0,0.0,0.0,0.0,0.0,0.04,0.01,0.05,0.04,0.05,Matches
Grealish,ENG,"FW,MF",29-246,19,7,720.0,8.0,1.0,1.0,2.0,1.0,0.0,0.0,3.0,0.0,1.1,1.1,1.8,3.0,69.0,52.0,118.0,0.12,0.12,0.25,0.12,0.25,0.14,0.23,0.37,0.14,0.37,Matches
Stones,ENG,"DF,MF",30-351,11,6,548.0,6.1,2.0,0.0,2.0,2.0,0.0,0.0,1.0,0.0,0.4,0.4,0.1,0.5,10.0,21.0,2.0,0.33,0.0,0.33,0.33,0.33,0.07,0.01,0.08,0.07,0.08,Matches
O’Reilly,ENG,DF,20-054,9,6,528.0,5.9,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,1.3,1.3,0.4,1.6,16.0,17.0,26.0,0.34,0.0,0.34,0.34,0.34,0.22,0.06,0.28,0.22,0.28,Matches
Khusanov,UZB,DF,21-074,6,6,503.0,5.6,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.1,0.1,1.0,25.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.0,0.02,Matches
Mcatee,ENG,"MF,FW",22-208,15,3,349.0,3.9,3.0,0.0,3.0,3.0,0.0,0.0,1.0,0.0,2.8,2.8,0.5,3.3,7.0,7.0,32.0,0.77,0.0,0.77,0.77,0.77,0.72,0.13,0.85,0.72,0.85,Matches
Simpson-Pusey,ENG,DF,19-191,2,1,96.0,1.1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Rodri,ESP,MF,28-326,2,1,65.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.06,0.0,0.06,Matches
Mubama,ENG,FW,20-201,1,0,28.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.0,0.12,0.12,0.12,Matches
Bobb,NOR,FW,21-306,2,0,15.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.44,0.44,0.0,0.44,Matches
Reis,BRA,DF,19-122,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Alleyne,ENG,DF,19-260,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Brits,ENG,GK,17-324,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Carson,ENG,GK,39-253,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Kaboré,BFA,"DF,MF",24-002,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Wilson-Esbrand,ENG,DF,22-139,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Wright,ENG,MF,19-235,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Total,,,27.6,36,396,3240.0,36.0,66.0,48.0,114.0,64.0,2.0,3.0,58.0,1.0,63.6,61.2,51.1,112.3,1085.0,1847.0,1824.0,1.83,1.33,3.17,1.78,3.11,1.77,1.42,3.19,1.7,3.12,
Total,,,27.0,36,396,3240.0,36.0,41.0,32.0,73.0,37.0,4.0,4.0,85.0,1.0,45.3,42.2,35.8,78.0,520.0,851.0,843.0,1.14,0.89,2.03,1.03,1.92,1.26,1.0,2.26,1.17,2.17,
