Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls.1,Ast.1,G+A.1,G-PK.1,G+A-PK,xG.1,xAG.1,xG+xAG,npxG.1,npxG+xAG.1
,,,na,Time,Time,Time,Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes
Player,Nation,Pos,Ag,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG
McTominay,SCO,MF,28,2,0,19,0.2,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,0,1,2,0.00,0.00,0.00,0.00,0.00,0.33,0.00,0.33,0.33,0.33
Fitzgerald,ENG,MF,18,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fletcher,ENG,MF,18,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Graczyk,POL,GK,22,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harrison,ENG,GK,19,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Heaton,ENG,GK,39,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Koné,MLI,MF,19,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kukonki,ENG,DF,17,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mee,NIR,GK,22,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moorhouse,ENG,MF,19,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wheatley,ENG,FW,19,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
