Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls.1,Ast.1,G+A.1,G-PK.1,G+A-PK,xG.1,xAG.1,xG+xAG,npxG.1,npxG+xAG.1
Spence,ENG,DF,24-278,23,18,1694,18.8,1,2,3,1,0,0,4,1,0.6,0.6,1.8,2.3,58,103,70,0.05,0.11,0.16,0.05,0.16,0.03,0.09,0.12,0.03,0.12
Romero,ARG,DF,27-017,18,18,1416,15.7,1,0,1,1,0,0,3,0,1.6,1.6,0.6,2.2,12,71,3,0.06,0.00,0.06,0.06,0.06,0.10,0.04,0.14,0.10,0.14
Gray,ENG,"DF,MF",19-063,26,17,1571,17.5,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,7,37,17,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.00,0.01
Bissouma,MLI,MF,28-257,26,16,1345,14.9,2,0,2,2,0,0,7,0,0.6,0.6,0.3,0.9,15,74,3,0.13,0.00,0.13,0.13,0.13,0.04,0.02,0.06,0.04,0.06
Drăgușin,ROU,DF,23-100,16,14,1252,13.9,0,0,0,0,0,0,1,0,0.1,0.1,0.4,0.5,7,37,2,0.00,0.00,0.00,0.00,0.00,0.01,0.03,0.04,0.01,0.04
Davies,WAL,DF,32-020,15,13,1216,13.5,0,0,0,0,0,0,4,0,0.3,0.3,0.2,0.5,14,51,6,0.00,0.00,0.00,0.00,0.00,0.02,0.01,0.04,0.02,0.04
Bergvall,SWE,MF,19-101,27,11,1212,13.5,0,1,1,0,0,0,3,0,0.7,0.7,0.6,1.3,33,49,31,0.00,0.07,0.07,0.00,0.07,0.05,0.04,0.09,0.05,0.09
Micky van de Ven,NED,DF,24-025,12,11,950,10.6,0,2,2,0,0,0,4,0,0.6,0.6,1.2,1.7,8,51,1,0.00,0.19,0.19,0.00,0.19,0.05,0.11,0.16,0.05,0.16
Tel,FRA,FW,20-017,11,9,739,8.2,2,1,3,1,1,1,1,0,2.3,1.5,1.5,3.0,22,19,60,0.24,0.12,0.37,0.12,0.24,0.28,0.19,0.47,0.18,0.37
Odobert,FRA,FW,20-167,14,8,719,8.0,1,0,1,1,0,0,0,0,1.2,1.2,0.9,2.1,43,23,65,0.13,0.00,0.13,0.13,0.13,0.15,0.11,0.27,0.15,0.27
Danso,AUT,DF,26-237,8,7,662,7.4,0,0,0,0,0,0,0,0,0.4,0.4,0.1,0.5,11,18,1,0.00,0.00,0.00,0.00,0.00,0.06,0.01,0.06,0.06,0.06
Forster,ENG,GK,37-058,7,7,630,7.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Kinský,CZE,GK,22-062,5,5,450,5.0,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,1,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.00,0.01
Werner,GER,"FW,MF",29-069,18,4,516,5.7,0,3,3,0,0,0,0,0,1.0,1.0,2.5,3.5,42,30,89,0.00,0.52,0.52,0.00,0.52,0.17,0.44,0.61,0.17,0.61
Richarlison,BRA,FW,28-004,13,4,475,5.3,4,1,5,4,0,0,2,0,3.7,3.7,0.9,4.6,8,11,22,0.76,0.19,0.95,0.76,0.95,0.70,0.17,0.87,0.70,0.87
Moore,ENG,FW,17-276,9,2,280,3.1,0,1,1,0,0,0,0,0,0.2,0.2,0.3,0.5,11,8,37,0.00,0.32,0.32,0.00,0.32,0.06,0.11,0.17,0.06,0.17
Austin,ENG,GK,26-126,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Reguilón,ESP,DF,28-149,3,0,123,1.4,0,0,0,0,0,0,2,0,0.1,0.1,0.0,0.1,4,12,10,0.00,0.00,0.00,0.00,0.00,0.05,0.02,0.07,0.05,0.07
Scarlett,ENG,"FW,MF",21-051,3,0,34,0.4,0,1,1,0,0,0,0,0,0.0,0.0,0.0,0.1,1,1,1,0.00,2.65,2.65,0.00,2.65,0.09,0.12,0.22,0.09,0.22
Dorrington,ENG,DF,20-024,1,0,14,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,,,,Time,Time,Time,Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG
Lankshear,ENG,"FW,MF",20-024,3,0,11,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Ajayi,ENG,FW,19-138,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cassanova,JAM,DF,20-327,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Devine,ENG,MF,20-286,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hardy,ENG,DF,17-065,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
King,ENG,DF,19-247,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Minhyeok,KOR,MF,19-028,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Olusesi,ENG,MF,18-117,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Whiteman,ENG,GK,26-224,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Luca Williams Barnett,ENG,FW,16-225,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
