player,nation,position,age,matches_played,starts,minutes,90s_played,goals,assists,goals_and_assists,non_pk_goals,pks_scored,pks_attempted,yellow_cards,red_cards,xG,npxG,xAG,npxG_plus_xAG,progressive_carries,progressive_passes,progressive_passes_received,goals_per_90,assists_per_90,goals_and_assists_per_90,non_pk_goals_per_90,npG_and_assists_per_90,xG_per_90,xAG_per_90,xG_plus_xAG_per_90,npxG_per_90,npxG_plus_xAG_per_90
James Garner,ENG,"MF,DF",24,19,15,1414.0,15.7,0.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,0.3,0.3,1.3,1.6,12.0,47.0,24.0,0.0,0.06,0.06,0.0,0.06,0.02,0.09,0.1,0.02,0.1
Jake O'Brien,IRL,DF,23,18,15,1391.0,15.5,2.0,0.0,2.0,2.0,0.0,0.0,5.0,0.0,0.7,0.7,0.6,1.3,7.0,43.0,24.0,0.13,0.0,0.13,0.13,0.13,0.05,0.04,0.08,0.05,0.08
Jesper Lindstrøm,DEN,FW,25,25,15,1239.0,13.8,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,2.1,2.1,2.0,4.1,30.0,25.0,81.0,0.0,0.07,0.07,0.0,0.07,0.15,0.15,0.3,0.15,0.3
Dwight McNeil,ENG,"MF,FW",25,19,14,1292.0,14.4,4.0,5.0,9.0,4.0,0.0,0.0,1.0,0.0,1.1,1.1,3.9,5.0,37.0,64.0,76.0,0.28,0.35,0.63,0.28,0.63,0.08,0.27,0.35,0.08,0.35
Orel Mangala,BEL,MF,27,19,14,1261.0,14.0,1.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,1.1,1.1,0.6,1.8,6.0,34.0,19.0,0.07,0.0,0.07,0.07,0.07,0.08,0.05,0.13,0.08,0.13
Beto,GNB,FW,27,28,13,1357.0,15.1,8.0,0.0,8.0,8.0,0.0,0.0,2.0,0.0,7.0,7.0,0.8,7.8,12.0,12.0,72.0,0.53,0.0,0.53,0.53,0.53,0.46,0.06,0.52,0.46,0.52
Michael Keane,ENG,DF,32,12,10,942.0,10.5,3.0,0.0,3.0,3.0,0.0,0.0,5.0,0.0,0.6,0.6,0.1,0.7,1.0,12.0,3.0,0.29,0.0,0.29,0.29,0.29,0.06,0.01,0.07,0.06,0.07
Carlos Alcaraz,ARG,"FW,MF",22,13,6,663.0,7.4,1.0,3.0,4.0,1.0,0.0,0.0,4.0,0.0,1.4,1.4,1.6,3.1,16.0,40.0,20.0,0.14,0.41,0.54,0.14,0.54,0.2,0.22,0.42,0.2,0.42
Tim Iroegbunam,ENG,MF,21,18,5,574.0,6.4,0.0,1.0,1.0,0.0,0.0,0.0,4.0,0.0,0.2,0.2,0.2,0.4,8.0,15.0,9.0,0.0,0.16,0.16,0.0,0.16,0.04,0.03,0.07,0.04,0.07
Armando Broja,ALB,FW,23,10,4,334.0,3.7,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.1,0.1,0.2,0.3,12.0,2.0,26.0,0.0,0.0,0.0,0.0,0.0,0.03,0.05,0.08,0.03,0.08
Nathan Patterson,SCO,DF,23,10,3,347.0,3.9,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.1,0.1,0.4,0.5,6.0,13.0,18.0,0.0,0.26,0.26,0.0,0.26,0.02,0.11,0.13,0.02,0.13
Séamus Coleman,IRL,DF,36,4,2,198.0,2.2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.6,0.6,0.0,0.6,1.0,9.0,3.0,0.0,0.0,0.0,0.0,0.0,0.26,0.0,0.26,0.26,0.26
Roman Dixon,ENG,DF,20,1,1,90.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Harrison Armstrong,ENG,MF,18,3,0,48.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.4,0.4,0.1,0.4,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.69,0.14,0.82,0.69,0.82
Youssef Chermiti,POR,"FW,MF",20,4,0,45.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.1,0.1,0.0,0.1,0.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,0.22,0.0,0.22,0.22,0.22
Mason Holgate,ENG,"FW,DF",28,1,0,6.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Callum Bates,ENG,MF,19,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asmir Begović,BIH,GK,37,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coby Ebere,GER,MF,19,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Isaac Heath,ENG,FW,20,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Neal Maupay,FRA,"FW,MF",28,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jenson Metcalfe,ENG,MF,20,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Martin Sherif,NED,FW,18,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
João Virgínia,POR,GK,25,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Squad Total,,,28,36,396,3240.0,36.0,36.0,25.0,61.0,34.0,2.0,2.0,77.0,2.0,37.9,36.4,29.0,65.3,461.0,984.0,968.0,1.0,0.69,1.69,0.94,1.64,1.05,0.81,1.86,1.01,1.81
Opponent Total,,,27,36,396,3240.0,36.0,44.0,35.0,79.0,44.0,0.0,2.0,44.0,2.0,43.9,42.2,33.0,75.2,682.0,1539.0,1528.0,1.22,0.97,2.19,1.22,2.19,1.22,0.92,2.14,1.17,2.09
