player,nation,position,age,matches_played,starts,minutes,90s_played,goals,assists,goals_and_assists,non_pk_goals,pks_scored,pks_attempted,yellow_cards,red_cards,xG,npxG,xAG,npxG_plus_xAG,progressive_carries,progressive_passes,progressive_passes_received,goals_per_90,assists_per_90,goals_and_assists_per_90,non_pk_goals_per_90,npG_and_assists_per_90,xG_per_90,xAG_per_90,xG_plus_xAG_per_90,npxG_per_90,npxG_plus_xAG_per_90
Tyler Adams,USA,MF,25,28,21,1965,21.8,0,3,3,0,0,0,7,0,1.6,1.6,1.0,2.6,14,76,10,0.00,0.14,0.14,0.00,0.14,0.07,0.05,0.12,0.07,0.12
Marcus Tavernier,ENG,"FW,MF",25,29,20,1939,21.5,3,5,8,3,0,0,6,0,5.5,5.5,4.0,9.5,53,128,129,0.14,0.23,0.37,0.14,0.37,0.25,0.19,0.44,0.25,0.44
Adam Smith,ENG,DF,33,25,19,1590,17.7,0,0,0,0,0,0,7,0,0.7,0.7,0.4,1.1,15,49,34,0.00,0.00,0.00,0.00,0.00,0.04,0.02,0.06,0.04,0.06
Marcos Senesi,ARG,DF,27,17,13,1106,12.3,0,0,0,0,0,0,5,0,0.8,0.8,0.2,1.1,12,62,7,0.00,0.00,0.00,0.00,0.00,0.07,0.02,0.09,0.07,0.09
David Brooks,WAL,"FW,MF",27,29,9,960,10.7,2,0,2,2,0,0,3,0,2.5,2.5,1.9,4.4,35,35,83,0.19,0.00,0.19,0.19,0.19,0.24,0.18,0.41,0.24,0.41
Alex Scott,ENG,MF,20,20,8,755,8.4,0,0,0,0,0,0,3,0,0.7,0.7,0.9,1.6,15,52,33,0.00,0.00,0.00,0.00,0.00,0.09,0.11,0.19,0.09,0.19
Julian Araujo,MEX,DF,22,12,7,497,5.5,0,0,0,0,0,0,2,0,0.0,0.0,0.1,0.1,4,14,22,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.00,0.01
James Hill,ENG,DF,22,10,6,448,5.0,0,1,1,0,0,0,1,0,0.3,0.3,0.3,0.6,3,16,8,0.00,0.20,0.20,0.00,0.20,0.06,0.05,0.11,0.06,0.11
Mark Travers,IRL,GK,25,5,5,450,5.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Enes Ünal,TUR,"FW,MF",27,17,2,345,3.8,2,1,3,2,0,0,2,0,2.7,2.7,0.4,3.1,4,12,22,0.52,0.26,0.78,0.52,0.78,0.72,0.10,0.82,0.72,0.82
Neto,BRA,GK,35,2,2,180,2.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Luis Sinisterra,COL,"FW,MF",25,12,1,236,2.6,1,1,2,1,0,0,0,0,1.2,1.2,1.4,2.6,19,6,38,0.38,0.38,0.76,0.38,0.76,0.46,0.54,1.00,0.46,1.00
Philip Billing,DEN,MF,28,10,1,184,2.0,0,0,0,0,0,0,1,0,0.6,0.6,1.1,1.7,3,15,13,0.00,0.00,0.00,0.00,0.00,0.28,0.54,0.82,0.28,0.82
Max Aarons,ENG,DF,24,3,1,86,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,8,3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Daniel Jebbison,ENG,FW,20,16,0,119,1.3,1,0,1,1,0,0,1,0,1.0,1.0,0.2,1.2,4,3,16,0.76,0.00,0.76,0.76,0.76,0.75,0.15,0.90,0.75,0.90
Ben Winterburn,ENG,"MF,FW",19,4,0,24,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2,0,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Julio Soler,ARG,"DF,FW",19,3,0,11,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Remy Rees-Dottin,ENG,FW,18,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Zain Silcott-Duberry,MSR,FW,19,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Daniel Adu-Adjei,ENG,FW,19,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,na,,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes
Player,Nation,Pos,Ag,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG
Matai Akinmboni,USA,DF,17,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jaidon Anthony,ENG,"FW,MF",24,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Will Dennis,ENG,GK,24,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Archie Harris,ENG,DF,19,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hamed Junior Traorè,CIV,"FW,MF",24,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Callan Mckenna,SCO,GK,17,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dominic Sadi,ENG,MF,20,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maxwell Wellings,ENG,DF,19,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Squad Total,,,25,38,418,3420,38.0,57,41,98,51,6,7,97,3,64.0,58.5,43.8,102.3,754,1489,1474,1.50,1.08,2.58,1.34,2.42,1.68,1.15,2.84,1.54,2.69
Opponent Total,,,26,38,418,3420,38.0,46,36,82,42,4,4,94,5,48.5,45.3,36.5,81.8,685,1295,1280,1.21,0.95,2.16,1.11,2.05,1.28,0.96,2.24,1.19,2.15
