Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 33_level_0
Diogo Jota,pt POR,FW,27.0,26,14,1196.0,13.3,6.0,3.0,9.0,6.0,0.0,0.0,2.0,0.0,7.9,7.9,1.8,9.8,37.0,34.0,88.0,0.45,0.23,0.68,0.45,0.68,0.6,0.14,0.74,0.6,0.74,Matches
Caoimhín Kelleher,ie IRL,GK,25.0,10,10,900.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Kostas Tsimikas,gr GRE,DF,28.0,18,9,837.0,9.3,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.4,0.4,2.1,2.5,17.0,76.0,43.0,0.0,0.11,0.11,0.0,0.11,0.04,0.23,0.27,0.04,0.27,Matches
Darwin Núñez,uy URU,FW,25.0,30,8,1133.0,12.6,5.0,2.0,7.0,5.0,0.0,0.0,8.0,0.0,5.8,5.8,1.3,7.1,23.0,27.0,78.0,0.4,0.16,0.56,0.4,0.56,0.46,0.1,0.57,0.46,0.57,Matches
Conor Bradley,nir NIR,DF,21.0,19,7,754.0,8.4,0.0,2.0,2.0,0.0,0.0,0.0,4.0,0.0,0.7,0.7,1.4,2.1,35.0,33.0,39.0,0.0,0.24,0.24,0.0,0.24,0.08,0.17,0.25,0.08,0.25,Matches
Joe Gomez,eng ENG,DF,27.0,9,6,519.0,5.8,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.3,0.3,0.1,0.4,5.0,35.0,2.0,0.0,0.0,0.0,0.0,0.0,0.06,0.02,0.08,0.06,0.08,Matches
Jarell Quansah,eng ENG,DF,21.0,13,4,495.0,5.5,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.1,0.1,0.1,0.2,3.0,19.0,4.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.04,0.02,0.04,Matches
Harvey Elliott,eng ENG,MF,21.0,18,2,371.0,4.1,1.0,2.0,3.0,1.0,0.0,0.0,1.0,0.0,1.8,1.8,1.1,2.8,10.0,44.0,30.0,0.24,0.49,0.73,0.24,0.73,0.43,0.26,0.69,0.43,0.69,Matches
Wataru Endo,jp JPN,"MF,DF",31.0,20,1,273.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,1.0,19.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.0,0.02,Matches
Federico Chiesa,it ITA,FW,26.0,6,1,108.0,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.2,0.5,3.0,3.0,7.0,0.0,0.0,0.0,0.0,0.0,0.28,0.15,0.43,0.28,0.43,Matches
Vitezslav Jaros,cz CZE,GK,23.0,1,0,12.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Jayden Danns,eng ENG,MF,18.0,1,0,11.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Harvey Davies,eng ENG,GK,20.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
James McConnell,eng ENG,MF,19.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Tyler Morton,eng ENG,MF,21.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Amara Nallo,eng ENG,DF,17.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Trey Nyoni,eng ENG,MF,17.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Squad Total,,,27.2,38,418,3420.0,38.0,85.0,65.0,150.0,76.0,9.0,9.0,67.0,3.0,82.2,75.2,61.6,136.8,825.0,1924.0,1910.0,2.24,1.71,3.95,2.0,3.71,2.16,1.62,3.78,1.98,3.6,
Opponent Total,,,26.1,38,418,3420.0,38.0,39.0,28.0,67.0,38.0,1.0,2.0,84.0,2.0,38.6,36.9,29.4,66.2,683.0,1091.0,1074.0,1.03,0.74,1.76,1.0,1.74,1.02,0.77,1.79,0.97,1.74,
