Unnamed: 0_level_0_Player,Unnamed: 1_level_0_Nation,Unnamed: 2_level_0_Pos,Unnamed: 3_level_0_Age,Playing Time_MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Expected_xG,Expected_npxG,Expected_xAG,Expected_npxG+xAG,Progression_PrgC,Progression_PrgP,Progression_PrgR,Per 90 Minutes_Gls,Per 90 Minutes_Ast,Per 90 Minutes_G+A,Per 90 Minutes_G-PK,Per 90 Minutes_G+A-PK,Per 90 Minutes_xG,Per 90 Minutes_xAG,Per 90 Minutes_xG+xAG,Per 90 Minutes_npxG,Per 90 Minutes_npxG+xAG,Unnamed: 33_level_0_Matches
Piero Hincapié,ec ECU,DF,24-005,12,10,891.0,9.9,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.7,0.7,9.0,26.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.07,0.0,0.07,Matches
Noni Madueke,eng ENG,FW,23-310,12,6,510.0,5.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,1.4,2.0,35.0,16.0,74.0,0.0,0.0,0.0,0.0,0.0,0.1,0.25,0.35,0.1,0.35,Matches
Gabriel Martinelli,br BRA,FW,24-210,16,6,510.0,5.7,1.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,2.1,2.1,0.3,2.4,21.0,15.0,39.0,0.18,0.0,0.18,0.18,0.18,0.37,0.05,0.42,0.37,0.42,Matches
Cristhian Mosquera,es ESP,DF,21-201,10,4,433.0,4.8,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.1,0.1,8.0,15.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.01,Matches
Ben White,eng ENG,DF,28-098,5,4,288.0,3.2,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.8,1.1,6.0,21.0,11.0,0.0,0.31,0.31,0.0,0.31,0.12,0.24,0.35,0.12,0.35,Matches
Myles Lewis-Skelly,eng ENG,DF,19-110,14,1,321.0,3.6,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.1,0.1,0.1,0.2,5.0,7.0,10.0,0.0,0.0,0.0,0.0,0.0,0.01,0.04,0.05,0.01,0.05,Matches
Ethan Nwaneri,eng ENG,MF,18-299,6,0,171.0,1.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.3,7.0,14.0,6.0,0.0,0.0,0.0,0.0,0.0,0.12,0.02,0.14,0.12,0.14,Matches
Gabriel Jesus,br BRA,FW,28-286,6,0,122.0,1.4,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.5,0.5,0.0,0.5,8.0,3.0,10.0,0.74,0.0,0.74,0.74,0.74,0.36,0.0,0.36,0.36,0.36,Matches
Christian Nørgaard,dk DEN,MF,31-310,3,0,33.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.0,0.14,0.14,0.14,Matches
Kai Havertz,de GER,FW,26-217,1,0,31.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Max Dowman,eng ENG,FW,16-014,2,0,29.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.1,4.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.43,0.0,0.43,0.43,0.43,Matches
Andre Annous,eng ENG,FW,18-018,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Kepa Arrizabalaga,es ESP,GK,31-103,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Jakub Kiwior,pl POL,"DF,MF",25-333,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Marli Salmon,eng ENG,DF,16-138,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Squad Total,,,26.5,21,231,1890.0,21.0,37.0,27.0,64.0,34.0,3.0,3.0,29.0,0.0,35.8,33.5,23.9,57.4,453.0,938.0,923.0,1.76,1.29,3.05,1.62,2.9,1.71,1.14,2.85,1.59,2.73,
Opponent Total,,,26.8,21,231,1890.0,21.0,14.0,8.0,22.0,14.0,0.0,0.0,38.0,1.0,14.8,14.8,9.5,24.3,251.0,521.0,517.0,0.67,0.38,1.05,0.67,1.05,0.7,0.45,1.16,0.7,1.16,
