Unnamed: 0_level_0_Player,Unnamed: 1_level_0_Nation,Unnamed: 2_level_0_Pos,Unnamed: 3_level_0_Age,Playing Time_MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Expected_xG,Expected_npxG,Expected_xAG,Expected_npxG+xAG,Progression_PrgC,Progression_PrgP,Progression_PrgR,Per 90 Minutes_Gls,Per 90 Minutes_Ast,Per 90 Minutes_G+A,Per 90 Minutes_G-PK,Per 90 Minutes_G+A-PK,Per 90 Minutes_xG,Per 90 Minutes_xAG,Per 90 Minutes_xG+xAG,Per 90 Minutes_npxG,Per 90 Minutes_npxG+xAG,Unnamed: 33_level_0_Matches
Soungoutou Magassa,fr FRA,MF,22-098,14,9,737.0,8.2,1.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,0.3,0.3,0.3,0.6,5.0,19.0,8.0,0.12,0.0,0.12,0.12,0.12,0.04,0.03,0.07,0.04,0.07,Matches
Callum Wilson,eng ENG,FW,33-321,17,8,811.0,9.0,4.0,1.0,5.0,4.0,0.0,0.0,0.0,0.0,3.6,3.6,0.2,3.8,13.0,8.0,37.0,0.44,0.11,0.55,0.44,0.55,0.4,0.02,0.42,0.4,0.42,Matches
Tomáš Souček,cz CZE,"MF,FW",30-321,18,7,726.0,8.1,2.0,0.0,2.0,2.0,0.0,0.0,0.0,1.0,2.5,2.5,0.1,2.6,5.0,29.0,19.0,0.25,0.0,0.25,0.25,0.25,0.31,0.02,0.33,0.31,0.33,Matches
Oliver Scarles,eng ENG,DF,20-033,7,7,464.0,5.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.3,0.5,4.0,13.0,21.0,0.0,0.0,0.0,0.0,0.0,0.04,0.07,0.11,0.04,0.11,Matches
James Ward-Prowse,eng ENG,MF,31-074,5,5,413.0,4.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.9,1.0,1.0,20.0,8.0,0.0,0.0,0.0,0.0,0.0,0.03,0.2,0.23,0.03,0.23,Matches
Niclas Füllkrug,de GER,FW,32-339,8,5,409.0,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.9,0.7,1.5,1.0,6.0,16.0,0.0,0.0,0.0,0.0,0.0,0.19,0.14,0.33,0.19,0.33,Matches
Mads Hermansen,dk DEN,GK,25-187,4,4,360.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Nayef Aguerd,ma MAR,DF,29-290,2,2,180.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.1,2.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.05,0.05,0.05,Matches
Guido Rodríguez,ar ARG,MF,31-277,5,2,168.0,1.9,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,4.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.01,0.01,0.01,Matches
Andy Irving,sct SCO,MF,25-246,7,2,158.0,1.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,2.0,12.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.15,0.0,0.15,Matches
Luis Guilherme,br BRA,"FW,MF",19-339,5,1,125.0,1.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.1,2.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0,0.05,0.02,0.07,0.05,0.07,Matches
Igor,br BRA,DF,27-341,4,1,105.0,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.03,0.0,0.03,Matches
Valentín Castellanos,ar ARG,FW,27-103,1,1,90.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.1,0.5,1.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.4,0.05,0.45,0.4,0.45,Matches
Ezra Mayers,bb BRB,DF,18-363,5,0,116.0,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.2,0.4,2.0,11.0,7.0,0.0,0.0,0.0,0.0,0.0,0.09,0.19,0.28,0.09,0.28,Matches
Callum Marshall,nir NIR,FW,21-047,2,0,60.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19,0.0,0.19,0.19,0.19,Matches
Pablo,br BRA,MF,22-012,1,0,28.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.12,0.1,0.21,0.12,0.21,Matches
Mohamadou Kanté,fr FRA,"FW,MF",20-116,3,0,19.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.2,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.24,0.56,0.8,0.24,0.8,Matches
George Earthy,eng ENG,FW,21-131,1,0,9.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Edson Álvarez,mx MEX,"DF,MF",28-082,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Łukasz Fabiański,pl POL,GK,40-271,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Airidas Golambeckis,eng ENG,DF,18-071,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Squad Total,,,27.0,21,231,1890.0,21.0,20.0,11.0,31.0,18.0,2.0,2.0,35.0,2.0,21.5,20.1,12.8,32.9,264.0,641.0,632.0,0.95,0.52,1.48,0.86,1.38,1.02,0.61,1.63,0.96,1.57,
Opponent Total,,,26.7,21,231,1890.0,21.0,42.0,25.0,67.0,37.0,5.0,6.0,35.0,0.0,35.6,30.9,22.1,53.0,466.0,966.0,957.0,2.0,1.19,3.19,1.76,2.95,1.69,1.05,2.75,1.47,2.52,
