Unnamed: 0_level_0_Player,Unnamed: 1_level_0_Nation,Unnamed: 2_level_0_Pos,Unnamed: 3_level_0_Age,Playing Time_MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Expected_xG,Expected_npxG,Expected_xAG,Expected_npxG+xAG,Progression_PrgC,Progression_PrgP,Progression_PrgR,Per 90 Minutes_Gls,Per 90 Minutes_Ast,Per 90 Minutes_G+A,Per 90 Minutes_G-PK,Per 90 Minutes_G+A-PK,Per 90 Minutes_xG,Per 90 Minutes_xAG,Per 90 Minutes_xG+xAG,Per 90 Minutes_npxG,Per 90 Minutes_npxG+xAG,Unnamed: 33_level_0_Matches
Mathias Jensen,dk DEN,"MF,FW",30-013,19,9,772.0,8.6,2.0,0.0,2.0,2.0,0.0,0.0,1.0,0.0,0.9,0.9,0.7,1.6,7.0,50.0,33.0,0.23,0.0,0.23,0.23,0.23,0.11,0.08,0.19,0.11,0.19,Matches
Vitaly Janelt,de GER,MF,27-249,16,7,766.0,8.5,0.0,4.0,4.0,0.0,0.0,0.0,3.0,0.0,0.5,0.5,2.4,2.9,3.0,39.0,7.0,0.0,0.47,0.47,0.0,0.47,0.06,0.28,0.34,0.06,0.34,Matches
Rico Henry,jm JAM,DF,28-190,17,6,719.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.2,0.2,0.1,0.3,18.0,20.0,33.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.04,0.02,0.04,Matches
Aaron Hickey,sct SCO,DF,23-218,13,6,514.0,5.7,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.4,0.4,0.0,0.4,3.0,14.0,11.0,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.06,0.06,0.06,Matches
Ethan Pinnock,jm JAM,DF,32-230,3,3,228.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Fabio Carvalho,pt POR,"FW,MF",23-137,6,1,102.0,1.1,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.7,0.7,0.0,0.7,2.0,2.0,6.0,0.88,0.0,0.88,0.88,0.88,0.62,0.0,0.62,0.62,0.62,Matches
Antoni Milambo,nl NED,MF,20-286,1,1,45.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Frank Onyeka,ng NGA,MF,28-013,6,0,92.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,2.0,4.0,2.0,0.0,0.98,0.98,0.0,0.98,0.0,0.12,0.12,0.0,0.12,Matches
Reiss Nelson,eng ENG,FW,26-035,6,0,55.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.6,0.0,0.6,2.0,5.0,6.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,Matches
Myles Peart-Harris,eng ENG,FW,23-118,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Benjamin Arthur,eng ENG,DF,20-097,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Romelle Donovan,eng ENG,FW,19-045,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Yunus Emre Konak,tr TUR,MF,20-004,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Gustavo Nunes,br BRA,MF,20-055,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Mads Roerslev,dk DEN,"DF,MF",26-204,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Hákon Valdimarsson,is ISL,GK,24-093,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Squad Total,,,25.7,21,231,1890.0,21.0,34.0,21.0,55.0,29.0,5.0,7.0,41.0,0.0,33.8,28.3,22.7,51.0,256.0,612.0,604.0,1.62,1.0,2.62,1.38,2.38,1.61,1.08,2.69,1.35,2.43,
Opponent Total,,,26.7,21,231,1890.0,21.0,26.0,16.0,42.0,24.0,2.0,5.0,38.0,1.0,28.0,24.1,16.6,40.7,374.0,764.0,755.0,1.24,0.76,2.0,1.14,1.9,1.33,0.79,2.12,1.15,1.94,
