Unnamed: 0_level_0_Player,Unnamed: 1_level_0_Nation,Unnamed: 2_level_0_Pos,Unnamed: 3_level_0_Age,Playing Time_MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Expected_xG,Expected_npxG,Expected_xAG,Expected_npxG+xAG,Progression_PrgC,Progression_PrgP,Progression_PrgR,Per 90 Minutes_Gls,Per 90 Minutes_Ast,Per 90 Minutes_G+A,Per 90 Minutes_G-PK,Per 90 Minutes_G+A-PK,Per 90 Minutes_xG,Per 90 Minutes_xAG,Per 90 Minutes_xG+xAG,Per 90 Minutes_npxG,Per 90 Minutes_npxG+xAG,Unnamed: 33_level_0_Matches
Will Hughes,eng ENG,MF,30-272,18,10,874.0,9.7,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.7,0.7,0.9,1.6,5.0,44.0,14.0,0.0,0.0,0.0,0.0,0.0,0.07,0.09,0.16,0.07,0.16,Matches
Jefferson Lerma,co COL,"MF,DF",31-081,18,7,760.0,8.4,0.0,1.0,1.0,0.0,0.0,0.0,4.0,0.0,0.6,0.6,0.7,1.3,4.0,46.0,7.0,0.0,0.12,0.12,0.0,0.12,0.07,0.08,0.16,0.07,0.16,Matches
Nathaniel Clyne,eng ENG,DF,34-284,7,6,418.0,4.6,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,1.1,1.6,8.0,11.0,30.0,0.0,0.22,0.22,0.0,0.22,0.1,0.25,0.35,0.1,0.35,Matches
Justin Devenny,nir NIR,"MF,DF",22-095,17,4,513.0,5.7,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,2.6,1.8,0.3,2.1,15.0,13.0,39.0,0.18,0.0,0.18,0.0,0.0,0.46,0.05,0.51,0.32,0.37,Matches
Eddie Nketiah,eng ENG,"MF,FW",26-229,12,2,424.0,4.7,2.0,0.0,2.0,2.0,0.0,0.0,2.0,0.0,1.9,1.9,0.9,2.9,16.0,9.0,24.0,0.42,0.0,0.42,0.42,0.42,0.41,0.2,0.61,0.41,0.61,Matches
Jaydee Canvot,fr FRA,DF,19-169,8,2,293.0,3.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,10.0,4.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.01,0.01,0.01,Matches
Brennan Johnson,wls WAL,MF,24-236,2,2,161.0,1.8,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.5,0.5,0.2,0.7,6.0,2.0,14.0,0.0,0.0,0.0,0.0,0.0,0.29,0.1,0.39,0.29,0.39,Matches
Eberechi Eze,eng ENG,MF,27-199,1,1,83.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.2,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.26,0.0,0.26,0.26,0.26,Matches
Christantus Uche,ng NGA,"MF,FW",22-240,10,0,119.0,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.2,2.0,1.0,15.0,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.15,0.15,0.15,Matches
Romain Esse,eng ENG,"FW,MF",20-246,4,0,44.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Borna Sosa,hr CRO,DF,27-358,4,0,29.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,1.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21,0.21,0.0,0.21,Matches
Joél Drakes-Thomas,eng ENG,MF,16-219,2,0,9.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Kaden Rodney,eng ENG,MF,21-099,1,0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Odsonne Édouard,fr FRA,FW,27-363,1,0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Dean Benamar,eng ENG,DF,17-228,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Walter Benítez,ar ARG,GK,32-360,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Rio Cardines,tt TRI,MF,19-197,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Ben Casey,eng ENG,FW,18-045,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
George King,eng ENG,DF,18-300,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Remi Matthews,eng ENG,GK,31-338,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Jesurun Rak Sakyi,eng ENG,"FW,MF",23-101,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Squad Total,,,26.8,21,231,1890.0,21.0,21.0,12.0,33.0,17.0,4.0,4.0,38.0,0.0,33.2,30.2,21.3,51.4,276.0,683.0,678.0,1.0,0.57,1.57,0.81,1.38,1.58,1.01,2.6,1.44,2.45,
Opponent Total,,,27.0,21,231,1890.0,21.0,23.0,12.0,35.0,21.0,2.0,2.0,40.0,0.0,27.4,25.8,16.3,42.1,321.0,847.0,843.0,1.1,0.57,1.67,1.0,1.57,1.3,0.78,2.08,1.23,2.01,
